epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,37,1660,44.8648648649,0.992775401164
2,23,2510,109.130434783,1.25347886321
3,21,3480,165.714285714,1.5624515464
4,23,4740,206.086956522,1.94898638387
5,20,4510,225.5,2.77618786466
6,18,4370,242.777777778,3.14970654402
7,19,4400,231.578947368,3.12598665918
8,18,4120,228.888888889,2.93689660287
9,19,4410,232.105263158,2.7253079983
10,19,4500,236.842105263,2.8453450297
11,19,4340,228.421052632,2.7083088869
12,18,4590,255.0,2.47010763919
13,19,4660,245.263157895,2.42736048359
14,20,4650,232.5,2.31915524199
15,17,4240,249.411764706,2.02942044514
16,18,4330,240.555555556,2.10260051379
17,17,4170,245.294117647,1.95582720434
18,17,4140,243.529411765,2.02445967721
19,18,4050,225.0,1.91839812829
20,20,4880,244.0,1.80324858021
21,19,4770,251.052631579,1.82559797446
22,19,4550,239.473684211,1.81248752483
23,17,7530,442.941176471,1.80374167193
24,18,4540,252.222222222,1.74871605059
25,17,6850,402.941176471,1.77253753511
26,17,6340,372.941176471,1.77086835017
27,19,4870,256.315789474,1.81783357294
28,19,4880,256.842105263,1.7779389804
29,20,4900,245.0,1.89094544501
30,17,4020,236.470588235,1.87794617479
31,18,4500,250.0,1.7934521832
32,20,4650,232.5,1.86943158547
33,20,5060,253.0,1.8680131845
34,19,4810,253.157894737,1.85288631817
35,15,11200,746.666666667,1.82808908498
36,16,4540,283.75,1.80522715898
37,19,4820,253.684210526,1.91505833871
38,21,4670,222.380952381,1.86946483709
39,19,4750,250.0,1.88933848602
40,19,4480,235.789473684,1.98184229965
41,16,5190,324.375,1.86169297864
42,15,7690,512.666666667,2.04751656968
43,14,15510,1107.85714286,1.93280721486
44,14,10560,754.285714286,1.91031106841
45,20,4940,247.0,1.84700611804
46,17,8010,471.176470588,1.91261853107
47,19,4500,236.842105263,2.08305033292
48,20,4830,241.5,1.99748142387
49,19,5230,275.263157895,1.988115726
50,16,3620,226.25,1.85558199338
51,17,4410,259.411764706,1.91796356967
52,23,4720,205.217391304,2.00529845091
53,19,3960,208.421052632,2.04454815076
54,13,11400,876.923076923,2.04926212683
55,18,4380,243.333333333,2.08404929639
56,16,8010,500.625,2.09595067919
57,25,1970,78.8,2.19829307021
58,17,3340,196.470588235,2.20462803401
59,18,9460,525.555555556,2.23740325103
60,18,5060,281.111111111,1.97831978014
61,19,5080,267.368421053,1.99473486175
62,19,5480,288.421052632,2.21220170881
63,20,4870,243.5,2.30245601946
64,18,4520,251.111111111,2.40800364536
65,19,4280,225.263157895,2.2705267849
66,18,6860,381.111111111,2.09380200549
67,18,7930,440.555555556,1.99694288112
68,18,4320,240.0,2.00314328165
69,15,11280,752.0,2.00313574903
70,18,5720,317.777777778,2.03171425972
71,19,4110,216.315789474,2.05150930644
72,20,4540,227.0,2.09398349511
73,22,4510,205.0,2.12466589918
74,22,4110,186.818181818,2.03822849668
75,16,11200,700.0,2.16548440105
76,20,5820,291.0,2.04528352791
77,16,9390,586.875,2.09356273895
78,17,9800,576.470588235,2.1433472919
79,21,6470,308.095238095,2.1982259684
80,17,8430,495.882352941,2.02114487759
81,19,4290,225.789473684,1.96043582358
82,13,13760,1058.46153846,1.91843228416
83,21,6130,291.904761905,2.09976297216
84,21,4770,227.142857143,1.96469150907
85,16,9030,564.375,1.81584207321
86,13,13920,1070.76923077,1.8459344977
87,14,11790,842.142857143,1.87490507979
88,17,4150,244.117647059,1.91209148513
89,14,11540,824.285714286,2.01790560308
90,19,5530,291.052631579,2.03996853953
91,15,9100,606.666666667,2.08913152933
92,19,5190,273.157894737,1.89161923875
93,20,4840,242.0,1.9916207698
94,18,8560,475.555555556,2.02824799548
95,17,5870,345.294117647,1.98679259181
96,12,15050,1254.16666667,2.07196414549
97,15,11570,771.333333333,1.99105527085
98,12,13480,1123.33333333,1.96151363729
99,13,14700,1130.76923077,2.11101709946
100,21,4840,230.476190476,2.3282630709
