epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,10,-209,-20.9,-0.199875728609
2,9,-184,-20.4444444444,-0.246992559306
3,7,-140,-20.0,-0.293041308983
4,10,-202,-20.2,-0.227907571871
5,6,-119,-19.8333333333,-0.202728504668
6,4,-52,-13.0,-0.150272206355
7,4,-59,-14.75,-0.124203011897
8,5,-83,-16.6,-0.150402938534
9,6,-117,-19.5,-0.101846455939
10,5,-84,-16.8,-0.0868402007093
11,4,-73,-18.25,-0.0575585349511
12,4,-66,-16.5,-0.0986412777231
13,7,-142,-20.2857142857,-0.0649854897634
14,4,-62,-15.5,-0.0387849459884
15,3,-42,-14.0,-0.0576641419149
16,4,-71,-17.75,-0.0847168364988
17,3,-48,-16.0,-0.0467416635642
18,3,-54,-18.0,-0.0259151869808
19,5,-96,-19.2,-0.0408863239097
20,4,-64,-16.0,-0.0407889534468
21,4,-62,-15.5,-0.052410971234
22,3,-39,-13.0,-0.0292791120472
23,2,-26,-13.0,-0.0296430854659
24,3,-44,-14.6666666667,-0.0150521635404
25,2,-26,-13.0,0.013802018575
26,2,-20,-10.0,-0.0301941500129
27,3,-33,-11.0,0.0166702750672
28,2,-22,-11.0,0.0289311871923
29,2,-23,-11.5,0.0203075122709
30,2,-11,-5.5,-0.00012173097027
31,2,-10,-5.0,-0.0163712281557
32,2,-24,-12.0,-0.0158206857067
33,2,-12,-6.0,0.0114700653234
34,2,-2,-1.0,0.0480067454036
35,2,5,2.5,0.0488807039293
36,2,-5,-2.5,0.0114406479851
37,2,9,4.5,0.0550562512625
38,2,-10,-5.0,0.0347491311381
39,2,15,7.5,0.0248154419653
40,2,7,3.5,0.0678884650871
41,3,26,8.66666666667,0.102617529867
42,2,20,10.0,0.0728022973111
43,2,9,4.5,0.021538764397
44,3,17,5.66666666667,0.0650543257579
45,3,23,7.66666666667,0.0623952967901
46,3,22,7.33333333333,0.0719258091452
47,4,69,17.25,0.0970532845968
48,3,40,13.3333333333,0.0683519910935
49,4,67,16.75,0.0419638083511
50,4,70,17.5,0.0364257788694
51,3,30,10.0,0.0406110717847
52,4,66,16.5,0.0612976002501
53,4,64,16.0,0.0355651819611
54,4,62,15.5,0.0460853689304
55,4,66,16.5,0.0679332335124
56,3,42,14.0,0.0537957844607
57,4,68,17.0,0.074785627668
58,4,61,15.25,0.0607698523556
59,4,70,17.5,0.0745446967273
60,4,65,16.25,0.0538263602136
61,4,60,15.0,0.0499766986811
62,5,92,18.4,0.0598007957941
63,5,95,19.0,0.0556140645391
64,4,67,16.75,0.0501716188242
65,4,73,18.25,0.0433541973709
66,4,72,18.0,0.0293817489886
67,3,43,14.3333333333,0.0359868727804
68,5,92,18.4,0.0231991890573
69,4,69,17.25,0.0226132977838
70,5,98,19.6,0.0214115457885
71,3,45,15.0,0.0471306707639
72,4,71,17.75,0.0426819704225
73,5,91,18.2,0.034996059205
74,4,68,17.0,0.036997900199
75,4,73,18.25,0.0468857605896
76,4,66,16.5,0.0455834518417
77,3,47,15.6666666667,0.0566541181033
78,4,67,16.75,0.0496200304535
79,4,75,18.75,0.043288631836
80,4,70,17.5,0.0551822108995
81,4,68,17.0,0.0477516088671
82,5,99,19.8,0.0531256327609
83,4,71,17.75,0.0450557492699
84,4,74,18.5,0.0350996366224
85,4,63,15.75,0.0557321338666
86,5,95,19.0,0.0663618119192
87,4,72,18.0,0.0499727975711
88,4,73,18.25,0.0409710604595
89,4,76,19.0,0.0377886444524
90,4,78,19.5,0.0418301617878
91,5,92,18.4,0.0490947946343
92,4,74,18.5,0.0536856618733
93,4,75,18.75,0.0530154643739
94,4,72,18.0,0.0554182935051
95,5,97,19.4,0.0400978380162
96,4,64,16.0,0.0447824295696
97,5,95,19.0,0.0415291400267
98,4,64,16.0,0.0351875388005
99,4,69,17.25,0.0366367883267
100,4,68,17.0,0.0437070061635
101,5,98,19.6,0.0445309843511
102,5,88,17.6,0.0501875697506
103,5,100,20.0,0.0357470582053
104,5,96,19.2,0.0355411826172
105,5,92,18.4,0.0389308381234
106,4,72,18.0,0.0359842051239
107,4,74,18.5,0.0350387902057
108,4,59,14.75,0.0396801188453
109,5,96,19.2,0.0395099206041
110,4,73,18.25,0.0383946166527
111,5,95,19.0,0.040795672621
