epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,22,9710,441.363636364,1.54604655789
2,15,10650,710.0,2.75976269138
3,14,13490,963.571428571,3.74535206116
4,13,10640,818.461538462,4.43174791767
5,13,11880,913.846153846,4.49135680612
6,14,10250,732.142857143,5.06813213343
7,13,11200,861.538461538,5.33684793241
8,16,11700,731.25,5.21998933738
9,13,13780,1060.0,4.91406568272
10,16,11570,723.125,4.85748783155
11,12,12950,1079.16666667,4.94205350331
12,18,14340,796.666666667,4.9840293088
13,13,11850,911.538461538,4.91046437227
14,14,17200,1228.57142857,5.02143543995
15,13,17000,1307.69230769,5.147971598
16,11,14830,1348.18181818,5.15487577508
17,13,16370,1259.23076923,4.98118707299
18,13,17960,1381.53846154,5.02234702487
19,12,20720,1726.66666667,4.97796737024
20,13,13520,1040.0,5.07341742331
21,12,17490,1457.5,5.18208940917
22,12,17860,1488.33333333,5.13057783669
23,14,19270,1376.42857143,5.05324110847
24,13,21520,1655.38461538,5.10106925407
25,13,19920,1532.30769231,5.16714615361
26,12,17390,1449.16666667,5.03753471807
27,14,19160,1368.57142857,5.2287020323
28,14,16510,1179.28571429,5.15779875357
29,12,18360,1530.0,4.94087185179
30,12,18360,1530.0,4.98377364636
31,13,20330,1563.84615385,4.99008433203
32,12,19590,1632.5,5.14247696301
33,13,15370,1182.30769231,5.10054677068
34,12,26370,2197.5,5.0016233849
35,12,21180,1765.0,5.05338518739
36,13,18980,1460.0,5.1743820699
37,11,26570,2415.45454545,4.90155082281
38,11,18090,1644.54545455,4.84065614386
39,11,16540,1503.63636364,4.68471961018
40,13,21970,1690.0,4.66058567123
41,13,29740,2287.69230769,4.77889018893
42,12,19430,1619.16666667,4.73783772657
43,12,18270,1522.5,4.87282232306
44,11,21380,1943.63636364,5.02108667487
45,14,21760,1554.28571429,4.81709156624
46,13,19950,1534.61538462,4.79115657045
47,11,27600,2509.09090909,4.86703101938
48,13,20510,1577.69230769,4.91314324395
49,11,20160,1832.72727273,4.77447165743
50,10,25180,2518.0,4.58089656985
51,11,23590,2144.54545455,4.86739331527
52,10,22030,2203.0,4.95014190104
53,11,20690,1880.90909091,4.95465028163
54,12,21120,1760.0,4.80872432744
55,10,16480,1648.0,4.68462956018
56,12,20990,1749.16666667,4.62216517388
57,13,17020,1309.23076923,4.61256301956
58,11,18720,1701.81818182,4.58843993414
59,12,20480,1706.66666667,4.57795266685
60,11,24170,2197.27272727,4.70243141429
61,11,23330,2120.90909091,4.83535607756
62,11,21210,1928.18181818,4.69493297363
63,10,20030,2003.0,4.83690828636
64,10,23570,2357.0,4.86641089722
65,10,20770,2077.0,4.7710463219
66,11,19400,1763.63636364,4.76745908007
67,11,20170,1833.63636364,4.70635341679
68,13,22910,1762.30769231,5.00086790393
69,10,17280,1728.0,4.9911142001
70,11,20630,1875.45454545,4.9157148834
71,12,21560,1796.66666667,4.86858539739
72,11,22230,2020.90909091,4.87282218333
73,11,19640,1785.45454545,4.80216131441
74,10,20400,2040.0,4.85621546398
75,11,19800,1800.0,4.93871024177
76,11,18850,1713.63636364,4.830294458
77,10,22170,2217.0,5.04252153477
78,11,20380,1852.72727273,5.00449399069
79,12,22610,1884.16666667,5.02734037494
80,10,23830,2383.0,4.98050377878
81,11,20020,1820.0,4.96164809419
82,10,19970,1997.0,4.94836558934
83,11,21320,1938.18181818,4.73635357078
84,13,22440,1726.15384615,5.03505292574
85,10,18900,1890.0,4.96652605033
86,11,22010,2000.90909091,5.05350301813
87,10,19180,1918.0,4.95144698014
88,12,21770,1814.16666667,4.76577437487
89,10,20780,2078.0,4.85902585077
90,11,21580,1961.81818182,4.97997103273
