epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,13,-273,-21.0,-0.213593065842
2,12,-250,-20.8333333333,-0.214416244074
3,9,-187,-20.7777777778,-0.237121772826
4,7,-142,-20.2857142857,-0.200079692118
5,4,-66,-16.5,-0.175112798426
6,5,-83,-16.6,-0.122137311647
7,6,-112,-18.6666666667,-0.0798300279055
8,5,-91,-18.2,-0.0493856938942
9,4,-76,-19.0,-0.031367038023
10,4,-75,-18.75,0.00149970992574
11,6,-105,-17.5,-0.00301018480702
12,4,-70,-17.5,-0.0733897580736
13,5,-94,-18.8,-0.0524917031992
14,3,-49,-16.3333333333,-0.0208335881458
15,4,-68,-17.0,-0.00299152714264
16,4,-67,-16.75,-0.00346014291055
17,4,-69,-17.25,-0.000193577419282
18,5,-90,-18.0,-0.0488813304801
19,4,-74,-18.5,-0.024352329001
20,3,-50,-16.6666666667,-0.0835072298886
21,4,-70,-17.5,-0.0372260863409
22,3,-47,-15.6666666667,-0.0425684200127
23,2,-28,-14.0,0.0115443570784
24,3,-48,-16.0,0.0136747386366
25,3,-42,-14.0,-0.00991369113477
26,3,-38,-12.6666666667,-0.00556935591955
27,2,-27,-13.5,-0.000315822819187
28,2,-16,-8.0,0.0101247734718
29,2,-20,-10.0,-0.00925489556369
30,2,-26,-13.0,-0.0184858789269
31,2,-13,-6.5,0.0117180864132
32,2,-22,-11.0,-0.0193452064198
33,1,-3,-3.0,-0.0238822527943
34,2,-26,-13.0,0.0321361228988
35,2,-26,-13.0,-0.0220273758207
36,2,-10,-5.0,0.032898979993
37,2,-24,-12.0,0.0134782952047
38,2,6,3.0,0.00600060977309
39,2,12,6.0,0.0273397738607
40,2,-6,-3.0,0.0434779332296
41,2,-5,-2.5,0.0324250558624
42,2,23,11.5,0.0233489805727
43,2,4,2.0,0.0510536448182
44,2,2,1.0,0.0488998582117
45,3,31,10.3333333333,0.0596626138433
46,2,9,4.5,0.024544380269
47,2,17,8.5,0.0644377072207
48,3,30,10.0,0.0594610471319
49,2,21,10.5,0.0637750920969
50,3,38,12.6666666667,0.073515589093
51,3,43,14.3333333333,0.10524977807
52,4,59,14.75,0.0814445714962
53,3,35,11.6666666667,0.0715433593817
54,4,68,17.0,0.094070266619
55,4,69,17.25,0.052347162869
56,5,93,18.6,0.096007629234
57,4,69,17.25,0.072526064464
58,4,68,17.0,0.0789649797655
59,4,75,18.75,0.0825954674356
60,4,72,18.0,0.0890324496748
61,4,73,18.25,0.081715018459
62,4,74,18.5,0.0890361906474
63,4,71,17.75,0.0766897771699
64,4,62,15.5,0.0463177658189
65,4,59,14.75,0.049395893389
66,4,72,18.0,0.0461445065647
67,4,74,18.5,0.0530449035923
68,4,70,17.5,0.0696323111005
69,4,76,19.0,0.0596328681462
70,3,42,14.0,0.0514215807859
71,5,91,18.2,0.0715240488938
72,4,67,16.75,0.0530185932878
73,5,92,18.4,0.0765527488145
74,5,97,19.4,0.0906259533514
75,4,77,19.25,0.0777728163657
76,5,91,18.2,0.0551545837835
77,4,72,18.0,0.0661577301247
78,5,96,19.2,0.0635733293958
79,3,40,13.3333333333,0.0660855609691
