epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,17,1980,116.470588235,0.469944984769
2,5,2960,592.0,0.8923432281
3,6,2920,486.666666667,1.25693638942
4,5,3140,628.0,1.19934784671
5,8,2660,332.5,1.15508855712
6,9,3060,340.0,1.26118867734
7,8,3000,375.0,1.31841400415
8,8,3240,405.0,1.22639145119
9,9,2980,331.111111111,1.22169674579
10,9,3220,357.777777778,1.1588277625
11,10,3080,308.0,1.11190076009
12,9,3260,362.222222222,1.11191260989
13,7,3160,451.428571429,1.05638725246
14,13,3640,280.0,1.0808043819
15,9,3820,424.444444444,1.09011915061
16,8,3880,485.0,1.1053692721
17,8,4340,542.5,1.09272699616
18,10,4160,416.0,1.10694303243
19,9,3960,440.0,1.12614916583
20,9,3620,402.222222222,1.16823543334
21,10,4720,472.0,1.08289966591
22,10,3340,334.0,1.07048350051
23,10,3380,338.0,1.12137712251
24,8,5440,680.0,1.10579141006
25,7,6160,880.0,1.08160793964
26,7,5240,748.571428571,1.09339326978
27,8,5700,712.5,1.0797689379
28,9,5700,633.333333333,1.09880313241
29,8,5240,655.0,1.14941959233
30,11,4580,416.363636364,1.05592485476
31,10,4220,422.0,1.06828043958
32,10,5220,522.0,1.1025612538
33,8,6020,752.5,1.083068723
34,7,6180,882.857142857,1.1581200014
35,7,8220,1174.28571429,1.06868495599
36,6,6900,1150.0,1.01417074167
37,6,8440,1406.66666667,1.02981763976
38,9,6920,768.888888889,1.12893803496
39,11,5840,530.909090909,1.16300734388
40,6,8340,1390.0,1.11099098829
41,7,7860,1122.85714286,1.10950205122
42,10,6680,668.0,1.11231814364
43,9,6260,695.555555556,1.13048122501
44,6,8180,1363.33333333,1.12456282545
45,5,7900,1580.0,1.09144321889
46,7,7880,1125.71428571,1.15243435809
47,6,8200,1366.66666667,1.08616536667
48,6,8360,1393.33333333,1.06582991293
49,7,6560,937.142857143,1.10786631493
50,5,9300,1860.0,1.0828431864
51,6,8680,1446.66666667,1.06199001635
52,9,6920,768.888888889,1.06727135914
53,7,7440,1062.85714286,1.05150665569
54,10,7120,712.0,1.0774761835
55,7,7860,1122.85714286,1.0920099446
56,5,7900,1580.0,1.09940757825
57,7,7440,1062.85714286,1.11562901574
58,6,7820,1303.33333333,1.13004374819
59,9,7000,777.777777778,1.11948755396
60,7,8640,1234.28571429,1.08371137348
61,10,6740,674.0,1.12088636838
62,7,8300,1185.71428571,1.16364039977
63,7,7720,1102.85714286,1.07721608455
64,7,7360,1051.42857143,1.03862302736
65,7,8660,1237.14285714,1.03999328397
66,8,7840,980.0,1.08101588871
67,10,7580,758.0,1.12185892359
68,7,8780,1254.28571429,1.13269323741
69,8,7400,925.0,1.08301479906
70,7,8540,1220.0,1.0921306891
71,8,7080,885.0,1.10840763398
72,8,7920,990.0,1.14551156161
73,8,8160,1020.0,1.15678973367
74,6,7620,1270.0,1.14824059936
75,9,7980,886.666666667,1.12516621019
76,10,8280,828.0,1.15168811249
77,14,3180,227.142857143,1.1540001704
78,7,6520,931.428571429,1.78110986993
79,6,8900,1483.33333333,1.43296754899
80,7,8420,1202.85714286,1.24377782824
81,11,6220,565.454545455,1.20999352224
82,8,7640,955.0,1.22738065912
83,7,10250,1464.28571429,1.17317349587
84,6,9930,1655.0,1.23389403887
85,11,6380,580.0,1.27096724934
86,8,7800,975.0,1.23957553551
87,10,8200,820.0,1.22300824429
88,11,7540,685.454545455,1.22157124542
89,8,9890,1236.25,1.19590180743
90,8,8860,1107.5,1.21710112649
91,10,7200,720.0,1.23477348787
92,10,7760,776.0,1.34303531866
93,7,6660,951.428571429,1.28104996384
94,8,9490,1186.25,1.2797325813
95,8,10370,1296.25,1.27655795295
96,13,5320,409.230769231,1.24799782215
97,10,10570,1057.0,1.31558636341
98,8,8160,1020.0,1.26820261703
99,9,8240,915.555555556,1.34911823834
100,7,8960,1280.0,1.30780629378
