epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,15,4385,292.333333333,0.419581952857
2,15,3855,257.0,0.631122696082
3,19,1750,92.1052631579,0.844116123822
4,14,2545,181.785714286,0.898180451513
5,16,3075,192.1875,1.04065892958
6,19,4460,234.736842105,1.17583061168
7,18,3640,202.222222222,1.19651383866
8,18,3840,213.333333333,1.22572306491
9,18,3615,200.833333333,1.29187921844
10,17,4175,245.588235294,1.32402633315
11,17,4540,267.058823529,1.40927803462
12,15,4585,305.666666667,1.38612131305
13,19,3930,206.842105263,1.42520625015
14,15,4060,270.666666667,1.48449675703
15,15,4550,303.333333333,1.3017509981
16,16,4705,294.0625,1.31396165047
17,15,3280,218.666666667,1.30254972373
18,14,5290,377.857142857,1.29558987392
19,16,5575,348.4375,1.27521179327
20,19,5045,265.526315789,1.34115058003
21,19,5170,272.105263158,1.39424718937
22,16,4270,266.875,1.34172640388
23,16,4670,291.875,1.38365954958
24,17,4770,280.588235294,1.34637691997
25,15,3850,256.666666667,1.40366804373
26,16,4670,291.875,1.33774802008
27,15,4125,275.0,1.40510706143
28,15,4725,315.0,1.31425879124
29,16,5050,315.625,1.38404175582
30,13,4470,343.846153846,1.39385532398
31,17,5175,304.411764706,1.38281662946
32,14,5185,370.357142857,1.31223288009
33,18,5240,291.111111111,1.2538566499
34,15,4705,313.666666667,1.25805941417
35,15,3710,247.333333333,1.22617610965
36,17,4630,272.352941176,1.2797696315
37,17,3900,229.411764706,1.2496605739
38,16,4765,297.8125,1.23624052868
39,13,4595,353.461538462,1.23048875729
40,16,4825,301.5625,1.28738268628
41,14,5010,357.857142857,1.31579068075
42,18,3765,209.166666667,1.25668306115
43,17,4310,253.529411765,1.25863175382
44,15,4900,326.666666667,1.29551932046
45,18,5010,278.333333333,1.24696874055
46,16,5060,316.25,1.15349356268
47,15,5070,338.0,1.21935593225
48,17,4925,289.705882353,1.18901160835
49,16,4725,295.3125,1.16232009461
50,16,4920,307.5,1.20933912332
51,16,4835,302.1875,1.17407915599
52,15,4850,323.333333333,1.21202617566
53,17,4890,287.647058824,1.21182862074
54,18,3815,211.944444444,1.11585570359
55,19,4285,225.526315789,1.25346113393
56,13,4870,374.615384615,1.17797842276
57,15,5475,365.0,1.19838819695
58,17,4230,248.823529412,1.13269339208
59,17,4465,262.647058824,1.18498935977
60,15,4300,286.666666667,1.18771049911
61,15,5440,362.666666667,1.17131104864
62,15,4615,307.666666667,1.19493672296
63,14,4630,330.714285714,1.21241785291
64,19,4400,231.578947368,1.26310138269
65,16,5320,332.5,1.15529908124
66,18,4130,229.444444444,1.16129570874
67,14,5050,360.714285714,1.19366536805
68,15,5910,394.0,1.21445737793
69,18,3710,206.111111111,1.17481114453
70,14,4750,339.285714286,1.26228647868
71,18,4300,238.888888889,1.2388381477
72,15,4565,304.333333333,1.19749741454
73,16,4225,264.0625,1.16872618618
74,18,4525,251.388888889,1.16515252568
75,16,4165,260.3125,1.11073409283
76,15,4840,322.666666667,1.19416721073
77,16,5545,346.5625,1.15451586924
78,13,5410,416.153846154,1.19851496661
79,17,5375,316.176470588,1.16025861445
80,16,5320,332.5,1.13838072496
81,16,4780,298.75,1.20369445681
82,17,4920,289.411764706,1.19934583511
83,16,5545,346.5625,1.19150184472
84,15,4555,303.666666667,1.13194451862
85,14,5635,402.5,1.15060126597
86,22,4395,199.772727273,1.15374613172
87,13,5625,432.692307692,1.16912171283
88,15,5515,367.666666667,1.1622822257
89,18,5420,301.111111111,1.16922156857
90,16,5000,312.5,1.16682099324
91,15,5355,357.0,1.22546456244
92,15,4630,308.666666667,1.12686214298
93,14,4990,356.428571429,1.18101058944
94,14,5605,400.357142857,1.20850277678
95,18,3370,187.222222222,1.25098449763
96,17,4860,285.882352941,1.24230540231
97,17,5540,325.882352941,1.20791135257
98,16,5355,334.6875,1.22890451192
99,14,4490,320.714285714,1.24193681816
100,18,4525,251.388888889,1.18759969479
