epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,37,14360,388.108108108,0.116485556419
2,48,19710,410.625,1.93795744436
3,38,11550,303.947368421,3.50194512213
4,43,20850,484.88372093,3.99136394796
5,49,15470,315.714285714,4.29532573727
6,41,14100,343.902439024,4.74427888794
7,50,15920,318.4,5.78032629224
8,37,25170,680.27027027,5.92073887
9,45,18470,410.444444444,5.55095008731
10,44,11280,256.363636364,5.6222871309
11,43,24300,565.11627907,6.40601095265
12,39,25200,646.153846154,7.05541329481
13,41,27650,674.390243902,7.89942396176
14,40,27380,684.5,7.89093372604
15,39,30080,771.282051282,8.5124984368
16,34,28680,843.529411765,8.7804949979
17,36,24060,668.333333333,9.11232059695
18,34,32650,960.294117647,10.2218944179
19,35,25600,731.428571429,11.1763706157
20,33,25860,783.636363636,11.5498461038
21,34,37590,1105.58823529,12.0020118633
22,35,41990,1199.71428571,12.4069005587
23,31,35220,1136.12903226,12.4546566617
24,30,42200,1406.66666667,12.5924874631
25,37,34500,932.432432432,14.2790491564
26,34,31160,916.470588235,13.6401216482
27,37,27740,749.72972973,15.408634485
28,39,33420,856.923076923,15.5515699605
29,32,34080,1065.0,15.559036393
30,30,35140,1171.33333333,16.6235923975
31,32,32480,1015.0,19.0454562052
32,31,34950,1127.41935484,18.4117643246
33,31,40180,1296.12903226,18.3775705145
34,30,38950,1298.33333333,18.7719446954
35,29,38190,1316.89655172,19.2566766099
36,29,45600,1572.4137931,18.9038182455
37,28,35370,1263.21428571,20.1218475557
38,29,44930,1549.31034483,21.3552148202
39,31,33830,1091.29032258,19.3519610415
40,28,41200,1471.42857143,19.018573131
41,30,47260,1575.33333333,19.0231070396
42,32,38940,1216.875,20.2056730564
43,30,47280,1576.0,21.6254810287
44,31,46570,1502.25806452,20.0907869194
45,31,44600,1438.70967742,19.3105799041
46,28,38530,1376.07142857,19.8708849209
47,29,45810,1579.65517241,19.3003716246
48,31,41170,1328.06451613,20.4636510032
49,30,47790,1593.0,21.5251528407
50,30,41320,1377.33333333,21.4209338795
51,29,46220,1593.79310345,20.7488338194
52,30,41970,1399.0,20.0154049629
53,32,40550,1267.1875,20.5590585961
54,29,48710,1679.65517241,20.432954032
55,29,47780,1647.5862069,20.6131105326
56,29,48360,1667.5862069,20.5826903503
57,30,49950,1665.0,21.9016934024
58,30,34200,1140.0,22.9232697653
59,28,47570,1698.92857143,22.0683460182
60,29,48130,1659.65517241,21.4676039698
61,28,40970,1463.21428571,20.5379611868
62,29,58260,2008.96551724,21.6574157057
63,29,51820,1786.89655172,22.0906538684
64,29,47460,1636.55172414,22.2133737118
65,30,45500,1516.66666667,21.6722740116
66,31,38230,1233.22580645,21.455933142
67,27,40140,1486.66666667,21.2977021466
68,29,45830,1580.34482759,22.4478865199
69,27,40650,1505.55555556,23.621802247
70,29,46780,1613.10344828,23.0253883004
71,26,52510,2019.61538462,23.9803228538
72,29,47710,1645.17241379,23.6226725825
73,29,46100,1589.65517241,22.9543743072
74,31,37630,1213.87096774,23.0024272962
75,27,44700,1655.55555556,22.641787455
76,29,50050,1725.86206897,22.9986874264
77,28,45960,1641.42857143,22.1959996332
78,28,47190,1685.35714286,23.7967649907
79,28,51540,1840.71428571,22.5091486345
80,28,50400,1800.0,22.4150040256
81,27,55120,2041.48148148,23.2791288375
82,28,47820,1707.85714286,24.0954372212
83,30,45440,1514.66666667,24.7549526829
84,27,43790,1621.85185185,24.451239463
85,27,40280,1491.85185185,25.6695024796
86,29,51770,1785.17241379,24.330826975
87,31,46240,1491.61290323,22.9995921229
88,28,40380,1442.14285714,22.5093144251
89,30,50780,1692.66666667,23.1972741837
90,29,45440,1566.89655172,22.3915972077
91,28,46070,1645.35714286,22.1955907376
92,28,42460,1516.42857143,21.2728175827
93,28,45320,1618.57142857,21.1967903885
94,27,46590,1725.55555556,21.0042875317
95,28,56280,2010.0,22.2155500473
96,29,48680,1678.62068966,22.9809523912
97,28,47410,1693.21428571,22.4273752229
98,28,43440,1551.42857143,24.1484521617
99,28,40540,1447.85714286,24.132119597
100,27,40670,1506.2962963,24.0515770597
