epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,32,-672,-21.0,0.116274740537
2,32,-663,-20.71875,-0.100985130658
3,32,-672,-21.0,-0.283106338837
4,31,-642,-20.7096774194,-0.412361086514
5,32,-672,-21.0,-0.613742027551
6,32,-664,-20.75,-0.767406293654
7,30,-621,-20.7,-0.922704142778
8,31,-651,-21.0,-0.95830192549
9,30,-612,-20.4,-1.03430969134
10,26,-534,-20.5384615385,-1.0838608067
11,13,-209,-16.0769230769,-0.925547314318
12,13,-214,-16.4615384615,-0.862079847416
13,14,-252,-18.0,-0.875987247086
14,11,-143,-13.0,-0.808292921103
15,15,-279,-18.6,-0.633291120537
16,14,-229,-16.3571428571,-0.543622128871
17,14,-243,-17.3571428571,-0.475178786205
18,16,-277,-17.3125,-0.418095048231
19,11,-178,-16.1818181818,-0.34767218512
20,11,-174,-15.8181818182,-0.33590487462
21,11,-185,-16.8181818182,-0.344863818797
22,14,-236,-16.8571428571,-0.348223803023
23,9,-143,-15.8888888889,-0.373383223026
24,11,-176,-16.0,-0.308260983336
25,10,-148,-14.8,-0.280207175775
26,10,-153,-15.3,-0.246546988049
27,8,-118,-14.75,-0.224851991058
28,11,-184,-16.7272727273,-0.191719522856
29,9,-140,-15.5555555556,-0.159405437036
30,9,-119,-13.2222222222,-0.156255567433
31,8,-105,-13.125,-0.110468078708
32,9,-143,-15.8888888889,-0.0911421355479
33,7,-89,-12.7142857143,-0.132169490919
34,8,-98,-12.25,-0.0975576413117
35,11,-175,-15.9090909091,-0.0605320615187
36,7,-106,-15.1428571429,-0.0308392885533
37,8,-112,-14.0,-0.0689312746168
38,9,-132,-14.6666666667,-0.0533142308608
39,9,-105,-11.6666666667,-0.0248400399574
40,8,-119,-14.875,0.00619194231284
41,10,-143,-14.3,-0.0665265242218
42,7,-102,-14.5714285714,0.0116669284722
43,8,-132,-16.5,0.0642411975728
44,8,-114,-14.25,0.12414141838
45,6,-74,-12.3333333333,0.113373950957
46,9,-134,-14.8888888889,0.0544403621217
47,8,-105,-13.125,0.116362444198
48,9,-146,-16.2222222222,0.174529770532
49,7,-88,-12.5714285714,0.216310636124
50,9,-127,-14.1111111111,0.205804467575
51,5,-52,-10.4,0.213781665126
52,12,-217,-18.0833333333,0.197014294933
53,7,-98,-14.0,0.182610959053
54,10,-151,-15.1,0.155881614794
55,7,-81,-11.5714285714,0.108685258026
56,8,-116,-14.5,0.109160635617
57,7,-100,-14.2857142857,0.10359742543
58,7,-71,-10.1428571429,0.14682626148
59,5,-44,-8.8,0.089115020093
60,6,-74,-12.3333333333,0.147833610953
61,7,-85,-12.1428571429,0.176866473162
62,8,-94,-11.75,0.221678182172
63,8,-79,-9.875,0.187781786474
64,6,-61,-10.1666666667,0.224432210967
65,6,-51,-8.5,0.193966228667
66,6,-62,-10.3333333333,0.104226259343
67,6,-65,-10.8333333333,0.18860307211
68,5,-66,-13.2,0.179830451579
69,6,-53,-8.83333333333,0.148249847683
70,6,-72,-12.0,0.166428010877
71,7,-77,-11.0,0.136370608856
72,7,-101,-14.4285714286,0.189157823522
73,5,-31,-6.2,0.191016640108
74,6,-77,-12.8333333333,0.234852877681
75,5,-53,-10.6,0.248785706863
76,6,-53,-8.83333333333,0.221052626711
77,6,-55,-9.16666666667,0.299172576505
78,6,-59,-9.83333333333,0.297853854018
79,7,-98,-14.0,0.334858968192
80,5,-51,-10.2,0.288965213414
81,6,-80,-13.3333333333,0.244646137098
82,16,-307,-19.1875,0.260426672096
83,5,-48,-9.6,0.242042097912
84,5,-64,-12.8,0.263802021183
85,5,-40,-8.0,0.296760330165
86,6,-87,-14.5,0.292024849121
87,4,-36,-9.0,0.313985481881
88,4,-44,-11.0,0.30762685671
89,4,-27,-6.75,0.293821881352
90,5,-58,-11.6,0.296436420538
91,6,-58,-9.66666666667,0.281172688058
92,5,-50,-10.0,0.267654992681
93,6,-62,-10.3333333333,0.277141218916
94,5,-50,-10.0,0.263105554043
95,5,-50,-10.0,0.273421585626
96,7,-82,-11.7142857143,0.251871302859
97,6,-65,-10.8333333333,0.334084574973
98,5,-64,-12.8,0.297280387675
99,5,-53,-10.6,0.29950597934
100,4,-22,-5.5,0.312471359246
