epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,1,0,0.0,0.13272763605
2,14,600,42.8571428571,0.810329359017
3,47,4260,90.6382978723,1.61032291593
4,23,6080,264.347826087,2.10277155707
5,39,4600,117.948717949,2.33686998978
6,40,4060,101.5,3.10801473276
7,13,980,75.3846153846,3.54602616467
8,18,5960,331.111111111,3.9103121288
9,29,5040,173.793103448,4.32493420591
10,2,0,0.0,5.18102066924
11,23,2020,87.8260869565,4.47173052156
12,15,7400,493.333333333,4.39614181128
13,15,940,62.6666666667,4.82026071065
14,20,3220,161.0,4.78978676393
15,3,160,53.3333333333,4.98011117145
16,15,7080,472.0,4.85445040222
17,21,6180,294.285714286,5.04859955586
18,19,6780,356.842105263,5.27230563292
19,17,7320,430.588235294,5.03988825006
20,16,6180,386.25,4.85162305658
21,13,7760,596.923076923,4.78064141473
22,16,6740,421.25,4.37688181501
23,18,7780,432.222222222,4.3858304636
24,23,5720,248.695652174,4.33477534243
25,13,7240,556.923076923,4.20607868218
26,26,6380,245.384615385,3.84923615978
27,12,7540,628.333333333,3.77454090831
28,14,7640,545.714285714,3.44908373805
29,16,7020,438.75,3.37613985045
30,12,8600,716.666666667,3.25629425747
31,10,8820,882.0,3.27437354776
32,18,6960,386.666666667,3.00140385552
33,12,8080,673.333333333,2.92558959965
34,19,6680,351.578947368,2.88783461963
35,7,4960,708.571428571,2.77147856543
36,9,7480,831.111111111,2.7891742867
37,13,7940,610.769230769,2.82494595084
38,10,8340,834.0,2.74717903466
39,21,7380,351.428571429,2.71363293587
40,15,8080,538.666666667,2.55383627145
41,14,7520,537.142857143,2.58279438753
42,13,7880,606.153846154,2.62525949835
43,13,8040,618.461538462,2.40171062987
44,27,5460,202.222222222,2.46093248844
45,9,8420,935.555555556,2.46263882957
46,13,8640,664.615384615,2.42616209252
47,10,9380,938.0,2.3104597498
48,9,9520,1057.77777778,2.48587496417
49,11,9800,890.909090909,2.34585660865
50,10,9820,982.0,2.39019435028
51,12,8940,745.0,2.55026092751
52,15,9460,630.666666667,2.67754275236
53,15,8680,578.666666667,2.76427640968
54,10,10220,1022.0,2.79272011529
55,11,9380,852.727272727,2.77778582257
56,11,9020,820.0,2.72301482645
57,11,10400,945.454545455,2.85668904486
58,9,8920,991.111111111,2.81142587412
59,10,9600,960.0,2.88016285259
60,11,9760,887.272727273,2.72844919964
61,9,10400,1155.55555556,2.68766108897
62,11,9320,847.272727273,2.72796339977
63,10,10160,1016.0,2.71310788613
64,10,9920,992.0,2.78565269389
65,10,10560,1056.0,2.80640370755
66,10,10640,1064.0,2.83346767929
67,10,9780,978.0,2.85087197691
68,16,9220,576.25,2.82982532254
69,10,9800,980.0,2.8897066502
70,10,10380,1038.0,2.90962057468
71,9,10000,1111.11111111,2.79933649785
72,9,10280,1142.22222222,2.97103854621
73,11,10140,921.818181818,3.11339034274
74,12,9700,808.333333333,3.04193453448
75,9,10340,1148.88888889,2.95618940763
76,9,10720,1191.11111111,2.93236864479
77,10,10640,1064.0,2.92070328114
78,11,10060,914.545454545,3.01972081896
79,9,9880,1097.77777778,2.98233751691
80,10,9780,978.0,2.93913418943
81,9,10660,1184.44444444,2.86493318691
82,10,9440,944.0,2.79385693208
83,10,9740,974.0,2.927346623
84,10,10880,1088.0,3.08183258791
85,9,11600,1288.88888889,3.13886751345
86,10,10620,1062.0,3.16960079789
87,10,9400,940.0,2.997504323
88,9,10260,1140.0,2.97398913093
89,9,10340,1148.88888889,3.08200132915
90,9,9240,1026.66666667,3.10113524396
91,9,9800,1088.88888889,3.1428473221
92,12,10380,865.0,3.09930438369
93,10,10500,1050.0,3.14853436406
94,9,10720,1191.11111111,3.31317306611
95,10,10320,1032.0,3.31498591453
96,11,10480,952.727272727,3.27398986788
97,8,9440,1180.0,3.35356535431
98,9,9980,1108.88888889,3.29788622912
99,11,9820,892.727272727,3.2979247128
100,9,11040,1226.66666667,3.27726783005
