epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,40,7460,186.5,0.112574175671
2,46,1270,27.6086956522,0.92155236676
3,46,1120,24.347826087,1.50112442289
4,34,8050,236.764705882,1.69881350237
5,40,7140,178.5,1.9260374475
6,37,10275,277.702702703,2.01417892689
7,54,1825,33.7962962963,2.18356846763
8,27,13315,493.148148148,2.88410202242
9,42,2580,61.4285714286,2.7684147961
10,43,9890,230.0,2.86091421104
11,62,2875,46.3709677419,2.94653687871
12,50,5505,110.1,2.86978389205
13,34,10050,295.588235294,2.85208248228
14,32,7935,247.96875,2.67410052708
15,45,8160,181.333333333,2.66922896046
16,69,4085,59.2028985507,2.46964233697
17,43,8635,200.813953488,2.43327842557
18,41,7315,178.414634146,2.32577043246
19,27,7325,271.296296296,3.64357518302
20,34,4840,142.352941176,3.83675442772
21,41,2935,71.5853658537,3.63919227501
22,42,8680,206.666666667,4.26999685527
23,32,3900,121.875,4.10564865812
24,29,6370,219.655172414,4.3744586438
25,22,12895,586.136363636,3.98821460299
26,28,3400,121.428571429,3.92657645317
27,23,11015,478.913043478,3.87607101312
28,22,10195,463.409090909,3.89730283417
29,28,11305,403.75,3.97767413788
30,28,11475,409.821428571,4.24547977181
31,29,9860,340.0,4.13807578829
32,23,13045,567.173913043,4.19697382592
33,24,13130,547.083333333,4.03464532598
34,21,10090,480.476190476,3.85426559768
35,23,12510,543.913043478,3.84201107561
36,29,11435,394.310344828,3.8131248673
37,21,13245,630.714285714,3.92828501832
38,27,12615,467.222222222,3.72195006942
39,27,12630,467.777777778,3.73968844979
40,23,10770,468.260869565,3.65548057246
41,23,11770,511.739130435,3.72982006329
42,27,13005,481.666666667,3.5714213797
43,24,12200,508.333333333,3.78543204544
44,26,11195,430.576923077,3.70220947323
45,23,12205,530.652173913,3.69592379382
46,28,9760,348.571428571,3.64266548018
47,26,13385,514.807692308,3.59300148846
48,28,9020,322.142857143,3.51447043065
49,25,13975,559.0,3.66806517781
50,28,11720,418.571428571,3.45980048324
51,25,10175,407.0,3.425598247
52,28,12230,436.785714286,3.67409788926
53,36,11620,322.777777778,3.64914021228
54,23,11490,499.565217391,3.8904276184
55,24,13030,542.916666667,3.67460922787
56,24,13085,545.208333333,3.5646285528
57,28,11815,421.964285714,3.63750268125
58,28,14660,523.571428571,3.74988831158
59,24,12120,505.0,3.73810834785
60,27,13230,490.0,3.7963339649
61,32,12890,402.8125,3.91925049235
62,31,14790,477.096774194,3.82758826363
63,31,14290,460.967741935,3.75664580082
64,24,14475,603.125,3.78240337773
65,31,14600,470.967741935,3.75553630604
66,30,13010,433.666666667,3.8741033851
67,25,13595,543.8,4.07233607204
68,33,15390,466.363636364,4.05263224183
69,30,15025,500.833333333,4.21505271033
70,29,13545,467.068965517,4.34245607317
71,31,11380,367.096774194,4.52284943258
72,31,13890,448.064516129,4.49703387828
73,28,11650,416.071428571,4.49225984453
74,29,12740,439.310344828,4.47740287622
75,31,14195,457.903225806,4.16011437815
76,30,14450,481.666666667,4.27227860757
77,28,14880,531.428571429,4.05356037858
78,30,15330,511.0,4.20543379827
79,28,12920,461.428571429,4.1068618861
80,31,10110,326.129032258,4.30070603468
81,29,15140,522.068965517,4.37905418098
82,29,12190,420.344827586,4.36470454717
83,30,13895,463.166666667,4.25842554401
84,28,13150,469.642857143,4.25653921744
85,29,12210,421.034482759,4.57579300552
86,30,15270,509.0,4.61301124224
87,26,14870,571.923076923,4.61122022091
88,30,16655,555.166666667,4.4261151383
89,27,14125,523.148148148,4.17497285494
90,29,13820,476.551724138,4.20565982857
91,31,15465,498.870967742,4.13258302772
92,28,13920,497.142857143,4.16374295803
93,35,15000,428.571428571,4.27160165153
94,33,13465,408.03030303,4.38980327041
95,29,13255,457.068965517,4.42997470263
96,26,11705,450.192307692,4.34957522407
97,27,12745,472.037037037,4.37485089789
98,29,14390,496.206896552,4.4596022376
99,27,14665,543.148148148,4.50147852932
100,30,15835,527.833333333,4.50006645748
