epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,11,-231,-21.0,-0.0851586531044
2,10,-198,-19.8,-0.00449389173067
3,7,-128,-18.2857142857,0.0766780828591
4,6,-107,-17.8333333333,0.083385758017
5,5,-89,-17.8,0.113254254169
6,4,-70,-17.5,0.0954476805159
7,5,-97,-19.4,0.11363946649
8,4,-63,-15.75,0.110501290788
9,3,-48,-16.0,0.0995387765078
10,4,-60,-15.0,0.107642625406
11,3,-44,-14.6666666667,0.105384099816
12,3,-39,-13.0,0.0723785737524
13,3,-34,-11.3333333333,0.0724504596111
14,3,-48,-16.0,0.0928712101627
15,3,-41,-13.6666666667,0.0713382614122
16,2,-19,-9.5,0.055431665012
17,2,-4,-2.0,0.059559032151
18,3,-40,-13.3333333333,0.0488369679771
19,2,-18,-9.0,0.0526536105201
20,2,-3,-1.5,0.0736107726136
21,2,-9,-4.5,0.0834537454296
22,2,-7,-3.5,0.0863557536478
23,2,4,2.0,0.0608648278925
24,2,23,11.5,0.0457926953834
25,2,12,6.0,0.0875575449204
26,2,8,4.0,0.0687233835948
27,3,41,13.6666666667,0.0669421828439
28,3,43,14.3333333333,0.114232081678
29,4,63,15.75,0.0966332495281
30,4,58,14.5,0.0778970333483
31,4,67,16.75,0.0844373770501
32,2,-1,-0.5,0.0897785655883
33,4,63,15.75,0.0784906283973
34,5,90,18.0,0.0830839216342
35,4,73,18.25,0.0875596791296
36,4,69,17.25,0.085195988816
37,4,56,14.0,0.0723695230851
38,5,94,18.8,0.0805379925499
39,3,30,10.0,0.0766066039924
40,4,60,15.0,0.0880685407168
41,4,75,18.75,0.0839953984867
42,4,66,16.5,0.0806024262041
43,4,71,17.75,0.0875491874211
44,4,66,16.5,0.0910635587282
45,4,72,18.0,0.0775697707513
46,5,93,18.6,0.0769455596199
47,4,74,18.5,0.0805688445159
48,5,89,17.8,0.0720752974437
49,5,93,18.6,0.0696213873959
50,5,91,18.2,0.0709004997637
51,4,69,17.25,0.0640049287555
52,4,61,15.25,0.0607722308568
53,4,71,17.75,0.0637448888758
54,5,88,17.6,0.074421352577
55,3,34,11.3333333333,0.0740601567592
56,4,72,18.0,0.0558792118647
57,4,69,17.25,0.0691557344003
58,3,46,15.3333333333,0.0785075059842
59,4,74,18.5,0.0769219264126
60,4,75,18.75,0.0771019598664
61,4,65,16.25,0.0704191800079
62,4,68,17.0,0.0789007052648
63,4,66,16.5,0.0837878386822
64,5,98,19.6,0.0749251353089
65,4,65,16.25,0.068291225101
66,4,63,15.75,0.0605944584217
67,4,64,16.0,0.0630685330188
68,4,65,16.25,0.0556899502105
69,4,61,15.25,0.060906122232
70,4,71,17.75,0.0577217240739
71,4,73,18.25,0.0622562804108
72,4,74,18.5,0.0558401365983
73,4,62,15.5,0.0672408674005
74,5,91,18.2,0.0624208712741
75,4,69,17.25,0.0647540783175
76,4,53,13.25,0.0620088041588
77,5,95,19.0,0.0625165009213
78,4,68,17.0,0.0608660385499
79,5,96,19.2,0.0741405326506
80,5,93,18.6,0.0563621435084
81,5,97,19.4,0.0667056431953
82,5,93,18.6,0.0658892790807
83,5,93,18.6,0.0618967738198
84,4,70,17.5,0.0542009714514
85,4,63,15.75,0.0687981634907
86,4,71,17.75,0.0607445951819
87,4,69,17.25,0.0648835526081
88,5,92,18.4,0.0618485828189
89,5,89,17.8,0.0608534155664
90,4,69,17.25,0.0665516769595
91,5,85,17.0,0.0563242801483
92,4,69,17.25,0.0580965452749
93,4,63,15.75,0.060028875774
94,4,70,17.5,0.0639559039762
95,5,94,18.8,0.0643628721591
96,4,72,18.0,0.0641395768721
97,5,98,19.6,0.0615850830502
98,5,100,20.0,0.0608903208561
99,4,77,19.25,0.0525341582566
100,5,94,18.8,0.060606578938
