epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,13,-273,-21.0,-0.0870282259432
2,10,-205,-20.5,-0.15132662542
3,6,-118,-19.6666666667,-0.169180095042
4,5,-95,-19.0,-0.114160927293
5,4,-68,-17.0,-0.023302096281
6,5,-90,-18.0,-0.0151096434117
7,4,-68,-17.0,-0.00468369399081
8,4,-73,-18.25,0.0101848842099
9,4,-68,-17.0,0.0421576663974
10,5,-98,-19.6,0.0346391512442
11,4,-58,-14.5,0.0370706678429
12,4,-68,-17.0,0.0402404339987
13,3,-47,-15.6666666667,0.0214890358293
14,3,-28,-9.33333333333,0.0454112258066
15,2,-29,-14.5,0.0434028329648
16,3,-37,-12.3333333333,0.0248475964129
17,3,-40,-13.3333333333,0.0378885993417
18,3,-37,-12.3333333333,0.0272057939103
19,3,-42,-14.0,0.0653144933554
20,3,-24,-8.0,0.0502828181555
21,3,-47,-15.6666666667,0.0455633244844
22,2,-4,-2.0,0.022453654416
23,2,-16,-8.0,0.0286718935615
24,2,-10,-5.0,0.0252880384252
25,2,-3,-1.5,0.074387054014
26,3,20,6.66666666667,0.0972216593646
27,2,0,0.0,0.0913887695348
28,3,15,5.0,0.0758297241078
29,3,21,7.0,0.106009918694
30,3,27,9.0,0.128297019427
31,4,62,15.5,0.120288489235
32,4,60,15.0,0.0890075312252
33,3,31,10.3333333333,0.107257665203
34,4,65,16.25,0.103031459128
35,4,72,18.0,0.112518452136
36,5,91,18.2,0.105363328577
37,4,66,16.5,0.135066516384
38,4,72,18.0,0.120376222212
39,4,63,15.75,0.126813720053
40,5,95,19.0,0.142813197789
41,4,70,17.5,0.13616364596
42,4,65,16.25,0.128535376666
43,4,63,15.75,0.123686416852
44,4,73,18.25,0.124824799987
45,5,91,18.2,0.12042154354
46,5,97,19.4,0.12705492184
47,5,92,18.4,0.113615487341
48,5,90,18.0,0.107810943626
49,5,93,18.6,0.118074299656
50,5,90,18.0,0.118718285456
51,4,72,18.0,0.0956879054313
52,4,64,16.0,0.112500628163
53,5,93,18.6,0.10368935217
54,4,73,18.25,0.103122765026
55,5,96,19.2,0.0997433372703
56,4,69,17.25,0.116159509284
57,4,72,18.0,0.10651979212
58,4,71,17.75,0.0923900483554
59,5,93,18.6,0.106670369144
60,4,74,18.5,0.10400608787
61,4,69,17.25,0.100301033441
62,5,97,19.4,0.105836767356
63,5,91,18.2,0.111356222503
64,5,92,18.4,0.103253450535
65,4,61,15.25,0.114920830022
66,4,60,15.0,0.10036503731
67,4,71,17.75,0.107813860084
68,5,95,19.0,0.102880597483
69,4,71,17.75,0.0983921741135
70,5,90,18.0,0.0982339244807
71,4,70,17.5,0.102532452284
72,4,66,16.5,0.110006318383
73,5,92,18.4,0.108309681973
74,5,92,18.4,0.105030255099
75,4,71,17.75,0.0932261670817
76,5,94,18.8,0.10101802034
77,4,69,17.25,0.0971409934876
78,5,99,19.8,0.102291363146
79,4,74,18.5,0.0952615180583
80,5,93,18.6,0.0949564152316
81,5,94,18.8,0.100354209272
82,4,63,15.75,0.0950331201631
83,5,97,19.4,0.0823511595628
84,4,63,15.75,0.0753618576453
85,5,98,19.6,0.0779001696862
86,4,60,15.0,0.0876756916876
87,5,92,18.4,0.0757087374368
88,4,71,17.75,0.0871135902283
89,5,92,18.4,0.0867261683464
90,5,98,19.6,0.0904830366519
91,4,70,17.5,0.0852525167866
92,5,99,19.8,0.087133061057
93,4,66,16.5,0.0891420730896
94,4,68,17.0,0.0890832606802
95,5,92,18.4,0.0738956416963
96,5,96,19.2,0.0780399961502
97,5,98,19.6,0.0846103021578
98,4,73,18.25,0.087536931677
99,5,94,18.8,0.0658580529294
100,5,91,18.2,0.0777053369972
