epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,12,-252,-21.0,-0.129839884466
2,10,-209,-20.9,-0.282199793578
3,8,-163,-20.375,-0.29207991305
4,11,-231,-21.0,-0.339083337069
5,9,-187,-20.7777777778,-0.346050974116
6,10,-206,-20.6,-0.233797833007
7,12,-252,-21.0,-0.208441396886
8,7,-137,-19.5714285714,-0.227541992523
9,8,-146,-18.25,-0.16968311985
10,6,-119,-19.8333333333,-0.147496404397
11,7,-137,-19.5714285714,-0.140438163568
12,5,-97,-19.4,-0.147168438257
13,4,-69,-17.25,-0.128071974739
14,5,-98,-19.6,-0.129769033905
15,4,-74,-18.5,-0.150726293158
16,5,-98,-19.6,-0.115943565159
17,5,-87,-17.4,-0.118575590768
18,3,-48,-16.0,-0.140529748355
19,4,-76,-19.0,-0.0904196821216
20,5,-97,-19.4,-0.0748961837076
21,5,-96,-19.2,-0.0753760052953
22,5,-95,-19.0,-0.111475710628
23,4,-72,-18.0,-0.0782966920098
24,4,-66,-16.5,-0.0758602274307
25,4,-71,-17.75,-0.0961784298452
26,5,-98,-19.6,-0.110177671667
27,5,-92,-18.4,-0.0872130071306
28,4,-74,-18.5,-0.0932563215276
29,3,-31,-10.3333333333,-0.114696887263
30,4,-72,-18.0,-0.107165373997
31,4,-63,-15.75,-0.0951135690106
32,4,-58,-14.5,-0.0897887223811
33,3,-40,-13.3333333333,-0.100190335459
34,3,-52,-17.3333333333,-0.093200696017
35,4,-56,-14.0,-0.0570412145817
36,4,-56,-14.0,-0.0698740547313
37,3,-33,-11.0,-0.0646365894214
38,3,-45,-15.0,-0.0762093285692
39,4,-65,-16.25,-0.0466275363835
40,4,-64,-16.0,-0.0671480852709
41,3,-21,-7.0,-0.052468287769
42,4,-59,-14.75,-0.0621254747256
43,3,-30,-10.0,-0.0453196302929
44,4,-47,-11.75,-0.0704004938214
45,3,-32,-10.6666666667,-0.0381171107455
46,3,-8,-2.66666666667,-0.0177428692998
47,3,-16,-5.33333333333,0.00663277438842
48,3,-33,-11.0,-0.0119223240891
49,4,-50,-12.5,-0.0392113258271
50,3,-27,-9.0,-0.0151760907867
51,3,-27,-9.0,0.0319474414014
52,3,-16,-5.33333333333,0.0141369319439
53,3,-37,-12.3333333333,0.0196685330232
54,3,-16,-5.33333333333,0.00465754451463
55,3,-15,-5.0,0.011236835426
56,3,-10,-3.33333333333,0.0306470222527
57,4,-44,-11.0,0.0211413025646
58,3,21,7.0,-0.00277723773383
59,4,-48,-12.0,0.0206653137784
60,3,-1,-0.333333333333,0.00334779438213
61,3,-27,-9.0,0.0243567414593
62,3,-9,-3.0,-0.000468058836414
63,3,-12,-4.0,0.0288805258507
64,3,-23,-7.66666666667,0.0306642047432
65,3,-11,-3.66666666667,0.037043589633
66,2,-2,-1.0,0.0197927498468
67,3,-29,-9.66666666667,0.0570536685246
68,3,-23,-7.66666666667,0.0449325264199
69,3,-5,-1.66666666667,0.0275030966569
70,3,-6,-2.0,0.0130998150259
71,3,-6,-2.0,0.0282532479591
72,4,-42,-10.5,-0.00307881966582
73,4,-50,-12.5,0.0184906338458
74,3,-11,-3.66666666667,0.0217976321746
75,3,-8,-2.66666666667,0.0273180299066
76,3,-13,-4.33333333333,0.00201035144972
77,3,-11,-3.66666666667,0.0300643643783
78,3,-11,-3.66666666667,0.0444163793535
79,3,-1,-0.333333333333,-0.0052015004016
80,3,-7,-2.33333333333,-0.0180599725922
81,3,-9,-3.0,0.016237227075
82,3,28,9.33333333333,-0.00290800228366
83,3,-18,-6.0,0.0212268759077
84,2,3,1.5,-0.00635237246403
85,3,-29,-9.66666666667,0.0109798032569
86,4,-17,-4.25,0.0191195254296
87,3,-14,-4.66666666667,-0.00275101809646
88,3,2,0.666666666667,0.0301424608589
89,3,15,5.0,0.0258341084165
90,4,-39,-9.75,0.028009933522
91,4,57,14.25,0.0168397197931
92,3,8,2.66666666667,0.0388180330326
93,3,-10,-3.33333333333,0.0425139616593
94,3,5,1.66666666667,0.0368966923002
95,3,3,1.0,0.0346690280945
96,3,4,1.33333333333,0.0125902603497
97,2,8,4.0,0.0439574740012
98,2,4,2.0,0.0671944017895
99,3,14,4.66666666667,0.0248102476238
100,3,-8,-2.66666666667,0.0324603841593
