epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,13,-273,-21.0,-0.120210543927
2,11,-230,-20.9090909091,-0.231040456843
3,11,-229,-20.8181818182,-0.290919635777
4,11,-231,-21.0,-0.242025584152
5,8,-159,-19.875,-0.277112067197
6,7,-137,-19.5714285714,-0.248005291132
7,11,-222,-20.1818181818,-0.217293190989
8,8,-160,-20.0,-0.195798008479
9,7,-133,-19.0,-0.150988595917
10,6,-121,-20.1666666667,-0.150616074541
11,5,-81,-16.2,-0.160246543064
12,5,-91,-18.2,-0.123462114649
13,5,-84,-16.8,-0.105104473259
14,4,-71,-17.75,-0.13730939773
15,5,-98,-19.6,-0.0937715626007
16,3,-46,-15.3333333333,-0.0959651668294
17,4,-69,-17.25,-0.0934621875739
18,4,-67,-16.75,-0.103801250903
19,4,-70,-17.5,-0.0673314136665
20,4,-63,-15.75,-0.086780301219
21,4,-78,-19.5,-0.0530059807672
22,4,-63,-15.75,-0.0480225667817
23,4,-67,-16.75,-0.0950086033944
24,4,-61,-15.25,-0.0934528110719
25,4,-70,-17.5,-0.0658559185383
26,3,-44,-14.6666666667,-0.0631066166918
27,3,-47,-15.6666666667,-0.0587732787052
28,3,-52,-17.3333333333,-0.031487488547
29,3,-49,-16.3333333333,-0.0327880835859
30,3,-47,-15.6666666667,-0.0460662778583
31,3,-40,-13.3333333333,-0.0570523189683
32,3,-35,-11.6666666667,-0.0821923231689
33,3,-42,-14.0,-0.0268663369061
34,3,-40,-13.3333333333,-0.0873762129573
35,3,-54,-18.0,-0.0472791069257
36,4,-76,-19.0,-0.0597937324876
37,3,-42,-14.0,-0.0559346183133
38,3,-33,-11.0,-0.038547992449
39,3,-41,-13.6666666667,-0.0332406350714
40,3,-41,-13.6666666667,-0.0428683663544
41,3,-38,-12.6666666667,-0.0290107056743
42,3,-30,-10.0,-0.0295442973974
43,3,-33,-11.0,-0.0120879968919
44,3,-29,-9.66666666667,-0.0247905626125
45,3,-35,-11.6666666667,0.00829062231467
46,3,-42,-14.0,-0.022730380788
47,3,-23,-7.66666666667,-0.0524550243223
48,3,-20,-6.66666666667,-0.0328902175243
49,3,-31,-10.3333333333,-0.0323830771912
50,2,-2,-1.0,-0.0178854130092
51,2,-8,-4.0,-0.00811306771124
52,3,-32,-10.6666666667,0.0108330527612
53,4,-52,-13.0,-0.0138324475545
54,3,-11,-3.66666666667,-0.0158591191494
55,3,-20,-6.66666666667,-0.00489503300982
56,2,1,0.5,-0.0337751151016
57,3,19,6.33333333333,-0.00921645533643
58,2,14,7.0,-0.00525700803846
59,3,-26,-8.66666666667,-0.00443453748827
60,3,-44,-14.6666666667,0.0234951005224
61,4,56,14.0,-0.00997611531289
62,3,-27,-9.0,-0.0162234420644
63,4,63,15.75,-0.00238923166413
64,2,-3,-1.5,0.00802407747135
65,5,-79,-15.8,-0.00430322659086
66,3,32,10.6666666667,0.0227667376434
67,4,54,13.5,0.0161362653412
68,2,-18,-9.0,0.00249670257675
69,3,31,10.3333333333,-0.00923119279672
70,3,28,9.33333333333,-0.011885630727
71,4,52,13.0,-0.00993465759093
72,3,16,5.33333333333,0.00524802096421
73,2,-3,-1.5,-0.0255327804759
74,3,-5,-1.66666666667,-0.0136773240473
75,4,59,14.75,-0.00767749772291
76,3,0,0.0,-0.0127749778714
77,4,72,18.0,0.00588111093151
78,4,50,12.5,-0.0134771045041
79,3,16,5.33333333333,-0.0037869264558
80,4,66,16.5,0.0128867429285
81,4,58,14.5,0.00824410748668
82,4,50,12.5,-0.00716450827778
83,4,70,17.5,0.0232085328503
84,4,67,16.75,0.0271698128153
85,4,67,16.75,0.00448747415445
86,3,8,2.66666666667,0.0359687184484
87,4,73,18.25,0.0258095311117
88,4,62,15.5,-0.00242852646741
89,5,93,18.6,0.00613359616371
90,4,71,17.75,0.00740849637194
91,4,63,15.75,-0.000963566567516
92,4,57,14.25,0.0268768270803
93,4,48,12.0,0.00564728659461
94,4,63,15.75,0.0178773168602
95,2,-8,-4.0,0.0267169657093
96,3,15,5.0,0.00867380958865
97,4,62,15.5,0.020980203303
98,4,61,15.25,0.0126871885685
99,4,65,16.25,0.0123685035144
100,4,59,14.75,-0.017460555
