epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,13,-273,-21.0,-0.132294661867
2,10,-207,-20.7,-0.186880384157
3,6,-117,-19.5,-0.138690672754
4,5,-95,-19.0,-0.0704092585866
5,5,-84,-16.8,-0.0141139702743
6,4,-63,-15.75,0.0178436095943
7,4,-69,-17.25,0.0164015770529
8,5,-88,-17.6,0.0153522399266
9,4,-65,-16.25,-0.00412436117302
10,5,-91,-18.2,-0.00469649894279
11,5,-91,-18.2,0.00603488571593
12,4,-68,-17.0,-0.00468715903087
13,4,-63,-15.75,-0.0358198874618
14,3,-48,-16.0,-0.028368906156
15,3,-44,-14.6666666667,-0.00203247817204
16,4,-63,-15.75,0.0338196685264
17,4,-63,-15.75,0.00863181711902
18,3,-49,-16.3333333333,0.00448287848398
19,3,-37,-12.3333333333,0.0125795697366
20,4,-62,-15.5,0.00519565236871
21,3,-36,-12.0,0.000861381169816
22,3,-48,-16.0,-0.000667173781549
23,3,-54,-18.0,-0.0109801188193
24,3,-42,-14.0,-0.00496178817044
25,3,-28,-9.33333333333,-0.0137276679142
26,3,-46,-15.3333333333,0.0099896520392
27,2,-26,-13.0,0.0108030768902
28,2,-12,-6.0,0.00499255850889
29,3,-28,-9.33333333333,0.00238613753128
30,2,-8,-4.0,0.0266820715452
31,2,-14,-7.0,0.0221223611795
32,2,7,3.5,0.019903717664
33,2,-7,-3.5,0.0194219399636
34,2,10,5.0,0.0174893793168
35,2,9,4.5,0.0395714778968
36,2,21,10.5,0.0416071743469
37,3,32,10.6666666667,0.0720386893529
38,4,56,14.0,0.0572148157921
39,4,57,14.25,0.0580177285837
40,4,62,15.5,0.0692883155259
41,4,68,17.0,0.0798024038872
42,4,54,13.5,0.0842377832008
43,4,66,16.5,0.0712486829859
44,4,63,15.75,0.0934285825817
45,3,32,10.6666666667,0.0982965889724
46,4,66,16.5,0.0851875880436
47,4,58,14.5,0.0876187294198
48,4,65,16.25,0.0748633473337
49,4,66,16.5,0.096001749959
50,4,71,17.75,0.0777645296894
51,5,96,19.2,0.0723984576849
52,4,63,15.75,0.0689246515778
53,4,69,17.25,0.0694916951633
54,4,65,16.25,0.062036953647
55,4,65,16.25,0.0604412641563
56,4,72,18.0,0.0612100716605
57,4,68,17.0,0.0751527193253
58,4,67,16.75,0.0701712358749
59,4,64,16.0,0.0600911866565
60,5,95,19.0,0.0465789855429
61,4,71,17.75,0.0588325417542
62,5,91,18.2,0.06178771217
63,4,67,16.75,0.0608904203522
64,4,64,16.0,0.0726648790616
65,4,74,18.5,0.0728725576791
66,5,91,18.2,0.0571593282168
67,5,95,19.0,0.0679454312881
68,4,72,18.0,0.0587393035385
69,4,70,17.5,0.0674564511591
70,5,94,18.8,0.068775073007
71,5,93,18.6,0.0711505309853
72,5,88,17.6,0.0719678094325
73,5,91,18.2,0.0888479642296
74,4,61,15.25,0.0840838623681
75,5,94,18.8,0.0708636869793
76,4,69,17.25,0.0615850724315
77,4,74,18.5,0.0553180257452
78,4,58,14.5,0.0652621834102
79,5,94,18.8,0.0642596881161
80,4,72,18.0,0.0707740464585
81,5,93,18.6,0.0570199806755
82,4,72,18.0,0.051043595688
83,4,71,17.75,0.0643016109231
84,5,91,18.2,0.0715483241505
85,4,63,15.75,0.0487374562543
86,5,93,18.6,0.0646016631392
87,5,91,18.2,0.0654596967588
88,5,92,18.4,0.0547226297477
89,4,72,18.0,0.056556172503
90,5,98,19.6,0.048821278367
91,5,94,18.8,0.0554394765088
92,5,97,19.4,0.0611671274324
93,4,67,16.75,0.0501246689545
94,5,91,18.2,0.0682600379211
95,5,99,19.8,0.0446487596876
96,4,67,16.75,0.0535781855538
97,4,74,18.5,0.0404649228131
98,4,73,18.25,0.0585230678838
99,5,89,17.8,0.0544777495839
100,5,95,19.0,0.053689996858
