epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,11,-230,-20.9090909091,-0.207076343148
2,11,-229,-20.8181818182,-0.226030042198
3,6,-102,-17.0,-0.163005848618
4,5,-86,-17.2,-0.0502946016961
5,5,-80,-16.0,-0.0279496576806
6,4,-60,-15.0,0.0591088864813
7,4,-60,-15.0,0.0753009124834
8,4,-59,-14.75,0.0944551966293
9,2,-13,-6.5,0.136137137563
10,3,-34,-11.3333333333,0.108605716855
11,3,-8,-2.66666666667,0.128839976974
12,3,-30,-10.0,0.1411802175
13,2,4,2.0,0.135361225089
14,2,-13,-6.5,0.142670265667
15,2,-3,-1.5,0.132662764121
16,2,3,1.5,0.149277050195
17,3,31,10.3333333333,0.162179138174
18,3,31,10.3333333333,0.160553188584
19,3,34,11.3333333333,0.174315772628
20,3,41,13.6666666667,0.163830295781
21,4,64,16.0,0.176727856172
22,3,32,10.6666666667,0.17959381067
23,4,64,16.0,0.174853952049
24,3,44,14.6666666667,0.200997026804
25,4,58,14.5,0.19711730725
26,5,92,18.4,0.21496833302
27,4,72,18.0,0.214382683726
28,3,38,12.6666666667,0.212866213172
29,4,71,17.75,0.204144583894
30,3,40,13.3333333333,0.18617641908
31,5,95,19.0,0.169183715766
32,3,37,12.3333333333,0.188196104722
33,4,65,16.25,0.172229504714
34,5,98,19.6,0.158051337415
35,3,45,15.0,0.159942311912
36,4,73,18.25,0.176612033759
37,4,74,18.5,0.171188714186
38,4,72,18.0,0.160075432593
39,4,69,17.25,0.14374244925
40,5,94,18.8,0.129967357595
41,4,71,17.75,0.123094071614
42,4,65,16.25,0.12430350142
43,4,74,18.5,0.113936949775
44,5,93,18.6,0.121140256417
45,5,89,17.8,0.107415358672
46,4,72,18.0,0.103015699661
47,4,72,18.0,0.10170775164
48,5,92,18.4,0.108220159784
49,4,72,18.0,0.104549357123
50,4,70,17.5,0.105201124108
51,5,99,19.8,0.0984682953252
52,5,96,19.2,0.108425193424
53,5,93,18.6,0.087890372664
54,5,95,19.0,0.0957103687333
55,4,70,17.5,0.100628521012
56,5,94,18.8,0.0852930636537
57,5,97,19.4,0.0938985573441
58,4,64,16.0,0.0839372051795
59,5,91,18.2,0.0861997641985
60,5,91,18.2,0.0922121356206
61,4,71,17.75,0.0886825944082
62,4,72,18.0,0.0935485854375
63,4,67,16.75,0.0943061106543
64,4,69,17.25,0.0922126690579
65,4,74,18.5,0.0888849266992
66,5,97,19.4,0.0857523818111
67,4,68,17.0,0.0811473953644
68,5,94,18.8,0.0926418389306
69,4,73,18.25,0.0850196923086
70,4,68,17.0,0.0785255177804
71,4,71,17.75,0.0769966785226
72,5,96,19.2,0.0731652751768
73,4,67,16.75,0.0657261143813
74,5,91,18.2,0.06800328957
75,5,92,18.4,0.0752294809677
76,4,68,17.0,0.0703658298519
77,5,97,19.4,0.0687949258415
78,5,95,19.0,0.0660510595678
79,5,98,19.6,0.0651927214999
80,5,92,18.4,0.0717330645365
81,5,98,19.6,0.0660431927044
82,5,87,17.4,0.0601386709147
83,5,89,17.8,0.0629777542735
84,5,91,18.2,0.0677036980659
85,5,95,19.0,0.060271909576
86,5,93,18.6,0.0666724137474
87,4,71,17.75,0.0725254684972
88,5,95,19.0,0.0699770658172
89,5,96,19.2,0.0685411824373
90,5,91,18.2,0.0671029765342
91,5,94,18.8,0.0668233971667
92,5,102,20.4,0.06239300204
93,5,96,19.2,0.0682046794461
94,5,89,17.8,0.0814893513988
95,6,121,20.1666666667,0.0770850929967
96,5,98,19.6,0.0831236430991
97,4,71,17.75,0.0777805954759
98,5,97,19.4,0.0659738959462
99,5,89,17.8,0.0757504301125
100,4,66,16.5,0.0825583675355
