epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,30,2670,89.0,0.942377884281
2,23,4150,180.434782609,1.55577552526
3,20,4330,216.5,2.64669949819
4,21,4760,226.666666667,3.01494108155
5,20,4450,222.5,3.24526989351
6,22,4850,220.454545455,3.36457711934
7,19,4170,219.473684211,3.08392694657
8,19,4510,237.368421053,2.94690512012
9,20,4440,222.0,3.00151107598
10,20,4730,236.5,2.84988191772
11,19,4680,246.315789474,2.75670361045
12,18,4240,235.555555556,2.44963510628
13,17,4270,251.176470588,2.39286591916
14,19,4480,235.789473684,2.38292599852
15,19,4570,240.526315789,2.08064576065
16,20,5050,252.5,1.97841212605
17,18,4280,237.777777778,1.95304526842
18,19,4690,246.842105263,1.95681040906
19,18,4370,242.777777778,1.99950976886
20,18,4330,240.555555556,1.97445324915
21,18,4480,248.888888889,1.95717357328
22,18,4590,255.0,2.05044317558
23,19,4570,240.526315789,1.99440281617
24,18,4510,250.555555556,2.03883614482
25,18,4690,260.555555556,2.08383190714
26,19,4790,252.105263158,2.00430526241
27,20,4660,233.0,1.92003772811
28,23,5420,235.652173913,1.97856107135
29,15,11160,744.0,1.96749057297
30,19,5540,291.578947368,2.06277014836
31,18,7020,390.0,2.12549960839
32,18,4670,259.444444444,2.05236986618
33,20,4610,230.5,1.94387755037
34,16,7850,490.625,2.13244661932
35,18,5580,310.0,1.94268668821
36,20,5520,276.0,1.96481059134
37,18,4250,236.111111111,1.98885283052
38,21,4870,231.904761905,2.11372781562
39,20,5040,252.0,2.09501129081
40,19,4720,248.421052632,2.10057447001
41,14,10460,747.142857143,2.05008852324
42,19,5880,309.473684211,2.06095593282
43,17,4980,292.941176471,2.12581188674
44,20,4840,242.0,2.03975286748
45,19,4630,243.684210526,2.06118025934
46,17,8710,512.352941176,2.02335507803
47,19,4880,256.842105263,2.05766894445
48,18,6410,356.111111111,2.22310710389
49,18,4580,254.444444444,2.0469962904
50,18,5200,288.888888889,2.08334085062
51,18,4450,247.222222222,2.10682506639
52,19,5880,309.473684211,2.1969672555
53,12,17270,1439.16666667,2.16199272571
54,18,4540,252.222222222,2.154000088
55,19,4540,238.947368421,2.32222838551
56,17,11290,664.117647059,2.31594222543
57,16,11830,739.375,2.08760777061
58,16,6130,383.125,2.17801943843
59,16,7090,443.125,2.25745972618
60,18,7680,426.666666667,2.28805988063
61,15,6460,430.666666667,2.29067257357
62,17,7260,427.058823529,2.26254221154
63,16,4100,256.25,2.27185089753
64,11,15660,1423.63636364,2.31066308205
65,18,4300,238.888888889,2.09726542234
66,16,12070,754.375,2.31137579289
67,16,10340,646.25,2.26123714552
68,18,9960,553.333333333,2.15156039088
69,12,9750,812.5,2.13209922373
70,17,5240,308.235294118,2.14458953454
71,18,5550,308.333333333,2.22279542957
72,17,8720,512.941176471,2.34882548216
73,15,11440,762.666666667,2.20331447005
74,18,4330,240.555555556,2.15475832706
75,15,9530,635.333333333,2.12023608611
76,16,9090,568.125,2.29548865791
77,17,9340,549.411764706,2.16184029025
78,17,6830,401.764705882,2.27746020328
79,17,7970,468.823529412,2.26565464333
80,14,13960,997.142857143,2.25654231569
81,15,9920,661.333333333,2.38740959568
82,13,13620,1047.69230769,2.42665158596
83,20,6810,340.5,2.36896926548
84,15,10210,680.666666667,2.57076566389
85,21,7660,364.761904762,2.43390948722
86,15,10960,730.666666667,2.31657430185
87,19,4910,258.421052632,2.34498991158
88,18,5290,293.888888889,2.37600620376
89,17,10220,601.176470588,2.26787466332
90,17,9150,538.235294118,2.18613839196
91,13,12780,983.076923077,2.28679002048
92,17,7780,457.647058824,2.41246429624
93,15,10130,675.333333333,2.18164456006
94,16,8340,521.25,2.28096733121
95,19,5140,270.526315789,2.36020981578
96,19,4510,237.368421053,2.26340725772
97,16,8780,548.75,2.33494417144
98,17,8810,518.235294118,2.2519767121
99,19,9290,488.947368421,2.33273037089
100,14,8140,581.428571429,2.11117287192
