epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,15,10250,683.333333333,1.72054981425
2,18,9640,535.555555556,3.50153126123
3,16,10980,686.25,5.00019518374
4,16,9260,578.75,6.03268771974
5,14,10710,765.0,6.08530630914
6,14,10320,737.142857143,5.92796585605
7,14,11520,822.857142857,5.72014859508
8,14,14430,1030.71428571,5.38418010796
9,13,14000,1076.92307692,5.41531866649
10,12,14210,1184.16666667,5.44160263381
11,11,15200,1381.81818182,5.20973814501
12,13,14450,1111.53846154,5.15940865944
13,12,15690,1307.5,5.12934360793
14,11,14670,1333.63636364,5.4765507345
15,12,15290,1274.16666667,5.32333072104
16,14,14720,1051.42857143,5.28395952742
17,13,16370,1259.23076923,5.19748567748
18,12,18180,1515.0,5.33516718671
19,13,19620,1509.23076923,5.4795042971
20,11,18330,1666.36363636,5.63293856179
21,14,22710,1622.14285714,5.63536934695
22,12,20790,1732.5,5.2653838466
23,12,19490,1624.16666667,5.41179246409
24,12,19800,1650.0,5.35639143973
25,11,22950,2086.36363636,5.54738263715
26,12,19710,1642.5,5.58695048542
27,12,20720,1726.66666667,5.65430184774
28,11,21540,1958.18181818,5.43531897585
29,12,23640,1970.0,5.68736566588
30,10,20780,2078.0,5.52274288632
31,10,17600,1760.0,5.43964410893
32,12,19470,1622.5,5.49305043544
33,12,26430,2202.5,5.31643632185
34,10,19110,1911.0,5.41421101946
35,12,25370,2114.16666667,5.25187992059
36,12,19550,1629.16666667,5.21302629163
37,10,16790,1679.0,5.3510715113
38,13,21780,1675.38461538,5.23719590453
39,10,20330,2033.0,5.08867368711
40,12,18450,1537.5,5.1043396531
41,12,21520,1793.33333333,5.21686977675
42,12,20580,1715.0,4.87149550343
43,13,18820,1447.69230769,4.92213815656
44,11,20870,1897.27272727,5.0235071254
45,10,22600,2260.0,5.10333002411
46,11,20150,1831.81818182,5.02649418613
47,12,22540,1878.33333333,4.97283719938
48,11,20330,1848.18181818,5.11550726522
49,11,19350,1759.09090909,5.24382055243
50,13,17540,1349.23076923,5.06954625739
51,11,24470,2224.54545455,5.06756053112
52,11,21350,1940.90909091,5.14541029679
53,11,23350,2122.72727273,5.22406556778
54,11,26860,2441.81818182,5.1884950294
55,10,26010,2601.0,4.95377190523
56,11,25870,2351.81818182,5.0046295305
57,12,23250,1937.5,5.11997596126
58,11,23920,2174.54545455,5.31543598764
59,10,20710,2071.0,5.05635860773
60,10,23410,2341.0,5.09723401438
61,11,22630,2057.27272727,5.23473449228
62,9,24500,2722.22222222,5.08448360955
63,12,22030,1835.83333333,5.16842392176
64,10,24010,2401.0,5.02454844994
65,10,21940,2194.0,5.0984306757
66,10,21950,2195.0,4.87944995442
67,11,20150,1831.81818182,5.00962581662
68,10,21090,2109.0,4.90821871893
69,11,20690,1880.90909091,5.00632174218
70,9,22240,2471.11111111,4.76352009438
71,10,22510,2251.0,4.81590711568
72,9,21320,2368.88888889,4.85448700219
73,10,21790,2179.0,5.03142346459
74,10,21330,2133.0,4.89528810792
75,11,22610,2055.45454545,4.85610182188
76,10,20410,2041.0,4.86424019866
77,11,34840,3167.27272727,4.75024812559
78,11,26090,2371.81818182,4.89492635086
79,11,22300,2027.27272727,4.96031450197
80,11,20120,1829.09090909,4.94176969947
81,12,22470,1872.5,5.08311853969
82,10,22950,2295.0,4.90328340199
83,11,22090,2008.18181818,4.93785912149
84,10,21490,2149.0,4.87355342455
85,12,21270,1772.5,5.08652078092
86,11,26110,2373.63636364,4.92595149636
87,11,20820,1892.72727273,4.78135285303
88,11,21740,1976.36363636,4.79807542179
89,11,19030,1730.0,5.01731587812
90,10,23200,2320.0,4.88433072709
91,10,20650,2065.0,4.8916520592
92,14,20900,1492.85714286,5.074220224
93,10,23370,2337.0,4.8724876176
94,10,21690,2169.0,4.81050744489
95,10,20380,2038.0,4.96088608252
96,11,23360,2123.63636364,4.90298493274
97,11,22750,2068.18181818,5.00943956494
98,10,21690,2169.0,4.90205549486
99,10,22420,2242.0,4.97653184753
100,10,21350,2135.0,5.04201170903
