epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,15,1460,97.3333333333,0.37299348139
2,7,3240,462.857142857,0.901433805489
3,9,3160,351.111111111,1.25731773559
4,8,3000,375.0,1.78761213725
5,8,3260,407.5,1.9850477658
6,11,2600,236.363636364,2.14455550939
7,8,3240,405.0,2.10239132055
8,13,2620,201.538461538,1.94225732806
9,10,3060,306.0,1.95551409245
10,8,3360,420.0,1.91847595418
11,12,3620,301.666666667,1.88007433282
12,10,3160,316.0,1.91482219699
13,12,3260,271.666666667,1.82542219805
14,11,3320,301.818181818,1.74334811014
15,11,3200,290.909090909,1.59232789481
16,15,3400,226.666666667,1.58471238946
17,11,3420,310.909090909,1.65183767937
18,14,3180,227.142857143,1.6514866195
19,11,3960,360.0,1.61229447811
20,12,3800,316.666666667,1.54920377778
21,12,3560,296.666666667,1.5557502189
22,11,3920,356.363636364,1.42297027829
23,12,4440,370.0,1.3916908591
24,12,3660,305.0,1.41296567545
25,11,4280,389.090909091,1.36115734736
26,12,4140,345.0,1.42913222964
27,11,4640,421.818181818,1.3715861193
28,12,4520,376.666666667,1.36400017776
29,12,4580,381.666666667,1.32616066752
30,13,4640,356.923076923,1.28184479373
31,8,4360,545.0,1.32055700434
32,12,4260,355.0,1.25634628268
33,12,4960,413.333333333,1.30454614121
34,11,5260,478.181818182,1.27720060934
35,14,4160,297.142857143,1.23745842298
36,12,5600,466.666666667,1.23805321204
37,12,4700,391.666666667,1.29953060461
38,9,6000,666.666666667,1.26764161742
39,11,5960,541.818181818,1.23220400461
40,13,5160,396.923076923,1.23180016756
41,13,5540,426.153846154,1.25778291048
42,13,5500,423.076923077,1.24182779366
43,3,180,60.0,1.28047384111
44,11,5600,509.090909091,1.20256827087
45,13,5720,440.0,1.17688498936
46,13,5060,389.230769231,1.22922040883
47,15,4020,268.0,1.21686935603
48,13,5380,413.846153846,1.21830720794
49,12,5060,421.666666667,1.20866941499
50,10,6120,612.0,1.25624046958
51,12,5860,488.333333333,1.27701655479
52,9,3640,404.444444444,1.3089554212
53,10,6840,684.0,1.29460110001
54,9,6880,764.444444444,1.27038258835
55,13,5520,424.615384615,1.28740844841
56,10,4740,474.0,1.28770475743
57,12,5060,421.666666667,1.33507384721
58,8,5220,652.5,1.39049915369
59,10,5680,568.0,1.32754817661
60,9,7320,813.333333333,1.28592991984
61,9,7180,797.777777778,1.23979079964
62,10,6520,652.0,1.23883700416
63,12,6160,513.333333333,1.25541603258
64,11,6620,601.818181818,1.23784286717
65,9,7980,886.666666667,1.25726040566
66,9,7440,826.666666667,1.25051288864
67,10,7000,700.0,1.26237632507
68,8,7700,962.5,1.22800818928
69,8,6600,825.0,1.19763705702
70,9,6440,715.555555556,1.27736298128
71,11,6420,583.636363636,1.25443561901
72,10,5980,598.0,1.27625500766
73,7,6440,920.0,1.33403484665
74,12,5440,453.333333333,1.35614792886
75,12,6220,518.333333333,1.28338296755
76,14,5240,374.285714286,1.32026035086
77,7,6360,908.571428571,1.30406736799
78,8,6660,832.5,1.21975937925
79,13,5160,396.923076923,1.28517484591
80,16,5440,340.0,1.30867474442
81,12,5040,420.0,1.39855371237
82,10,4620,462.0,1.39194962512
83,7,6000,857.142857143,1.37284111438
84,11,6100,554.545454545,1.46066087881
85,15,4700,313.333333333,1.52097307577
86,11,6480,589.090909091,1.48611078284
87,10,6380,638.0,1.42488421842
88,12,7530,627.5,1.39944525052
89,15,5100,340.0,1.35721315201
90,13,4880,375.384615385,1.27938925987
91,10,6820,682.0,1.33424451783
92,13,5580,429.230769231,1.29380104993
93,13,6140,472.307692308,1.30880535191
94,11,5000,454.545454545,1.23432159463
95,9,7460,828.888888889,1.26231397929
96,13,5820,447.692307692,1.2556378191
97,9,6320,702.222222222,1.29294982711
98,11,5060,460.0,1.27877619114
99,8,6480,810.0,1.24217132872
100,11,7300,663.636363636,1.23387371304
