epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,13,2595,199.615384615,0.417031797972
2,10,1825,182.5,0.524453793559
3,14,2210,157.857142857,0.553984725927
4,13,2605,200.384615385,0.722169445674
5,13,2520,193.846153846,0.820903979498
6,12,2865,238.75,0.902044402778
7,13,3300,253.846153846,0.960667689224
8,13,3320,255.384615385,1.05336489283
9,16,2485,155.3125,1.00246851734
10,13,3265,251.153846154,1.08392196774
11,15,2790,186.0,1.12401658268
12,15,2750,183.333333333,1.13070728984
13,14,3355,239.642857143,1.12405363513
14,14,2540,181.428571429,1.09251254254
15,11,3290,299.090909091,1.14016600471
16,13,2585,198.846153846,1.12453221509
17,12,2665,222.083333333,1.08978683893
18,13,2925,225.0,1.06872422569
19,12,2435,202.916666667,1.06734715425
20,15,3165,211.0,1.05613289882
21,12,3170,264.166666667,1.08349830116
22,14,2975,212.5,1.10906183306
23,15,2440,162.666666667,1.05795306208
24,10,3150,315.0,1.00116856877
25,12,2560,213.333333333,1.03869039784
26,11,3155,286.818181818,1.05788831441
27,12,2895,241.25,1.07684435672
28,13,3455,265.769230769,1.06402359379
29,10,2860,286.0,1.04804222268
30,13,3385,260.384615385,1.07651634875
31,12,3695,307.916666667,1.05974795888
32,13,3410,262.307692308,1.06650380693
33,12,3275,272.916666667,1.01565225712
34,11,3660,332.727272727,0.995502322465
35,12,3930,327.5,0.959577856306
36,15,2750,183.333333333,0.984776796084
37,12,3920,326.666666667,0.973426424274
38,14,2495,178.214285714,1.0093165486
39,14,2965,211.785714286,0.923503468307
40,12,3745,312.083333333,0.917426353619
41,11,1785,162.272727273,0.903559693852
42,12,3180,265.0,0.915990758762
43,14,3440,245.714285714,0.900486254571
44,13,2885,221.923076923,0.87179092519
45,13,3725,286.538461538,0.874030763609
46,13,2950,226.923076923,1.00689845981
47,10,2745,274.5,0.914023014018
48,12,3525,293.75,0.877065826934
49,12,3530,294.166666667,0.892086767843
50,14,3545,253.214285714,0.894790502461
51,15,3505,233.666666667,0.927032168834
52,13,3225,248.076923077,0.891671169298
53,13,3735,287.307692308,0.943051168155
54,12,3950,329.166666667,0.909188952409
55,11,3665,333.181818182,0.908353932519
56,14,3230,230.714285714,0.91328029369
57,12,3495,291.25,0.895096254749
58,12,3970,330.833333333,0.9585485953
59,13,2905,223.461538462,0.912778173741
60,13,3590,276.153846154,0.92664406281
61,13,3190,245.384615385,0.92757805814
62,13,1655,127.307692308,0.912215772886
63,11,3845,349.545454545,0.886061939858
64,14,3390,242.142857143,0.889881817335
65,13,3625,278.846153846,0.91482121069
66,13,3745,288.076923077,0.926509809531
67,11,2975,270.454545455,0.92235085912
68,14,2830,202.142857143,0.920959666576
69,13,3195,245.769230769,0.931227190113
70,11,3020,274.545454545,0.917443461157
71,11,3680,334.545454545,0.908787734117
72,13,3160,243.076923077,0.876377687659
73,12,3270,272.5,0.87356435244
74,13,3430,263.846153846,0.909768083245
75,14,3020,215.714285714,0.884904629039
76,13,3200,246.153846154,0.870152676627
77,14,2990,213.571428571,0.885888599297
78,10,3575,357.5,0.86415556604
79,11,3250,295.454545455,0.849078002004
80,12,2685,223.75,0.872209832789
81,15,3045,203.0,0.896613759231
82,12,3580,298.333333333,0.915713242544
83,13,3715,285.769230769,0.906491389256
84,13,2705,208.076923077,0.85385503863
85,10,3485,348.5,0.903473963458
86,13,2850,219.230769231,0.910386374677
87,14,2070,147.857142857,0.885466880538
88,12,3325,277.083333333,0.884407505244
89,11,3300,300.0,0.893891276009
90,12,3155,262.916666667,0.862610251158
91,12,3110,259.166666667,0.877327378308
92,10,3585,358.5,0.888634048747
93,13,2290,176.153846154,0.883836221481
94,12,3165,263.75,0.887304875134
95,13,3360,258.461538462,0.905623919684
96,13,3525,271.153846154,0.89580096039
97,12,3090,257.5,0.854712651465
98,12,3810,317.5,0.807527795564
99,11,3885,353.181818182,0.870944064371
100,13,4080,313.846153846,0.85710478791
