epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,11,-225,-20.4545454545,-0.000560243924901
2,12,-250,-20.8333333333,-0.0236818580615
3,10,-202,-20.2,-0.075485049001
4,12,-251,-20.9166666667,-0.148362774072
5,12,-251,-20.9166666667,-0.275395888226
6,10,-206,-20.6,-0.314752875768
7,12,-249,-20.75,-0.313565891525
8,12,-251,-20.9166666667,-0.309470155441
9,12,-247,-20.5833333333,-0.273475279265
10,11,-225,-20.4545454545,-0.301976325107
11,10,-204,-20.4,-0.288799234783
12,12,-248,-20.6666666667,-0.315765721902
13,9,-179,-19.8888888889,-0.314573202459
14,11,-229,-20.8181818182,-0.284224544691
15,11,-225,-20.4545454545,-0.254645226902
16,9,-173,-19.2222222222,-0.291207614425
17,11,-226,-20.5454545455,-0.298077921891
18,8,-159,-19.875,-0.264527061463
19,8,-152,-19.0,-0.274073803328
20,9,-181,-20.1111111111,-0.249568858127
21,8,-160,-20.0,-0.270895096542
22,7,-142,-20.2857142857,-0.257089597216
23,10,-209,-20.9,-0.273422260115
24,10,-204,-20.4,-0.249952319464
25,8,-153,-19.125,-0.268669546364
26,9,-180,-20.0,-0.272506752405
27,7,-134,-19.1428571429,-0.258566204293
28,7,-137,-19.5714285714,-0.227532525039
29,6,-117,-19.5,-0.242195663987
30,7,-140,-20.0,-0.217973927457
31,8,-155,-19.375,-0.212289474504
32,6,-119,-19.8333333333,-0.231304100409
33,7,-133,-19.0,-0.244217547297
34,7,-144,-20.5714285714,-0.179699810877
35,8,-165,-20.625,-0.223818065059
36,7,-135,-19.2857142857,-0.164537038119
37,7,-137,-19.5714285714,-0.196609286553
38,7,-135,-19.2857142857,-0.2217080683
39,8,-155,-19.375,-0.176689537854
40,7,-138,-19.7142857143,-0.171729623038
41,7,-133,-19.0,-0.154859880315
42,6,-113,-18.8333333333,-0.19645342057
43,6,-115,-19.1666666667,-0.16242473848
44,7,-138,-19.7142857143,-0.15042268581
45,6,-119,-19.8333333333,-0.168762838115
46,6,-119,-19.8333333333,-0.185947159034
47,7,-141,-20.1428571429,-0.1912456379
48,7,-135,-19.2857142857,-0.174100294891
49,8,-158,-19.75,-0.165797249809
50,6,-119,-19.8333333333,-0.159881862339
51,5,-91,-18.2,-0.155764040626
52,8,-160,-20.0,-0.129849786085
53,6,-116,-19.3333333333,-0.17773996692
54,7,-136,-19.4285714286,-0.125240735608
55,6,-113,-18.8333333333,-0.136529597569
56,7,-139,-19.8571428571,-0.141971614821
57,6,-113,-18.8333333333,-0.113794804184
58,6,-115,-19.1666666667,-0.121683636859
59,7,-137,-19.5714285714,-0.153593986569
60,6,-109,-18.1666666667,-0.163477682082
61,6,-120,-20.0,-0.160786878151
62,6,-114,-19.0,-0.128527222848
63,6,-116,-19.3333333333,-0.156085304932
64,6,-105,-17.5,-0.112631990611
65,5,-88,-17.6,-0.134794123977
66,6,-109,-18.1666666667,-0.0910746357157
67,6,-112,-18.6666666667,-0.138764632065
68,6,-111,-18.5,-0.119615236306
69,7,-140,-20.0,-0.110323498848
70,6,-116,-19.3333333333,-0.0846889642312
71,5,-89,-17.8,-0.0959570917918
72,5,-92,-18.4,-0.109600104321
73,5,-95,-19.0,-0.11420171548
74,7,-127,-18.1428571429,-0.109999538737
75,5,-99,-19.8,-0.135353246476
76,5,-93,-18.6,-0.131777938992
77,7,-136,-19.4285714286,-0.117286011322
78,7,-135,-19.2857142857,-0.0959775178199
79,5,-86,-17.2,-0.109915646922
80,6,-113,-18.8333333333,-0.115252978292
81,5,-98,-19.6,-0.147612764056
82,5,-92,-18.4,-0.130999099705
83,5,-94,-18.8,-0.103585939326
84,5,-96,-19.2,-0.123847192848
85,6,-117,-19.5,-0.113033413843
86,6,-117,-19.5,-0.116679733586
87,6,-120,-20.0,-0.116718038124
88,6,-119,-19.8333333333,-0.123712375087
89,6,-113,-18.8333333333,-0.100717792494
90,5,-91,-18.2,-0.112558077363
91,6,-117,-19.5,-0.122417043142
92,7,-135,-19.2857142857,-0.114286577716
93,6,-115,-19.1666666667,-0.124107809187
94,6,-117,-19.5,-0.0861067869156
95,5,-87,-17.4,-0.112390045167
96,5,-97,-19.4,-0.105336512985
97,6,-118,-19.6666666667,-0.0869351507747
98,5,-104,-20.8,-0.0718804688284
99,5,-91,-18.2,-0.0920765907779
100,5,-98,-19.6,-0.0794783923454
