epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,12,-251,-20.9166666667,-0.112597376712
2,12,-250,-20.8333333333,-0.235110096965
3,10,-207,-20.7,-0.219939899057
4,10,-205,-20.5,-0.235929514272
5,12,-252,-21.0,-0.256714814647
6,10,-208,-20.8,-0.239336086842
7,12,-251,-20.9166666667,-0.262392426022
8,13,-273,-21.0,-0.220725088263
9,10,-205,-20.5,-0.246208834625
10,10,-209,-20.9,-0.245771304047
11,11,-226,-20.5454545455,-0.232384277522
12,9,-177,-19.6666666667,-0.241542668978
13,11,-228,-20.7272727273,-0.238345940629
14,12,-251,-20.9166666667,-0.23551940113
15,8,-162,-20.25,-0.237922052767
16,8,-158,-19.75,-0.211913361499
17,9,-181,-20.1111111111,-0.246454703283
18,9,-183,-20.3333333333,-0.239900759799
19,13,-273,-21.0,-0.253636869504
20,8,-162,-20.25,-0.236872677062
21,7,-135,-19.2857142857,-0.246759469363
22,8,-152,-19.0,-0.233603505436
23,8,-149,-18.625,-0.276102533281
24,7,-134,-19.1428571429,-0.208130455661
25,7,-137,-19.5714285714,-0.22571337955
26,10,-204,-20.4,-0.237263490273
27,8,-151,-18.875,-0.253109031324
28,6,-107,-17.8333333333,-0.223681339724
29,7,-139,-19.8571428571,-0.227495763275
30,6,-108,-18.0,-0.210721735398
31,11,-229,-20.8181818182,-0.181948623793
32,8,-153,-19.125,-0.192048536698
33,8,-161,-20.125,-0.183165878536
34,7,-135,-19.2857142857,-0.215624421101
35,7,-136,-19.4285714286,-0.158534725792
36,7,-136,-19.4285714286,-0.159407743803
37,7,-136,-19.4285714286,-0.193737977327
38,6,-111,-18.5,-0.141920459258
39,7,-134,-19.1428571429,-0.130413150547
40,8,-161,-20.125,-0.175226244559
41,6,-108,-18.0,-0.153939146637
42,6,-109,-18.1666666667,-0.172519398981
43,7,-136,-19.4285714286,-0.158782127412
44,6,-118,-19.6666666667,-0.153193449746
45,9,-185,-20.5555555556,-0.149540265568
46,6,-114,-19.0,-0.149897566474
47,6,-113,-18.8333333333,-0.137093471581
48,6,-115,-19.1666666667,-0.114849430052
49,6,-114,-19.0,-0.137138855101
50,6,-109,-18.1666666667,-0.133576506904
51,6,-110,-18.3333333333,-0.119813546001
52,8,-156,-19.5,-0.147981482207
53,6,-115,-19.1666666667,-0.130301282839
54,6,-114,-19.0,-0.138742964391
55,7,-134,-19.1428571429,-0.126331694765
56,7,-127,-18.1428571429,-0.136626515823
57,6,-110,-18.3333333333,-0.111618056833
58,7,-137,-19.5714285714,-0.170065347859
59,6,-112,-18.6666666667,-0.175058277723
60,8,-163,-20.375,-0.14059047689
61,6,-109,-18.1666666667,-0.146463869647
62,6,-109,-18.1666666667,-0.163022752617
63,6,-114,-19.0,-0.13098970712
64,6,-112,-18.6666666667,-0.143455904938
65,7,-134,-19.1428571429,-0.150416397427
66,6,-113,-18.8333333333,-0.166751867616
67,6,-111,-18.5,-0.12053309751
68,6,-107,-17.8333333333,-0.146005164435
69,7,-132,-18.8571428571,-0.14041097449
70,7,-133,-19.0,-0.134930172236
71,6,-122,-20.3333333333,-0.147131200872
72,5,-89,-17.8,-0.139236241197
73,6,-113,-18.8333333333,-0.113421740301
74,6,-110,-18.3333333333,-0.122296209091
75,6,-113,-18.8333333333,-0.10464962025
76,7,-134,-19.1428571429,-0.143051842393
77,6,-117,-19.5,-0.140299057852
78,5,-88,-17.6,-0.128202971442
79,7,-131,-18.7142857143,-0.129554413102
80,6,-113,-18.8333333333,-0.121147314368
81,6,-103,-17.1666666667,-0.129110808735
82,7,-129,-18.4285714286,-0.112269078835
83,6,-117,-19.5,-0.12092801267
84,6,-110,-18.3333333333,-0.125258247677
85,6,-115,-19.1666666667,-0.125670789237
86,6,-105,-17.5,-0.108918042814
87,5,-93,-18.6,-0.118922318148
88,6,-106,-17.6666666667,-0.119182021812
89,7,-132,-18.8571428571,-0.109748016548
90,6,-110,-18.3333333333,-0.125106239408
91,6,-103,-17.1666666667,-0.100487383073
92,7,-127,-18.1428571429,-0.107174696154
93,6,-118,-19.6666666667,-0.117005451136
94,6,-111,-18.5,-0.121892229047
95,6,-101,-16.8333333333,-0.125320018874
96,6,-100,-16.6666666667,-0.085068586549
97,5,-94,-18.8,-0.107947152412
98,7,-138,-19.7142857143,-0.111028042546
99,6,-110,-18.3333333333,-0.103225780211
100,6,-104,-17.3333333333,-0.109048977104
