epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,13,-273,-21.0,-0.138188554003
2,11,-226,-20.5454545455,-0.201102504279
3,12,-252,-21.0,-0.201308689087
4,13,-273,-21.0,-0.244623738787
5,11,-231,-21.0,-0.220553657635
6,11,-229,-20.8181818182,-0.215942117551
7,13,-273,-21.0,-0.180170256072
8,13,-273,-21.0,-0.187307264679
9,13,-273,-21.0,-0.213467787627
10,10,-200,-20.0,-0.222935778609
11,13,-273,-21.0,-0.254495989119
12,12,-247,-20.5833333333,-0.263882314094
13,10,-200,-20.0,-0.256958326861
14,12,-252,-21.0,-0.241942743026
15,12,-249,-20.75,-0.278093671472
16,13,-273,-21.0,-0.254585437688
17,12,-252,-21.0,-0.253411379492
18,12,-252,-21.0,-0.249056904559
19,13,-273,-21.0,-0.290494723547
20,13,-273,-21.0,-0.293344093752
21,11,-228,-20.7272727273,-0.298655773796
22,10,-201,-20.1,-0.301021608347
23,10,-203,-20.3,-0.291578832412
24,10,-197,-19.7,-0.303950376997
25,13,-273,-21.0,-0.270588478481
26,13,-273,-21.0,-0.28064343843
27,10,-203,-20.3,-0.31678093193
28,9,-175,-19.4444444444,-0.284514203658
29,13,-273,-21.0,-0.259892617995
30,13,-273,-21.0,-0.282715493549
31,13,-273,-21.0,-0.310849651269
32,13,-273,-21.0,-0.291787965561
33,13,-273,-21.0,-0.278690593425
34,11,-226,-20.5454545455,-0.275371960532
35,12,-240,-20.0,-0.296156639578
36,11,-231,-21.0,-0.282939291131
37,13,-273,-21.0,-0.295252475676
38,12,-252,-21.0,-0.288668889611
39,10,-198,-19.8,-0.306388873914
40,13,-273,-21.0,-0.276909249993
41,13,-273,-21.0,-0.301109801774
42,11,-226,-20.5454545455,-0.3081336489
43,10,-196,-19.6,-0.30644731575
44,12,-252,-21.0,-0.272445456252
45,13,-273,-21.0,-0.275281602367
46,13,-273,-21.0,-0.296093769478
47,13,-273,-21.0,-0.320230904839
48,10,-193,-19.3,-0.285727245332
49,11,-219,-19.9090909091,-0.283338731617
50,11,-227,-20.6363636364,-0.132501784256
51,13,-273,-21.0,-0.126491747287
52,12,-251,-20.9166666667,-0.130977936133
53,13,-273,-21.0,-0.149066110525
54,11,-228,-20.7272727273,-0.180587661952
55,11,-228,-20.7272727273,-0.17612217547
56,12,-246,-20.5,-0.173459749066
57,10,-207,-20.7,-0.186262217197
58,13,-273,-21.0,-0.189307385252
59,12,-251,-20.9166666667,-0.200305921763
60,10,-207,-20.7,-0.206544289143
61,11,-224,-20.3636363636,-0.223710453628
62,12,-250,-20.8333333333,-0.240142609597
63,13,-273,-21.0,-0.239071949047
64,11,-228,-20.7272727273,-0.230649573225
65,12,-250,-20.8333333333,-0.227747277819
66,10,-209,-20.9,-0.255380341564
67,13,-273,-21.0,-0.234529536741
68,13,-273,-21.0,-0.233754093176
69,10,-200,-20.0,-0.230664567695
70,11,-224,-20.3636363636,-0.252123743183
71,12,-248,-20.6666666667,-0.263239888502
72,12,-245,-20.4166666667,-0.24490420859
73,9,-180,-20.0,-0.27756682436
74,12,-249,-20.75,-0.286043559673
75,12,-252,-21.0,-0.277616618228
76,12,-250,-20.8333333333,-0.253618148102
77,13,-273,-21.0,-0.261023228548
78,12,-252,-21.0,-0.251930799859
79,11,-228,-20.7272727273,-0.237534542389
80,13,-273,-21.0,-0.248781295723
81,11,-220,-20.0,-0.266063798414
82,11,-227,-20.6363636364,-0.278359526543
83,12,-251,-20.9166666667,-0.295522862231
84,12,-250,-20.8333333333,-0.342250688166
85,13,-273,-21.0,-0.29636587127
86,12,-252,-21.0,-0.288919791315
87,12,-250,-20.8333333333,-0.259503901522
88,12,-252,-21.0,-0.264937526281
89,11,-227,-20.6363636364,-0.269360778197
90,11,-227,-20.6363636364,-0.273826218751
91,10,-199,-19.9,-0.257614487969
92,12,-246,-20.5,-0.261179807264
93,13,-273,-21.0,-0.291040484447
94,13,-273,-21.0,-0.287683737881
95,12,-251,-20.9166666667,-0.287348678752
96,13,-273,-21.0,-0.287836211584
97,13,-273,-21.0,-0.253239165724
98,12,-249,-20.75,-0.289703801381
99,11,-222,-20.1818181818,-0.294112428175
100,12,-251,-20.9166666667,-0.272087363876
