epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,12,-249,-20.75,-0.181399297658
2,13,-273,-21.0,-0.237904592291
3,13,-273,-21.0,-0.241903945971
4,12,-248,-20.6666666667,-0.275210044105
5,13,-273,-21.0,-0.245164641878
6,12,-248,-20.6666666667,-0.273471418871
7,13,-273,-21.0,-0.281746437838
8,13,-273,-21.0,-0.290446424126
9,11,-220,-20.0,-0.271459527537
10,13,-273,-21.0,-0.281946397135
11,13,-273,-21.0,-0.279267144897
12,13,-273,-21.0,-0.268181350427
13,12,-251,-20.9166666667,-0.287210975918
14,12,-251,-20.9166666667,-0.299614744764
15,11,-231,-21.0,-0.287236905536
16,12,-246,-20.5,-0.246409661351
17,13,-273,-21.0,-0.246492545232
18,13,-273,-21.0,-0.227241670266
19,12,-250,-20.8333333333,-0.247984892279
20,13,-273,-21.0,-0.239914948298
21,12,-250,-20.8333333333,-0.26388874176
22,10,-210,-21.0,-0.236358359111
23,12,-250,-20.8333333333,-0.239989148416
24,12,-249,-20.75,-0.252872664314
25,12,-251,-20.9166666667,-0.221203953996
26,12,-252,-21.0,-0.231819366589
27,13,-271,-20.8461538462,-0.224605652504
28,12,-250,-20.8333333333,-0.222161929589
29,13,-273,-21.0,-0.238668346945
30,13,-273,-21.0,-0.234263058454
31,13,-273,-21.0,-0.219946916495
32,13,-273,-21.0,-0.230419490114
33,13,-273,-21.0,-0.233004286755
34,12,-252,-21.0,-0.269385234937
35,12,-250,-20.8333333333,-0.269720711969
36,12,-252,-21.0,-0.249196986705
37,13,-273,-21.0,-0.259688129928
38,12,-248,-20.6666666667,-0.215728398431
39,13,-273,-21.0,-0.231554804333
40,12,-248,-20.6666666667,-0.220819027964
41,12,-249,-20.75,-0.245971047692
42,12,-247,-20.5833333333,-0.275909630116
43,12,-252,-21.0,-0.267367279287
44,12,-251,-20.9166666667,-0.250268439297
45,13,-273,-21.0,-0.23743200209
46,13,-273,-21.0,-0.296695903502
47,12,-250,-20.8333333333,-0.274959027097
48,13,-273,-21.0,-0.262506076675
49,12,-252,-21.0,-0.230020978488
50,13,-273,-21.0,-0.240471829697
51,12,-251,-20.9166666667,-0.275924564768
52,11,-227,-20.6363636364,-0.265701934062
53,12,-252,-21.0,-0.23609271815
54,12,-252,-21.0,-0.246825939547
55,11,-231,-21.0,-0.218248681482
56,12,-252,-21.0,-0.247253930364
57,13,-273,-21.0,-0.267211784013
58,13,-273,-21.0,-0.281756883319
59,12,-252,-21.0,-0.261719282586
60,12,-252,-21.0,-0.246983209848
61,13,-273,-21.0,-0.252336508818
62,11,-231,-21.0,-0.246189312916
63,13,-273,-21.0,-0.242787472773
64,11,-230,-20.9090909091,-0.283001604583
65,13,-273,-21.0,-0.264766306952
66,11,-226,-20.5454545455,-0.257746922188
67,12,-249,-20.75,-0.289953097925
68,11,-231,-21.0,-0.229663017094
69,11,-228,-20.7272727273,-0.265779009312
70,12,-249,-20.75,-0.263686988801
71,12,-252,-21.0,-0.251899597123
72,12,-252,-21.0,-0.264660934582
73,10,-210,-21.0,-0.275079843216
74,13,-273,-21.0,-0.259962050021
75,13,-273,-21.0,-0.258465639874
76,13,-273,-21.0,-0.266521003656
77,13,-273,-21.0,-0.241307695694
78,13,-273,-21.0,-0.256558498628
79,13,-273,-21.0,-0.231670503728
80,11,-224,-20.3636363636,-0.249946891628
81,13,-273,-21.0,-0.274287461676
82,11,-231,-21.0,-0.266080859415
83,11,-222,-20.1818181818,-0.198820207305
84,13,-273,-21.0,-0.249098210335
85,13,-273,-21.0,-0.221801630855
86,13,-273,-21.0,-0.209727697894
87,13,-273,-21.0,-0.223455004431
88,12,-249,-20.75,-0.225907638669
89,13,-273,-21.0,-0.200045297556
90,13,-273,-21.0,-0.18507210467
91,13,-273,-21.0,-0.195655564964
92,13,-273,-21.0,-0.220079949871
93,12,-250,-20.8333333333,-0.24587751545
94,13,-273,-21.0,-0.2217573037
95,12,-249,-20.75,-0.241486068107
96,12,-249,-20.75,-0.228612582609
97,12,-251,-20.9166666667,-0.200601163581
98,13,-273,-21.0,-0.220301532969
99,12,-251,-20.9166666667,-0.21456995625
100,13,-273,-21.0,-0.214773033112
