epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,12,-249,-20.75,-0.0911735332711
2,11,-230,-20.9090909091,-0.191910696458
3,12,-251,-20.9166666667,-0.273644430935
4,10,-202,-20.2,-0.2511026756
5,12,-250,-20.8333333333,-0.235401381092
6,12,-250,-20.8333333333,-0.22212717392
7,13,-273,-21.0,-0.252571715392
8,13,-273,-21.0,-0.227519704094
9,12,-250,-20.8333333333,-0.233828849045
10,12,-250,-20.8333333333,-0.254979669351
11,12,-252,-21.0,-0.227599317489
12,8,-155,-19.375,-0.225981557935
13,13,-273,-21.0,-0.257960582618
14,11,-225,-20.4545454545,-0.264408829889
15,11,-229,-20.8181818182,-0.277323446938
16,10,-207,-20.7,-0.25736063484
17,9,-185,-20.5555555556,-0.212412271445
18,10,-204,-20.4,-0.255021114144
19,9,-180,-20.0,-0.262153787244
20,9,-183,-20.3333333333,-0.279626606241
21,8,-157,-19.625,-0.232952713668
22,9,-181,-20.1111111111,-0.232338611622
23,11,-230,-20.9090909091,-0.267608442399
24,8,-157,-19.625,-0.251512932674
25,7,-133,-19.0,-0.254522321135
26,9,-178,-19.7777777778,-0.228826318932
27,10,-204,-20.4,-0.248908487525
28,10,-201,-20.1,-0.256152035196
29,10,-207,-20.7,-0.231225875559
30,7,-138,-19.7142857143,-0.24457523028
31,7,-134,-19.1428571429,-0.222875980678
32,7,-136,-19.4285714286,-0.234604045448
33,7,-138,-19.7142857143,-0.237018447942
34,8,-159,-19.875,-0.238954359589
35,9,-184,-20.4444444444,-0.246895201622
36,7,-131,-18.7142857143,-0.220872669251
37,7,-137,-19.5714285714,-0.216885426207
38,7,-135,-19.2857142857,-0.229330431064
39,6,-112,-18.6666666667,-0.184856743301
40,6,-109,-18.1666666667,-0.223413560319
41,7,-134,-19.1428571429,-0.219869099173
42,6,-112,-18.6666666667,-0.204424357995
43,7,-135,-19.2857142857,-0.215953790091
44,7,-141,-20.1428571429,-0.198962635144
45,7,-139,-19.8571428571,-0.16316167218
46,7,-137,-19.5714285714,-0.177862397357
47,7,-129,-18.4285714286,-0.14982478295
48,6,-112,-18.6666666667,-0.171346952221
49,7,-140,-20.0,-0.168988532214
50,6,-109,-18.1666666667,-0.171176947713
51,6,-116,-19.3333333333,-0.173937969345
52,6,-106,-17.6666666667,-0.211507772733
53,7,-139,-19.8571428571,-0.190870498648
54,9,-183,-20.3333333333,-0.165522173271
55,7,-144,-20.5714285714,-0.171077573189
56,7,-141,-20.1428571429,-0.182022096049
57,5,-86,-17.2,-0.16386202434
58,6,-112,-18.6666666667,-0.1461494138
59,6,-113,-18.8333333333,-0.177040486571
60,7,-133,-19.0,-0.171912563724
61,5,-89,-17.8,-0.151173359267
62,6,-116,-19.3333333333,-0.158161570369
63,7,-134,-19.1428571429,-0.152487410165
64,6,-120,-20.0,-0.12413692073
65,6,-119,-19.8333333333,-0.136113122911
66,6,-114,-19.0,-0.162384384247
67,6,-115,-19.1666666667,-0.149558115008
68,10,-208,-20.8,-0.181743778912
69,7,-142,-20.2857142857,-0.158105436931
70,6,-115,-19.1666666667,-0.133840410137
71,7,-130,-18.5714285714,-0.159670357883
72,8,-155,-19.375,-0.173935942668
73,7,-134,-19.1428571429,-0.133651529502
74,9,-179,-19.8888888889,-0.112323834412
75,7,-139,-19.8571428571,-0.133273751833
76,5,-84,-16.8,-0.160195736748
77,6,-113,-18.8333333333,-0.141351404998
78,6,-116,-19.3333333333,-0.130160403401
79,6,-110,-18.3333333333,-0.161630711721
80,6,-113,-18.8333333333,-0.137690837889
81,10,-206,-20.6,-0.116211739138
82,7,-131,-18.7142857143,-0.136100975501
83,5,-93,-18.6,-0.160035099897
84,6,-118,-19.6666666667,-0.159585089411
85,6,-107,-17.8333333333,-0.143087431733
86,6,-117,-19.5,-0.144646029454
87,6,-111,-18.5,-0.149366157693
88,5,-99,-19.8,-0.129547981643
89,6,-114,-19.0,-0.133001536853
90,6,-112,-18.6666666667,-0.136242602672
91,6,-116,-19.3333333333,-0.125295833265
92,6,-107,-17.8333333333,-0.154982256335
93,9,-182,-20.2222222222,-0.125734559752
94,5,-81,-16.2,-0.11749292681
95,7,-140,-20.0,-0.141703511241
96,9,-184,-20.4444444444,-0.149259653911
97,6,-109,-18.1666666667,-0.116429988327
98,6,-109,-18.1666666667,-0.157862142385
99,7,-131,-18.7142857143,-0.156805461431
100,6,-115,-19.1666666667,-0.125049882263
