epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,10,-205,-20.5,0.0339404785394
2,10,-202,-20.2,-0.00213706058392
3,11,-228,-20.7272727273,-0.0491549327291
4,13,-273,-21.0,-0.158889502091
5,12,-252,-21.0,-0.265889071478
6,11,-229,-20.8181818182,-0.296319493291
7,10,-207,-20.7,-0.308221268238
8,11,-226,-20.5454545455,-0.310588735281
9,11,-225,-20.4545454545,-0.29827302816
10,9,-178,-19.7777777778,-0.276662860569
11,11,-230,-20.9090909091,-0.327691868411
12,8,-160,-20.0,-0.29075859505
13,11,-231,-21.0,-0.291318967368
14,9,-181,-20.1111111111,-0.298397214026
15,9,-184,-20.4444444444,-0.28582419361
16,10,-207,-20.7,-0.297169810447
17,11,-231,-21.0,-0.305017876029
18,10,-207,-20.7,-0.28600472043
19,9,-185,-20.5555555556,-0.297252979334
20,8,-164,-20.5,-0.276476042301
21,7,-140,-20.0,-0.299219163859
22,8,-153,-19.125,-0.29037550854
23,8,-163,-20.375,-0.246534266323
24,6,-106,-17.6666666667,-0.24733706201
25,8,-162,-20.25,-0.234559134836
26,7,-135,-19.2857142857,-0.250314964491
27,7,-135,-19.2857142857,-0.239111465914
28,9,-182,-20.2222222222,-0.237089001848
29,7,-138,-19.7142857143,-0.244446995491
30,7,-139,-19.8571428571,-0.227439717748
31,8,-163,-20.375,-0.21962486705
32,7,-136,-19.4285714286,-0.206323726629
33,7,-140,-20.0,-0.217237938207
34,7,-135,-19.2857142857,-0.240128143399
35,6,-122,-20.3333333333,-0.200821755449
36,7,-140,-20.0,-0.21973238511
37,7,-137,-19.5714285714,-0.220272079667
38,7,-142,-20.2857142857,-0.199463170096
39,7,-140,-20.0,-0.182403542013
40,7,-142,-20.2857142857,-0.196102835294
41,7,-141,-20.1428571429,-0.199155080304
42,6,-117,-19.5,-0.194173517604
43,6,-108,-18.0,-0.180792543716
44,7,-143,-20.4285714286,-0.173010331895
45,5,-99,-19.8,-0.158423901268
46,6,-120,-20.0,-0.151253510064
47,6,-117,-19.5,-0.151645029995
48,6,-118,-19.6666666667,-0.167102400407
49,6,-118,-19.6666666667,-0.163999935549
50,8,-158,-19.75,-0.144806772578
51,7,-140,-20.0,-0.147115146152
52,5,-93,-18.6,-0.149449064981
53,6,-121,-20.1666666667,-0.122519948126
54,6,-115,-19.1666666667,-0.122883576591
55,5,-96,-19.2,-0.145719321906
56,6,-114,-19.0,-0.120819155902
57,6,-121,-20.1666666667,-0.119118757902
58,5,-91,-18.2,-0.120587449302
59,6,-118,-19.6666666667,-0.153477594838
60,7,-138,-19.7142857143,-0.137744465454
61,6,-115,-19.1666666667,-0.14326462658
62,5,-95,-19.0,-0.148324154614
63,6,-122,-20.3333333333,-0.172784264981
64,5,-99,-19.8,-0.139872679359
65,6,-124,-20.6666666667,-0.103652213543
66,6,-119,-19.8333333333,-0.107982961538
67,6,-118,-19.6666666667,-0.1252490769
68,5,-92,-18.4,-0.132697975407
69,6,-117,-19.5,-0.139484919726
70,6,-124,-20.6666666667,-0.14231036481
71,6,-117,-19.5,-0.115935580424
72,5,-98,-19.6,-0.151589316971
73,6,-116,-19.3333333333,-0.133940402893
74,5,-99,-19.8,-0.125393622365
75,6,-124,-20.6666666667,-0.129260525203
76,5,-92,-18.4,-0.124934043174
77,5,-87,-17.4,-0.141928445499
78,6,-118,-19.6666666667,-0.112113160392
79,5,-98,-19.6,-0.128902255999
80,7,-141,-20.1428571429,-0.122360841499
81,7,-142,-20.2857142857,-0.145267641546
82,5,-93,-18.6,-0.134831177335
83,6,-122,-20.3333333333,-0.118357467822
84,6,-117,-19.5,-0.140471691175
85,6,-117,-19.5,-0.143522270744
86,6,-110,-18.3333333333,-0.11101843528
87,6,-115,-19.1666666667,-0.121384132926
88,7,-143,-20.4285714286,-0.144215116544
89,6,-111,-18.5,-0.161185496179
90,5,-94,-18.8,-0.140666441642
91,6,-118,-19.6666666667,-0.14362076032
92,7,-137,-19.5714285714,-0.125681917395
93,7,-136,-19.4285714286,-0.126369184998
94,6,-117,-19.5,-0.113398641095
95,6,-117,-19.5,-0.135610531776
96,6,-117,-19.5,-0.120605272577
97,6,-115,-19.1666666667,-0.142477208601
98,6,-118,-19.6666666667,-0.133787554434
99,6,-116,-19.3333333333,-0.126162917312
100,6,-119,-19.8333333333,-0.115912633562
