epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,16,3065,191.5625,0.9606038397
2,14,2340,167.142857143,1.07287650013
3,16,3840,240.0,0.971271081539
4,16,3610,225.625,1.16315635791
5,17,3865,227.352941176,1.12575480164
6,15,5385,359.0,1.06686011106
7,17,3750,220.588235294,1.0699232327
8,19,3030,159.473684211,1.15823854075
9,18,2870,159.444444444,1.11103383653
10,14,4650,332.142857143,1.03008433112
11,14,4260,304.285714286,1.16552451428
12,15,4795,319.666666667,1.0723536697
13,15,3290,219.333333333,1.11304074294
14,17,4490,264.117647059,1.18573597697
15,14,4310,307.857142857,1.13371078555
16,15,4175,278.333333333,1.03208991698
17,17,3995,235.0,1.2046987799
18,15,4645,309.666666667,1.08048326341
19,16,4925,307.8125,1.0715655876
20,13,4855,373.461538462,1.04011073145
21,15,4860,324.0,0.994200298209
22,16,3295,205.9375,1.04926075624
23,15,5095,339.666666667,0.975079872337
24,14,5905,421.785714286,1.08217755128
25,15,4930,328.666666667,1.12611663873
26,18,3730,207.222222222,1.07130781914
27,16,3995,249.6875,0.994498591254
28,13,5065,389.615384615,1.07620815155
29,17,4345,255.588235294,1.11957376954
30,15,4660,310.666666667,1.22477816086
31,15,5385,359.0,1.0761936662
32,16,5725,357.8125,1.19030613018
33,16,4615,288.4375,1.13418346927
34,16,5315,332.1875,1.1577396005
35,15,4985,332.333333333,1.08490150264
36,18,4095,227.5,1.12113355539
37,16,5225,326.5625,1.12178179802
38,17,4325,254.411764706,1.22993957876
39,14,4870,347.857142857,1.11791268329
40,15,5385,359.0,0.997951174426
41,18,5385,299.166666667,1.08143441378
42,18,4870,270.555555556,1.06023182462
43,16,5485,342.8125,1.11277335722
44,17,4510,265.294117647,1.20127150747
45,15,5205,347.0,1.16311427759
46,13,4695,361.153846154,1.14901075617
47,16,4180,261.25,1.20868498995
48,19,4055,213.421052632,1.10754215617
49,17,4440,261.176470588,0.986139874446
50,15,5470,364.666666667,1.11975124565
51,17,3680,216.470588235,1.05543237901
52,16,5000,312.5,0.957690056196
53,14,5780,412.857142857,1.16063844687
54,18,5380,298.888888889,1.02992411627
55,17,5310,312.352941176,1.19045958649
56,17,4465,262.647058824,0.964840022957
57,15,5235,349.0,0.958243205015
58,14,5510,393.571428571,1.0900533635
59,13,6275,482.692307692,1.0796160208
60,16,4665,291.5625,1.06542895061
61,14,6230,445.0,1.10016911372
62,20,6395,319.75,1.12543658195
63,15,5555,370.333333333,0.967795351967
64,14,4335,309.642857143,1.10379056752
65,14,5420,387.142857143,1.05371541175
66,17,5805,341.470588235,0.949113032364
67,16,4725,295.3125,1.04996072404
68,15,4920,328.0,0.972559355986
69,17,4615,271.470588235,1.10812037453
70,17,2785,163.823529412,1.14006132202
71,16,4630,289.375,1.16625163564
72,17,5645,332.058823529,0.997738028366
73,15,5200,346.666666667,1.08827614819
74,19,5080,267.368421053,1.11082508367
75,17,6285,369.705882353,1.13238169527
76,17,5390,317.058823529,1.19748389781
77,19,4725,248.684210526,1.09435911603
78,18,5425,301.388888889,1.19161570762
79,16,4020,251.25,1.0531655625
80,15,5550,370.0,1.10424993717
81,16,4695,293.4375,1.05880032903
82,16,5500,343.75,1.20365550343
83,17,4650,273.529411765,1.13161674919
84,16,6625,414.0625,1.12296852183
85,16,5595,349.6875,1.04693135467
86,18,5245,291.388888889,1.18238237386
87,14,4480,320.0,1.18742572127
88,20,7405,370.25,1.07850896126
89,17,5595,329.117647059,1.19369510982
90,17,4745,279.117647059,1.1816681395
91,15,5615,374.333333333,1.0720409353
92,16,6210,388.125,1.00854873212
93,14,4000,285.714285714,1.13877418295
94,16,4690,293.125,1.03370855739
95,16,5205,325.3125,1.1342189482
96,17,6390,375.882352941,1.10772465803
97,16,5460,341.25,1.10631416496
98,15,5675,378.333333333,1.09850633542
99,16,5280,330.0,1.14950569079
100,14,5545,396.071428571,1.18646877351
