epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,15,3250,216.666666667,0.668493099293
2,14,3395,242.5,0.787584432677
3,13,2680,206.153846154,0.949991151047
4,16,3820,238.75,0.918892144016
5,20,3970,198.5,1.07693958328
6,15,4380,292.0,1.13641940855
7,17,4475,263.235294118,1.17795541304
8,15,3930,262.0,1.15855823487
9,13,4455,342.692307692,1.30067513536
10,14,4360,311.428571429,1.29136752749
11,16,4435,277.1875,1.35833943553
12,14,4280,305.714285714,1.30168496918
13,15,4040,269.333333333,1.17315022044
14,16,3705,231.5625,1.34515152013
15,16,4570,285.625,1.21341070604
16,16,5015,313.4375,1.30227251782
17,15,4425,295.0,1.2201469442
18,15,5185,345.666666667,1.37688132868
19,15,4105,273.666666667,1.28913991202
20,16,4700,293.75,1.30707314452
21,15,4790,319.333333333,1.31819904505
22,21,3570,170.0,1.31471372495
23,16,4550,284.375,1.3364347661
24,18,4835,268.611111111,1.31755362647
25,15,5375,358.333333333,1.28764823358
26,13,4695,361.153846154,1.35174900608
27,18,4510,250.555555556,1.30674483204
28,16,5690,355.625,1.3230445813
29,15,6050,403.333333333,1.27597836737
30,15,5040,336.0,1.38850492514
31,18,4705,261.388888889,1.31907864503
32,15,5475,365.0,1.32022352884
33,15,4315,287.666666667,1.39296937928
34,15,5305,353.666666667,1.37151199463
35,14,5280,377.142857143,1.43516974207
36,16,3905,244.0625,1.37389986027
37,14,5435,388.214285714,1.3744312646
38,15,4640,309.333333333,1.283604409
39,18,3305,183.611111111,1.32551720338
40,15,4690,312.666666667,1.38726359242
41,15,4850,323.333333333,1.29094906475
42,16,4965,310.3125,1.20799551385
43,15,5145,343.0,1.30201159091
44,16,4800,300.0,1.24074354638
45,15,4395,293.0,1.2956541127
46,15,5320,354.666666667,1.29469329199
47,13,4715,362.692307692,1.29881961848
48,17,4750,279.411764706,1.35738953626
49,15,5150,343.333333333,1.32373224889
50,16,3330,208.125,1.43315303755
51,15,4955,330.333333333,1.32538076556
52,15,5105,340.333333333,1.28736118673
53,18,4730,262.777777778,1.3435585087
54,16,5880,367.5,1.23775188023
55,15,5585,372.333333333,1.24200395321
56,14,5070,362.142857143,1.29126370041
57,15,5070,338.0,1.31955857583
58,18,4535,251.944444444,1.36691173912
59,16,5440,340.0,1.29330570955
60,15,3810,254.0,1.24614102407
61,14,5920,422.857142857,1.37428347779
62,16,3775,235.9375,1.32927040754
63,15,4915,327.666666667,1.50553673721
64,12,5345,445.416666667,1.42944935474
65,13,5110,393.076923077,1.30815164434
66,16,5010,313.125,1.43321491023
67,15,5165,344.333333333,1.35786856535
68,22,3730,169.545454545,1.3298522591
69,17,4855,285.588235294,1.33168982433
70,14,6005,428.928571429,1.33961007204
71,17,4245,249.705882353,1.29768766746
72,16,4280,267.5,1.32382746416
73,14,4695,335.357142857,1.26330981858
74,13,5215,401.153846154,1.25668031055
75,16,4800,300.0,1.3248041191
76,15,5065,337.666666667,1.37860359893
77,15,4600,306.666666667,1.30660805747
78,17,5405,317.941176471,1.26444077748
79,15,5255,350.333333333,1.4064797317
80,15,4580,305.333333333,1.33884182571
81,14,5250,375.0,1.2520088925
82,18,5135,285.277777778,1.27844188599
83,17,6015,353.823529412,1.39007047919
84,14,4865,347.5,1.29464312592
85,17,4305,253.235294118,1.31947967802
86,14,4395,313.928571429,1.29617872024
87,20,3245,162.25,1.27648006805
88,14,5630,402.142857143,1.26376104146
89,16,5350,334.375,1.20176653429
90,15,5400,360.0,1.27484812468
91,16,4935,308.4375,1.26873625691
92,16,5305,331.5625,1.29274105053
93,16,5640,352.5,1.28802427466
94,16,4675,292.1875,1.17826273613
95,16,4965,310.3125,1.33698988179
96,15,4655,310.333333333,1.19512463101
97,20,3510,175.5,1.24647016084
98,15,4595,306.333333333,1.18130523619
99,15,4970,331.333333333,1.12728681091
100,13,5370,413.076923077,1.17115526863
