epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,13,-273,-21.0,-0.13852300073
2,13,-273,-21.0,-0.216644055105
3,11,-230,-20.9090909091,-0.164148768584
4,10,-209,-20.9,-0.135573259237
5,8,-162,-20.25,-0.120478762307
6,5,-87,-17.4,-0.0905622016086
7,6,-121,-20.1666666667,-0.0871544283762
8,6,-102,-17.0,-0.129408409562
9,5,-90,-18.0,-0.119200356779
10,4,-64,-16.0,-0.150897410695
11,5,-91,-18.2,-0.101956454046
12,5,-97,-19.4,-0.110452216801
13,4,-78,-19.5,-0.0836303956091
14,5,-93,-18.6,-0.0956125615141
15,6,-116,-19.3333333333,-0.0643668862508
16,5,-87,-17.4,-0.0824679215532
17,6,-123,-20.5,-0.0898576529062
18,6,-116,-19.3333333333,-0.124611369459
19,6,-112,-18.6666666667,-0.125760411049
20,6,-105,-17.5,-0.0748996509844
21,6,-118,-19.6666666667,-0.109255982816
22,5,-90,-18.0,-0.136843670709
23,4,-62,-15.5,-0.0755757230881
24,5,-91,-18.2,-0.102345127736
25,5,-88,-17.6,-0.0786191479897
26,3,-56,-18.6666666667,-0.0713551845355
27,3,-56,-18.6666666667,-0.0505476976291
28,4,-69,-17.25,-0.124879419188
29,4,-72,-18.0,-0.0844204865338
30,3,-41,-13.6666666667,-0.0704481721413
31,3,-47,-15.6666666667,-0.0731036903581
32,3,-38,-12.6666666667,-0.102356699458
33,3,-37,-12.3333333333,-0.0822540393064
34,3,-43,-14.3333333333,-0.0786113407009
35,3,-46,-15.3333333333,-0.0491661842482
36,3,-49,-16.3333333333,-0.0447746375506
37,3,-40,-13.3333333333,-0.0468599788111
38,2,-21,-10.5,-0.0392046284932
39,2,-32,-16.0,-0.0462621139374
40,3,-28,-9.33333333333,-0.03207261406
41,3,-41,-13.6666666667,-0.0395424978097
42,3,-40,-13.3333333333,-0.0498417039402
43,3,-32,-10.6666666667,-0.0392955366056
44,3,-33,-11.0,-0.0184345753584
45,3,-37,-12.3333333333,-0.0417066569347
46,3,-33,-11.0,-0.00745244873222
47,2,-15,-7.5,0.00301577458973
48,2,-24,-12.0,-0.0390372837486
49,2,-6,-3.0,-0.0293058899621
50,2,-7,-3.5,-0.0282937819336
51,2,-11,-5.5,-0.0210382077057
52,2,-8,-4.0,-0.0510420804948
53,2,-22,-11.0,-0.0383808608202
54,2,-21,-10.5,-0.0344791826839
55,2,-23,-11.5,-0.02151004855
56,2,-4,-2.0,-0.0366256142408
57,2,-23,-11.5,-0.0345079414267
58,2,-22,-11.0,-0.0299930689443
59,3,-36,-12.0,-0.0233772382373
60,2,-26,-13.0,-0.0420450668153
61,2,-14,-7.0,-0.0233312281693
62,3,-37,-12.3333333333,-0.0251513979386
63,3,-37,-12.3333333333,-0.0205057214387
64,2,-12,-6.0,-0.0331766261434
65,2,-6,-3.0,-0.0396937675017
66,2,-8,-4.0,-0.034543934277
67,2,-7,-3.5,-0.0173046569678
68,3,-36,-12.0,-0.0403123404883
69,2,-8,-4.0,-0.0412466909725
70,3,-35,-11.6666666667,-0.0204030193802
71,2,-12,-6.0,-0.0189330332988
72,2,-20,-10.0,-0.0279496420402
73,2,-15,-7.5,-0.0245951715176
74,2,1,0.5,-0.033498851686
75,2,-6,-3.0,-0.0200037170202
76,2,-1,-0.5,-0.0401424849284
77,2,-8,-4.0,-0.0245728787343
78,2,-8,-4.0,-0.0198786591238
79,2,13,6.5,-0.015658466586
80,2,-1,-0.5,-0.017649149074
81,2,5,2.5,0.00145746119233
82,2,11,5.5,-0.013312873292
83,2,1,0.5,-0.0192766833323
84,2,0,0.0,0.00583894375246
85,2,4,2.0,0.014663502817
86,2,11,5.5,0.0321317255183
87,2,14,7.0,0.0379617990179
88,2,10,5.0,0.0239386729061
89,2,-6,-3.0,0.0182380996423
90,2,22,11.0,0.0263675498721
91,2,16,8.0,0.0478994576527
92,2,11,5.5,0.0335801565665
93,2,5,2.5,0.0320563478637
94,3,27,9.0,0.024601354303
95,3,36,12.0,0.0414173301848
96,3,-19,-6.33333333333,0.189211692339
97,3,24,8.0,0.0862999938265
98,3,24,8.0,0.0443084318207
99,3,29,9.66666666667,0.0505682000405
100,2,21,10.5,0.0358691009577
