epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,13,-273,-21.0,-0.135087020754
2,12,-250,-20.8333333333,-0.198332636669
3,10,-208,-20.8,-0.17802360765
4,12,-250,-20.8333333333,-0.212015735263
5,9,-184,-20.4444444444,-0.158076021897
6,5,-83,-16.6,-0.151499262496
7,6,-116,-19.3333333333,-0.105715120316
8,6,-107,-17.8333333333,-0.0622061730771
9,7,-136,-19.4285714286,-0.0703126640349
10,5,-84,-16.8,-0.0963557014573
11,6,-116,-19.3333333333,-0.0633845479742
12,7,-136,-19.4285714286,-0.0753611221053
13,6,-108,-18.0,-0.120840168947
14,5,-85,-17.0,-0.142330660155
15,5,-90,-18.0,-0.160428134553
16,6,-108,-18.0,-0.13759404851
17,4,-63,-15.75,-0.154003183856
18,5,-84,-16.8,-0.103716575335
19,5,-93,-18.6,-0.0737401775528
20,4,-61,-15.25,-0.067197629487
21,6,-117,-19.5,-0.0846016444568
22,4,-57,-14.25,-0.139117178624
23,5,-95,-19.0,-0.095546026484
24,4,-72,-18.0,-0.11279727957
25,4,-75,-18.75,-0.0582000870696
26,3,-37,-12.3333333333,-0.0738771167326
27,4,-65,-16.25,-0.0645227177725
28,2,-14,-7.0,-0.0442860724027
29,3,-37,-12.3333333333,-0.0726393761119
30,3,-46,-15.3333333333,-0.023040757148
31,3,-39,-13.0,0.00142887543044
32,3,-18,-6.0,-0.0118808875635
33,3,-27,-9.0,-0.029547588215
34,2,-12,-6.0,-0.0198825485577
35,3,-25,-8.33333333333,-0.000215576831417
36,3,-23,-7.66666666667,-0.0434578904759
37,3,-21,-7.0,-0.0156198025412
38,3,-21,-7.0,0.0183906357996
39,3,-18,-6.0,0.0293867912618
40,3,-11,-3.66666666667,0.0136117864882
41,3,-30,-10.0,0.00668525509405
42,2,-15,-7.5,0.00447753541351
43,2,1,0.5,0.0623120734683
44,2,-7,-3.5,0.0568115641362
45,2,8,4.0,0.026076392559
46,2,14,7.0,0.106972942613
47,2,1,0.5,0.0296011054754
48,2,3,1.5,0.0442694250283
49,2,-6,-3.0,0.0702554407658
50,2,8,4.0,0.0462257391559
51,2,7,3.5,0.063408796735
52,3,35,11.6666666667,0.0395404523388
53,3,30,10.0,0.0332334937631
54,2,0,0.0,0.0414408399614
55,3,2,0.666666666667,0.0454271787388
56,2,-1,-0.5,0.0431110959087
57,3,35,11.6666666667,0.0669760687887
58,4,55,13.75,0.0612006241267
59,4,70,17.5,0.0271957624875
60,3,36,12.0,0.0741070756869
61,4,69,17.25,0.085463556018
62,4,56,14.0,0.0426424022708
63,4,68,17.0,0.0594391338826
64,4,65,16.25,0.0610043368435
65,5,92,18.4,0.0499018104149
66,4,71,17.75,0.0436638364161
67,4,65,16.25,0.0655868712723
68,4,59,14.75,0.0597493376542
69,4,59,14.75,0.0448630514583
70,4,67,16.75,0.0422611844916
71,4,69,17.25,0.0494541310635
72,4,56,14.0,0.0591603598287
73,5,90,18.0,0.0413335610218
74,5,89,17.8,0.0306502091509
75,4,59,14.75,0.036578207084
76,4,62,15.5,0.0444217464981
77,4,69,17.25,0.0665913080946
78,4,69,17.25,0.062736066394
79,4,69,17.25,0.0491036675419
80,4,71,17.75,0.0618932690595
81,4,69,17.25,0.0472493529775
82,4,67,16.75,0.0317862724452
83,4,58,14.5,0.0397445156627
84,4,57,14.25,0.0284842985771
85,4,68,17.0,0.0259224023736
86,6,-96,-16.0,0.177947122418
87,5,88,17.6,0.0561267384685
88,4,68,17.0,0.0396093751849
89,5,85,17.0,0.0463359432793
90,4,70,17.5,0.0431575855703
91,4,64,16.0,0.0399482088547
92,4,58,14.5,0.0600777882314
93,5,93,18.6,0.0475106369441
94,4,73,18.25,0.0537104498158
95,4,70,17.5,0.0522804877653
96,4,72,18.0,0.039608660116
97,5,95,19.0,0.0358364590572
98,5,90,18.0,0.0303448703206
99,4,60,15.0,0.0485912677752
100,4,70,17.5,0.049541753822
