epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,13,-273,-21.0,-0.139611039778
2,12,-250,-20.8333333333,-0.213101024411
3,8,-162,-20.25,-0.247095124685
4,9,-176,-19.5555555556,-0.178769449073
5,6,-115,-19.1666666667,-0.121699373631
6,5,-92,-18.4,-0.148317645512
7,4,-60,-15.0,-0.117762416717
8,4,-61,-15.25,-0.0987251686824
9,4,-67,-16.75,-0.0380372432885
10,4,-72,-18.0,-0.0151355274559
11,4,-65,-16.25,-0.0144206778665
12,3,-56,-18.6666666667,-0.0250661003134
13,3,-43,-14.3333333333,-0.00468278353065
14,3,-45,-15.0,-0.0114132944043
15,3,-48,-16.0,-0.021548361173
16,3,-31,-10.3333333333,-0.015900201043
17,3,-22,-7.33333333333,0.0063816199204
18,3,1,0.333333333333,0.0122325728581
19,3,36,12.0,0.0097832591175
20,3,25,8.33333333333,0.00740926732747
21,3,17,5.66666666667,0.0302146876291
22,4,52,13.0,0.0381118346499
23,3,29,9.66666666667,0.0447278644133
24,4,55,13.75,0.0665953554038
25,4,54,13.5,0.0640868481927
26,3,28,9.33333333333,0.0402544965668
27,4,60,15.0,0.0462668855068
28,4,56,14.0,0.0402539614537
29,4,62,15.5,0.0593817678345
30,4,62,15.5,0.0659919652238
31,4,63,15.75,0.0652696548308
32,4,65,16.25,0.0716670384258
33,4,72,18.0,0.0678365408382
34,4,67,16.75,0.0628365073646
35,4,70,17.5,0.0643531467359
36,4,76,19.0,0.0604476278748
37,4,56,14.0,0.0557647015838
38,3,32,10.6666666667,0.0838975739484
39,4,52,13.0,0.0795293443381
40,5,89,17.8,0.068475565526
41,4,58,14.5,0.0563173432323
42,3,37,12.3333333333,0.0623917289973
43,3,33,11.0,0.0642412007972
44,4,68,17.0,0.0579237740519
45,3,36,12.0,0.0670163399575
46,4,73,18.25,0.0649463511182
47,4,71,17.75,0.0609082208401
48,4,66,16.5,0.0586102262374
49,4,66,16.5,0.055244819917
50,5,96,19.2,0.0584175923894
51,5,90,18.0,0.042527836462
52,4,71,17.75,0.0538660252458
53,4,68,17.0,0.0466923116197
54,5,94,18.8,0.0499991158736
55,4,69,17.25,0.0545100817999
56,5,96,19.2,0.0448779939068
57,3,43,14.3333333333,0.0437149607218
58,5,92,18.4,0.0458578596622
59,4,69,17.25,0.0509920402
60,3,36,12.0,0.0495339064294
61,4,75,18.75,0.0582938229092
62,4,69,17.25,0.0430292995734
63,4,69,17.25,0.0541989852011
64,5,99,19.8,0.048555599853
65,5,96,19.2,0.0373062186094
66,5,90,18.0,0.0366439508607
67,5,97,19.4,0.0520436915633
68,4,72,18.0,0.028516610497
69,4,66,16.5,0.0539274224346
70,4,72,18.0,0.0547093184855
71,4,67,16.75,0.0431117265258
72,5,94,18.8,0.045831565119
73,4,64,16.0,0.0485890883581
74,5,93,18.6,0.0606080012751
75,4,74,18.5,0.0426143582053
76,5,90,18.0,0.0378737351121
77,4,64,16.0,0.0523974833869
78,4,61,15.25,0.0492675863593
79,5,92,18.4,0.0531425211354
80,5,99,19.8,0.045134922345
81,5,101,20.2,0.0392562407346
82,5,95,19.0,0.0430453950013
83,5,98,19.6,0.0367091142733
84,5,96,19.2,0.0432385491677
85,4,74,18.5,0.0343258477786
86,5,92,18.4,0.0357186022294
87,4,65,16.25,0.0227010917673
88,5,93,18.6,0.0450778594702
89,5,89,17.8,0.031987555039
90,5,95,19.0,0.0341808465687
91,4,65,16.25,0.0364109310357
92,5,95,19.0,0.0394197875663
93,5,93,18.6,0.0504812324319
94,5,97,19.4,0.0450307227972
95,5,93,18.6,0.0476328940284
96,5,94,18.8,0.0463211619533
97,5,98,19.6,0.0356076035751
98,4,59,14.75,0.0501498621063
99,3,36,12.0,0.0372707889661
100,5,96,19.2,0.0528165294494
