epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,12,-249,-20.75,-0.133455884852
2,12,-252,-21.0,-0.201763667728
3,12,-252,-21.0,-0.218429008634
4,11,-228,-20.7272727273,-0.208457107376
5,4,-62,-15.5,-0.131373320247
6,5,-88,-17.6,-0.162712977038
7,6,-99,-16.5,-0.147449349324
8,5,-87,-17.4,-0.106437378188
9,5,-89,-17.8,-0.127982446446
10,5,-92,-18.4,-0.11366233585
11,5,-79,-15.8,-0.113385145915
12,5,-86,-17.2,-0.108857627831
13,5,-97,-19.4,-0.135609652887
14,5,-98,-19.6,-0.127719563723
15,5,-99,-19.8,-0.105780464278
16,5,-96,-19.2,-0.0877390058932
17,5,-95,-19.0,-0.0937819725496
18,5,-92,-18.4,-0.123825121959
19,5,-95,-19.0,-0.09351021062
20,5,-90,-18.0,-0.101777586704
21,5,-94,-18.8,-0.101327032926
22,4,-69,-17.25,-0.0806005999912
23,3,-44,-14.6666666667,-0.0847108976985
24,3,-48,-16.0,-0.0843206474069
25,4,-71,-17.75,-0.0864776783786
26,4,-76,-19.0,-0.0444887429499
27,3,-53,-17.6666666667,-0.0698548945237
28,4,-72,-18.0,-0.0731195482006
29,3,-52,-17.3333333333,-0.0968237433583
30,3,-39,-13.0,-0.0602462183684
31,4,-65,-16.25,-0.0249418738647
32,3,-37,-12.3333333333,-0.0468978680728
33,3,-49,-16.3333333333,-0.050433735277
34,3,-44,-14.6666666667,-0.0409522056277
35,4,-69,-17.25,-0.0320444825036
36,3,-52,-17.3333333333,-0.051762743037
37,3,-43,-14.3333333333,-0.0315193618753
38,3,-49,-16.3333333333,0.0075213201507
39,3,-37,-12.3333333333,-0.0686134226318
40,3,-31,-10.3333333333,-0.055557525988
41,3,-48,-16.0,-0.0276669329661
42,3,-36,-12.0,-0.044888810683
43,3,-39,-13.0,-0.0477642440225
44,2,-6,-3.0,-0.0441881555936
45,2,-22,-11.0,-0.0293189306324
46,2,-11,-5.5,-0.0264731245837
47,2,-16,-8.0,-0.00977349122753
48,2,-15,-7.5,-0.0103447717906
49,2,-21,-10.5,-0.0296772479895
50,3,-27,-9.0,-0.0412006680167
51,2,-3,-1.5,-0.0144886965811
52,2,-4,-2.0,-0.0203321899468
53,2,-16,-8.0,-0.0392321122478
54,2,-7,-3.5,-0.0486092219199
55,2,-4,-2.0,-0.0510329216247
56,3,15,5.0,-0.0240351165785
57,2,1,0.5,-0.029140006791
58,2,-13,-6.5,-0.0340530025068
59,3,30,10.0,-0.0212488283665
60,3,13,4.33333333333,-0.0192537243082
61,3,33,11.0,-0.0119405940356
62,3,42,14.0,-0.00814225665701
63,4,60,15.0,-0.0280257025687
64,3,-26,-8.66666666667,-0.0117610348543
65,4,55,13.75,-0.00861836915079
66,4,58,14.5,-0.0163144368617
67,4,66,16.5,0.00494525927119
68,4,46,11.5,-0.011386291713
69,5,94,18.8,-0.00310728116834
70,4,73,18.25,0.0245815126388
71,4,67,16.75,0.0043387500415
72,4,69,17.25,0.00495592983294
73,5,93,18.6,0.00425072821236
74,5,93,18.6,0.0233487466686
75,4,70,17.5,0.0170919806189
76,4,67,16.75,-6.20060905931e-06
77,5,88,17.6,0.0102979358684
78,4,62,15.5,0.00459221362311
79,4,68,17.0,0.033124909335
80,4,62,15.5,0.00819448232607
81,4,68,17.0,0.0360407249248
82,5,88,17.6,0.00317015706474
83,4,63,15.75,0.013147953593
84,5,90,18.0,0.0113550257661
85,4,76,19.0,0.0166637122637
86,5,97,19.4,0.0303035356758
87,4,69,17.25,0.0134549613539
88,5,88,17.6,0.0349325153996
89,4,67,16.75,0.0143556512811
90,4,68,17.0,0.000495217297721
91,5,89,17.8,0.0155569763146
92,5,92,18.4,0.0263236465906
93,5,96,19.2,0.0242787405131
94,5,98,19.6,0.00282159332623
95,5,98,19.6,0.0233869440985
96,4,70,17.5,0.0235200497681
97,5,94,18.8,0.0192295726883
98,5,90,18.0,0.00978557020513
99,5,95,19.0,0.0410392091218
100,4,65,16.25,0.0242535519617
