epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,13,-273,-21.0,-0.124215205317
2,12,-252,-21.0,-0.207707004479
3,13,-273,-21.0,-0.214697312121
4,8,-147,-18.375,-0.139447013755
5,7,-131,-18.7142857143,-0.129117499532
6,4,-70,-17.5,-0.0927412509686
7,6,-116,-19.3333333333,-0.0977310416032
8,5,-93,-18.6,-0.0784496310018
9,5,-92,-18.4,-0.0595657408455
10,5,-86,-17.2,-0.0465740481597
11,4,-78,-19.5,-0.0827703655298
12,5,-95,-19.0,-0.0969950708125
13,5,-81,-16.2,-0.0541129672685
14,4,-59,-14.75,-0.0662265979688
15,5,-90,-18.0,-0.115028691163
16,6,-115,-19.1666666667,-0.101220980998
17,5,-98,-19.6,-0.0866550721336
18,6,-114,-19.0,-0.0690220222012
19,6,-118,-19.6666666667,-0.0682301739982
20,4,-75,-18.75,-0.123962743659
21,4,-81,-20.25,-0.119286630946
22,4,-75,-18.75,-0.111419848692
23,4,-63,-15.75,-0.0964526904267
24,3,-56,-18.6666666667,-0.0728073708273
25,4,-71,-17.75,-0.0571865611391
26,4,-78,-19.5,-0.0447778421923
27,3,-44,-14.6666666667,-0.0731035747443
28,3,-44,-14.6666666667,-0.0673866296332
29,3,-38,-12.6666666667,-0.0559940605088
30,3,-40,-13.3333333333,-0.0450618752412
31,3,-34,-11.3333333333,-0.0329640693832
32,3,-35,-11.6666666667,-0.0259958344059
33,3,-34,-11.3333333333,-0.020005094159
34,3,-24,-8.0,-0.0255375255852
35,3,-18,-6.0,0.000305525807834
36,2,-9,-4.5,0.000942541713961
37,2,-1,-0.5,0.0323982204855
38,2,-11,-5.5,0.0348474508235
39,2,5,2.5,0.0412580339993
40,3,-19,-6.33333333333,0.0611139440193
41,2,7,3.5,0.0489358214227
42,3,26,8.66666666667,0.055333853503
43,3,-23,-7.66666666667,0.0331820432541
44,3,20,6.66666666667,0.0615831848177
45,4,67,16.75,0.0556221137836
46,4,63,15.75,0.0464721900136
47,3,30,10.0,0.0624178582766
48,3,33,11.0,0.0675191457898
49,5,83,16.6,0.0603793476853
50,4,62,15.5,0.0712176670717
51,4,60,15.0,0.0708545302459
52,4,58,14.5,0.0419351211456
53,4,70,17.5,0.0664536434631
54,4,59,14.75,0.0572246678654
55,4,66,16.5,0.0507144600901
56,4,64,16.0,0.0581582270136
57,4,60,15.0,0.0400639967409
58,4,71,17.75,0.0576126427967
59,5,87,17.4,0.066675483796
60,4,68,17.0,0.0322224472356
61,4,67,16.75,0.0453337116852
62,4,62,15.5,0.0270364358927
63,5,86,17.2,0.0410139253112
64,4,60,15.0,0.0275855747131
65,4,64,16.0,0.0295671547153
66,4,63,15.75,0.0445661463539
67,4,66,16.5,0.0267612741559
68,4,70,17.5,0.0140094102325
69,3,38,12.6666666667,0.0441494804865
70,4,56,14.0,0.042055080446
71,4,68,17.0,0.0319175690078
72,4,69,17.25,0.0392102487794
73,4,65,16.25,0.0515286938089
74,4,68,17.0,0.0295279338607
75,4,64,16.0,0.0371708938917
76,4,58,14.5,0.025129341772
77,4,68,17.0,0.0217976087786
78,4,62,15.5,0.0113301770581
79,4,63,15.75,0.0339098291405
80,4,73,18.25,0.0320328633505
81,5,92,18.4,0.0384418444944
82,4,63,15.75,0.0507500282738
83,4,67,16.75,0.0665554423985
84,5,97,19.4,0.0455228033067
85,4,56,14.0,0.041160862887
86,5,91,18.2,0.0425724903549
87,5,82,16.4,0.031114738907
88,4,70,17.5,0.0320925188164
89,4,65,16.25,0.0314599363327
90,5,97,19.4,0.0309278572415
91,5,90,18.0,0.0268665653534
92,5,93,18.6,0.0233584299908
93,4,60,15.0,0.0156576715366
94,5,89,17.8,0.0419917186041
95,4,62,15.5,0.0208266444363
96,5,86,17.2,0.0342146441325
97,5,98,19.6,0.0231973031014
98,4,71,17.75,0.0327602772588
99,5,91,18.2,0.0139829992931
100,4,72,18.0,0.0296628652059
