epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,13,-273,-21.0,14.5477001302
2,13,-272,-20.9230769231,25.446458106
3,13,-273,-21.0,21.4899529786
4,13,-273,-21.0,27.7384705857
5,12,-252,-21.0,22.3621299328
6,12,-248,-20.6666666667,23.7416579276
7,11,-231,-21.0,28.0116146604
8,13,-273,-21.0,24.3122841078
9,12,-250,-20.8333333333,26.1124234948
10,11,-231,-21.0,24.8482307866
11,13,-273,-21.0,18.8497295838
12,13,-273,-21.0,26.9866359262
13,13,-273,-21.0,22.6965422978
14,12,-252,-21.0,17.3177964238
15,12,-249,-20.75,20.0873449226
16,13,-273,-21.0,17.705150822
17,12,-251,-20.9166666667,18.1566243926
18,13,-273,-21.0,22.7088017847
19,12,-252,-21.0,20.4155059161
20,12,-252,-21.0,22.0954260012
21,12,-251,-20.9166666667,22.2849745751
22,12,-252,-21.0,23.6533488984
23,11,-229,-20.8181818182,25.0681617127
24,13,-273,-21.0,22.929875046
25,12,-252,-21.0,25.4785238292
26,13,-273,-21.0,23.0697016218
27,12,-252,-21.0,20.6443399022
28,12,-252,-21.0,21.0623089052
29,12,-251,-20.9166666667,17.6171749939
30,13,-273,-21.0,16.8965938079
31,12,-252,-21.0,25.2669244057
32,13,-273,-21.0,19.8268741474
33,12,-252,-21.0,23.8917368318
34,11,-231,-21.0,28.786835006
35,13,-273,-21.0,27.2482142634
36,13,-273,-21.0,14.4649976643
37,12,-249,-20.75,20.6605418299
38,12,-252,-21.0,16.8343718786
39,11,-230,-20.9090909091,15.6936616178
40,12,-251,-20.9166666667,14.5020532535
41,12,-252,-21.0,28.7604006002
42,13,-273,-21.0,30.9890783945
43,13,-273,-21.0,28.7746007898
44,13,-273,-21.0,28.0790156613
45,12,-252,-21.0,23.759299507
46,12,-250,-20.8333333333,30.1725902614
47,12,-250,-20.8333333333,19.1882477578
48,13,-273,-21.0,25.0417492242
49,12,-251,-20.9166666667,33.1113426862
50,13,-273,-21.0,30.4599255471
51,12,-252,-21.0,22.1597852292
52,13,-273,-21.0,27.2103649624
53,12,-250,-20.8333333333,21.5144606323
54,12,-252,-21.0,21.8335400383
55,13,-273,-21.0,22.2453151469
56,12,-252,-21.0,19.6409475269
57,12,-245,-20.4166666667,15.5890434688
58,13,-273,-21.0,22.4490786782
59,11,-231,-21.0,25.4528166059
60,13,-273,-21.0,26.2423598383
61,12,-252,-21.0,23.0215587319
62,13,-273,-21.0,26.8164422289
63,12,-249,-20.75,30.2170495463
64,13,-273,-21.0,17.0150396269
65,12,-251,-20.9166666667,21.7851984363
66,13,-273,-21.0,22.3911256369
67,13,-273,-21.0,25.4977343044
68,13,-273,-21.0,19.8174930213
69,13,-273,-21.0,23.7151908713
70,13,-273,-21.0,19.1298028301
71,13,-273,-21.0,25.2037582044
72,11,-231,-21.0,20.7126001629
73,12,-252,-21.0,22.3198865216
74,11,-231,-21.0,24.6361223619
75,11,-221,-20.0909090909,25.4911416522
76,13,-273,-21.0,28.3331045463
77,12,-252,-21.0,31.5322300344
78,12,-248,-20.6666666667,25.1476805907
79,12,-251,-20.9166666667,17.4554152969
80,12,-252,-21.0,19.9660877099
81,12,-252,-21.0,11.5088576223
82,13,-273,-21.0,24.8746850202
83,12,-252,-21.0,28.1637454598
84,12,-250,-20.8333333333,18.8242952358
85,11,-231,-21.0,17.865777716
86,12,-252,-21.0,25.7310767898
87,12,-252,-21.0,24.7500650457
88,11,-231,-21.0,27.2107205819
89,13,-273,-21.0,20.6297459498
90,13,-273,-21.0,26.0287913532
91,11,-231,-21.0,29.5259787262
92,12,-247,-20.5833333333,24.6513203721
93,13,-273,-21.0,25.5507979712
94,12,-247,-20.5833333333,27.5106868509
95,12,-247,-20.5833333333,40.4852578293
96,12,-252,-21.0,18.8609810461
97,12,-252,-21.0,22.6249569295
98,12,-251,-20.9166666667,20.6418965393
99,12,-252,-21.0,24.6675923209
100,13,-273,-21.0,23.6816410459
