epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,15,7410,494.0,16.9494884118
2,20,4180,209.0,18.3602080908
3,18,4960,275.555555556,19.8013702828
4,23,4810,209.130434783,20.609353994
5,21,3280,156.19047619,21.4583597634
6,18,6950,386.111111111,19.2305256436
7,17,5560,327.058823529,18.1675027124
8,19,5650,297.368421053,21.8492265016
9,19,5590,294.210526316,26.6800133982
10,16,6700,418.75,26.8774963675
11,16,8740,546.25,26.6745303101
12,18,7390,410.555555556,22.1600776256
13,14,7820,558.571428571,22.795782062
14,24,8170,340.416666667,20.9172330916
15,25,7350,294.0,20.7148290167
16,16,8610,538.125,21.9301218962
17,17,9550,561.764705882,21.4303487576
18,20,1420,71.0,22.7093538947
19,20,6520,326.0,19.4432948834
20,19,3650,192.105263158,19.6968065179
21,15,9610,640.666666667,21.0936727469
22,17,5450,320.588235294,22.4113331311
23,23,5950,258.695652174,24.2390713547
24,17,10490,617.058823529,22.7641181797
25,18,5520,306.666666667,25.5777003587
26,21,6150,292.857142857,20.3456741663
27,17,4230,248.823529412,21.2944571882
28,15,5110,340.666666667,20.9441423858
29,17,8050,473.529411765,21.8897761136
30,19,3470,182.631578947,20.4941971397
31,14,6950,496.428571429,22.2037007292
32,20,5140,257.0,20.5075515108
33,17,6770,398.235294118,21.2099482347
34,19,4480,235.789473684,24.1535524515
35,22,6690,304.090909091,20.8225575597
36,14,7390,527.857142857,20.8024635671
37,15,9120,608.0,21.16792343
38,21,5460,260.0,20.810700495
39,18,6940,385.555555556,23.151775152
40,14,10060,718.571428571,20.6286287839
41,15,10160,677.333333333,19.4970248089
42,15,5750,383.333333333,22.7077795619
43,19,4360,229.473684211,21.4365268126
44,19,3850,202.631578947,20.6246225581
45,16,11140,696.25,22.0748419976
46,21,5220,248.571428571,21.0723310124
47,14,8310,593.571428571,22.6077696745
48,22,5900,268.181818182,21.6560947935
49,19,7960,418.947368421,20.5497278715
50,15,6290,419.333333333,20.8162868669
51,18,9340,518.888888889,20.0027609877
52,19,8630,454.210526316,22.7443787547
53,18,4360,242.222222222,20.5672453455
54,16,7190,449.375,19.7101719765
55,13,10510,808.461538462,19.6770020254
56,17,8880,522.352941176,20.3436672628
57,18,10310,572.777777778,18.9965619439
58,14,10330,737.857142857,20.4461935365
59,15,10270,684.666666667,21.0776859631
60,19,4330,227.894736842,21.0025243324
61,20,4550,227.5,23.3986618168
62,19,3940,207.368421053,22.283603703
63,14,11140,795.714285714,20.0942183862
64,20,5240,262.0,23.8736566241
65,19,2310,121.578947368,22.08468399
66,14,5990,427.857142857,21.8531742237
67,19,2050,107.894736842,23.4004449398
68,21,4470,212.857142857,23.6830365457
69,16,6970,435.625,23.7810448263
70,20,3410,170.5,19.4291092176
71,20,4420,221.0,19.6212399905
72,18,5560,308.888888889,20.1301266897
73,21,5270,250.952380952,21.4215508431
74,18,4590,255.0,22.8856245253
75,18,5790,321.666666667,21.7337989328
76,20,7940,397.0,20.540376114
77,25,2850,114.0,21.743907993
78,16,6370,398.125,19.7522727682
79,14,6210,443.571428571,21.5505394542
80,19,9340,491.578947368,21.4179675874
81,14,8090,577.857142857,20.2732492568
82,19,7060,371.578947368,19.8032796848
83,15,3570,238.0,19.5913071956
84,20,6200,310.0,17.2314446877
85,17,8690,511.176470588,20.4001458506
86,17,4520,265.882352941,20.6284409402
87,17,6110,359.411764706,21.9154854487
88,18,7210,400.555555556,22.4845653496
89,18,4240,235.555555556,20.6851742921
90,15,9940,662.666666667,17.9649241543
91,16,8070,504.375,24.2380382873
92,17,7120,418.823529412,20.5111186329
93,16,6810,425.625,18.910145949
94,15,5830,388.666666667,23.5027964828
95,17,8360,491.764705882,18.8819342896
96,20,3450,172.5,19.006040209
97,14,7660,547.142857143,20.7481682961
98,21,3910,186.19047619,20.3671467965
99,21,2480,118.095238095,19.8115577775
100,17,5640,331.764705882,21.119160922
