epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,12,-252,-21.0,12.145949471
2,12,-252,-21.0,9.39856980117
3,11,-231,-21.0,13.4222927955
4,12,-252,-21.0,21.0265419252
5,13,-273,-21.0,19.4922941645
6,13,-273,-21.0,19.0067535085
7,12,-252,-21.0,23.9241100781
8,12,-248,-20.6666666667,21.038785416
9,13,-272,-20.9230769231,18.0787930004
10,13,-273,-21.0,20.1982482407
11,11,-231,-21.0,27.9478451627
12,13,-273,-21.0,30.965014431
13,12,-252,-21.0,28.4936467959
14,11,-230,-20.9090909091,19.0500375362
15,13,-273,-21.0,17.8537198398
16,13,-273,-21.0,19.3757864414
17,13,-273,-21.0,26.454737431
18,12,-252,-21.0,21.7922845445
19,12,-249,-20.75,30.0202829735
20,12,-252,-21.0,25.7638803754
21,13,-273,-21.0,31.0162722066
22,13,-273,-21.0,19.1385663301
23,12,-252,-21.0,27.8597942659
24,13,-273,-21.0,29.7649937267
25,11,-227,-20.6363636364,23.4058551155
26,11,-231,-21.0,28.3234856755
27,12,-252,-21.0,24.8150410823
28,11,-230,-20.9090909091,20.7358404116
29,12,-251,-20.9166666667,20.9266989167
30,12,-252,-21.0,22.8893830693
31,13,-273,-21.0,20.2898353475
32,12,-251,-20.9166666667,21.227186832
33,11,-230,-20.9090909091,28.8769908762
34,11,-231,-21.0,24.812383413
35,12,-252,-21.0,21.3755026266
36,13,-273,-21.0,21.2818549243
37,12,-252,-21.0,26.1391803933
38,12,-249,-20.75,19.4851822731
39,12,-250,-20.8333333333,32.1546701386
40,12,-248,-20.6666666667,33.7210329254
41,12,-252,-21.0,28.8594128978
42,13,-272,-20.9230769231,20.5800242997
43,13,-273,-21.0,21.4059519034
44,12,-252,-21.0,18.926440314
45,13,-273,-21.0,15.9587155339
46,12,-251,-20.9166666667,15.8254184422
47,13,-273,-21.0,21.2695384267
48,12,-249,-20.75,22.2644737615
49,12,-252,-21.0,23.324534618
50,12,-252,-21.0,25.5077816732
51,12,-250,-20.8333333333,26.0420714841
52,12,-249,-20.75,21.0050343228
53,11,-230,-20.9090909091,18.6935719821
54,13,-273,-21.0,15.956187382
55,12,-252,-21.0,21.1852663772
56,12,-252,-21.0,21.0449106306
57,12,-247,-20.5833333333,22.314910316
58,12,-252,-21.0,25.1314847446
59,12,-248,-20.6666666667,32.9611107498
60,12,-252,-21.0,27.8725772559
61,13,-273,-21.0,33.1620521012
62,12,-252,-21.0,25.3844936518
63,13,-273,-21.0,19.7741901574
64,12,-248,-20.6666666667,19.2251806846
65,13,-273,-21.0,16.6240715807
66,11,-231,-21.0,24.5043561988
67,12,-247,-20.5833333333,23.7064680871
68,13,-273,-21.0,16.0483995241
69,11,-231,-21.0,25.1442083689
70,11,-231,-21.0,24.3153257522
71,12,-252,-21.0,33.3951118897
72,12,-252,-21.0,23.2379625386
73,12,-252,-21.0,25.7847964987
74,12,-252,-21.0,26.5041684892
75,13,-273,-21.0,25.1013827714
76,13,-273,-21.0,20.6955716311
77,12,-252,-21.0,19.8100277314
78,12,-249,-20.75,21.2612159177
79,13,-273,-21.0,32.1300569318
80,13,-273,-21.0,30.4364787506
81,13,-273,-21.0,28.3366831176
82,13,-273,-21.0,22.7961595602
83,12,-250,-20.8333333333,24.5797929856
84,13,-273,-21.0,23.9932878879
85,12,-252,-21.0,24.2243516512
86,11,-231,-21.0,19.2659839008
87,11,-231,-21.0,21.3056616218
88,13,-273,-21.0,25.7568084527
89,13,-273,-21.0,16.8806680923
90,12,-249,-20.75,25.7537028179
91,13,-273,-21.0,20.7249802192
92,12,-252,-21.0,24.0000179253
93,12,-251,-20.9166666667,27.2617087552
94,12,-252,-21.0,16.6993163475
95,13,-273,-21.0,18.5118261159
96,13,-273,-21.0,19.7513586195
97,10,-210,-21.0,32.6722639542
98,12,-251,-20.9166666667,33.4700625881
99,12,-247,-20.5833333333,25.0236223753
100,12,-252,-21.0,37.944018737
