epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,13,2160,166.153846154,15.957667378
2,1,0,0.0,18.880880338
3,10,1820,182.0,21.3149928206
4,15,1300,86.6666666667,22.0395077145
5,1,0,0.0,22.6395615878
6,10,1980,198.0,22.0840585188
7,14,360,25.7142857143,26.394255503
8,6,740,123.333333333,26.1864384566
9,15,1700,113.333333333,24.4783433475
10,24,60,2.5,22.7290307655
11,9,1900,211.111111111,22.0894711769
12,1,0,0.0,26.7090751814
13,7,2200,314.285714286,25.1955267508
14,14,2040,145.714285714,22.9681355916
15,7,100,14.2857142857,23.7661272099
16,16,1640,102.5,26.1482498114
17,13,1360,104.615384615,24.0608997356
18,16,920,57.5,25.1252789411
19,12,1740,145.0,24.2994155074
20,10,1780,178.0,23.567595296
21,14,2520,180.0,23.37731076
22,9,2020,224.444444444,23.1787497749
23,7,120,17.1428571429,24.1505445083
24,12,2120,176.666666667,22.5306024428
25,13,460,35.3846153846,22.6047496937
26,7,180,25.7142857143,24.4599640691
27,9,2980,331.111111111,20.8477303628
28,13,2500,192.307692308,23.1225628303
29,14,2100,150.0,26.0696968489
30,12,1900,158.333333333,25.1321237919
31,12,1980,165.0,27.0692483073
32,8,2900,362.5,21.873922785
33,10,2840,284.0,21.8585245578
34,10,2160,216.0,25.9635220562
35,11,2340,212.727272727,20.8941993534
36,14,2360,168.571428571,26.0170025038
37,13,1900,146.153846154,22.3550842056
38,12,2560,213.333333333,23.9030152914
39,19,1740,91.5789473684,24.2968094713
40,11,2440,221.818181818,21.9707639747
41,14,2640,188.571428571,23.4596258449
42,13,1600,123.076923077,23.8722267445
43,9,2540,282.222222222,24.3838534229
44,13,2380,183.076923077,22.7184867835
45,9,1900,211.111111111,20.1760941989
46,12,2340,195.0,21.2393160977
47,11,1300,118.181818182,23.4427124477
48,13,1940,149.230769231,20.412070258
49,9,2920,324.444444444,22.2546398705
50,12,2140,178.333333333,21.3989916655
51,9,1140,126.666666667,23.786896393
52,6,40,6.66666666667,20.9888306638
53,12,2460,205.0,21.460296871
54,7,2300,328.571428571,24.7759429489
55,4,280,70.0,22.762707604
56,12,240,20.0,20.9472045768
57,7,2600,371.428571429,23.0635446966
58,13,2080,160.0,24.6042541958
59,11,2020,183.636363636,22.1706429316
60,15,1900,126.666666667,23.5025105725
61,14,2020,144.285714286,20.8946298376
62,12,1620,135.0,23.925507658
63,12,2240,186.666666667,19.7942267565
64,17,2000,117.647058824,21.8421696822
65,12,2340,195.0,23.0275486142
66,8,680,85.0,22.2744248385
67,5,260,52.0,21.5025169867
68,10,2020,202.0,25.3797766604
69,12,2440,203.333333333,21.6099401112
70,1,20,20.0,21.6033332547
71,14,1520,108.571428571,23.4852599952
72,15,1460,97.3333333333,22.1004808878
73,14,1920,137.142857143,24.3684156894
74,4,0,0.0,25.4225900372
75,10,1740,174.0,20.6848717334
76,18,1840,102.222222222,21.7068822551
77,4,60,15.0,23.7695013883
78,16,1860,116.25,22.1891545589
79,16,2420,151.25,21.1839440955
80,15,2040,136.0,22.0565134732
81,15,2060,137.333333333,18.9336277193
82,9,80,8.88888888889,20.5651128708
83,9,1020,113.333333333,20.1720718189
84,7,2580,368.571428571,20.956565118
85,13,2240,172.307692308,25.3007141356
86,17,1340,78.8235294118,22.6199389154
87,14,1520,108.571428571,24.916495808
88,9,140,15.5555555556,20.929974538
89,12,240,20.0,21.3522736855
90,10,680,68.0,23.4018856058
91,11,1320,120.0,22.1146138818
92,17,220,12.9411764706,22.9505258172
93,10,2360,236.0,20.8764092339
94,13,1580,121.538461538,21.3666942367
95,13,2120,163.076923077,23.1889765842
96,11,1560,141.818181818,23.3943628466
97,13,1220,93.8461538462,20.0416920891
98,9,2120,235.555555556,21.0584744368
99,14,1280,91.4285714286,22.760179991
100,14,2140,152.857142857,23.6768031131
