epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,19,2815,148.157894737,3.33674088836
2,18,3050,169.444444444,4.37198531043
3,19,3135,165.0,5.44580718997
4,19,1375,72.3684210526,5.01935277703
5,19,2690,141.578947368,4.91089414114
6,19,3370,177.368421053,5.08008710861
7,17,2785,163.823529412,5.27160456279
8,18,3285,182.5,5.44314427094
9,17,3385,199.117647059,5.1533966519
10,15,3775,251.666666667,5.25527779647
11,16,4525,282.8125,5.03552529615
12,18,2075,115.277777778,4.89365794804
13,16,3025,189.0625,5.13570519345
14,18,3825,212.5,5.10517884339
15,19,2985,157.105263158,4.9639047469
16,14,3135,223.928571429,5.4770720329
17,17,3595,211.470588235,5.01900149246
18,21,2495,118.80952381,5.34536349696
19,16,3585,224.0625,5.30209016985
20,15,4280,285.333333333,5.35768468441
21,17,3325,195.588235294,5.48461723955
22,19,3430,180.526315789,5.68275727605
23,20,2620,131.0,5.16341116035
24,21,2550,121.428571429,5.0724294166
25,23,3345,145.434782609,4.96001101793
26,16,2800,175.0,5.11499041917
27,23,2870,124.782608696,4.73641238874
28,14,2865,204.642857143,5.08279245942
29,15,2260,150.666666667,4.88062352174
30,18,2440,135.555555556,4.95311638736
31,17,4160,244.705882353,4.95920219936
32,17,3990,234.705882353,5.45265504744
33,17,2480,145.882352941,5.03058114917
34,20,3490,174.5,5.15245070827
35,18,3600,200.0,4.95801394706
36,18,2925,162.5,5.31229239062
37,21,2670,127.142857143,5.4034706038
38,16,2765,172.8125,5.40602090453
39,19,1630,85.7894736842,5.32053171598
40,18,2325,129.166666667,5.0933576414
41,16,3545,221.5625,4.95165740536
42,16,4395,274.6875,4.86460906183
43,16,3330,208.125,5.47735101793
44,16,3735,233.4375,4.89963456281
45,15,2980,198.666666667,5.00804990391
46,17,2185,128.529411765,5.00062542675
47,17,2160,127.058823529,4.95606276087
48,16,2705,169.0625,5.06297537383
49,14,3575,255.357142857,5.32911073154
50,19,2380,125.263157895,5.03973563686
51,15,3635,242.333333333,5.46261039546
52,20,3195,159.75,4.85226613158
53,20,2635,131.75,4.95606169386
54,17,2955,173.823529412,5.17032797736
55,22,2100,95.4545454545,4.45709386577
56,19,2625,138.157894737,5.29564759207
57,19,3375,177.631578947,4.88010000393
58,13,3350,257.692307692,4.78749243994
59,17,4595,270.294117647,5.18033241498
60,15,3895,259.666666667,5.06574251596
61,20,3300,165.0,5.11161669868
62,17,3305,194.411764706,4.83158522783
63,16,4100,256.25,5.03647392928
64,15,2790,186.0,4.7407376771
65,19,2835,149.210526316,4.96094326114
66,17,3370,198.235294118,4.96363072049
67,17,3105,182.647058824,5.50008761691
68,15,2855,190.333333333,5.1059705103
69,18,1920,106.666666667,4.78585649903
70,19,1970,103.684210526,5.04756704663
71,17,3750,220.588235294,5.50812542308
72,22,3550,161.363636364,5.17519216792
73,18,2415,134.166666667,5.18037217144
74,14,3785,270.357142857,4.84753686483
75,16,2565,160.3125,4.74881517203
76,18,3520,195.555555556,5.1829913898
77,19,2970,156.315789474,4.61960643308
78,17,2730,160.588235294,4.8556189571
79,22,3025,137.5,4.92535999293
80,17,2570,151.176470588,4.75297173466
81,18,3635,201.944444444,4.71618430328
82,18,3090,171.666666667,4.72802731293
83,21,3215,153.095238095,5.23068384941
84,18,1900,105.555555556,4.6622212899
85,18,2495,138.611111111,4.81441903962
86,17,3200,188.235294118,4.72495759388
87,20,3430,171.5,4.92482881319
88,20,3265,163.25,5.16815417104
89,14,3990,285.0,4.76129937675
90,23,3235,140.652173913,4.86232367109
91,19,3500,184.210526316,4.97950775755
92,22,4020,182.727272727,4.68327078479
93,22,3575,162.5,5.00039438284
94,26,1260,48.4615384615,4.73374799124
95,16,2655,165.9375,4.83757642163
96,17,2930,172.352941176,4.45467016377
97,19,3615,190.263157895,4.55937008723
98,25,2090,83.6,4.75686730038
99,24,2395,99.7916666667,4.8728644875
100,25,1550,62.0,4.87835117047
