epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,13,-273,-21.0,-0.139405363053
2,12,-248,-20.6666666667,-0.181977994936
3,13,-273,-21.0,-0.233767927475
4,12,-249,-20.75,-0.306735119065
5,13,-273,-21.0,-0.328876146972
6,13,-273,-21.0,-0.32000348439
7,12,-252,-21.0,-0.32280306905
8,11,-231,-21.0,-0.299599974779
9,13,-273,-21.0,-0.269860518272
10,12,-251,-20.9166666667,-0.298249996863
11,13,-273,-21.0,-0.761435065055
12,11,-229,-20.8181818182,-0.805626906124
13,11,-222,-20.1818181818,-0.739261895083
14,13,-273,-21.0,-0.731060395138
15,12,-245,-20.4166666667,-0.684520641752
16,13,-273,-21.0,-0.70288038319
17,12,-251,-20.9166666667,-0.683441797867
18,12,-251,-20.9166666667,-0.641958080409
19,11,-229,-20.8181818182,-0.723776813457
20,12,-252,-21.0,-0.6746700502
21,13,-273,-21.0,-0.656280577658
22,13,-273,-21.0,-0.688641846227
23,11,-230,-20.9090909091,-0.638020844171
24,12,-252,-21.0,-0.657888317723
25,13,-273,-21.0,-0.614574176455
26,12,-252,-21.0,-0.317524217516
27,12,-251,-20.9166666667,-0.290294026863
28,13,-273,-21.0,-0.665976173487
29,10,-203,-20.3,-0.307656763755
30,13,-273,-21.0,-0.330438730624
31,10,-203,-20.3,-0.544143512445
32,12,-251,-20.9166666667,-0.527601517048
33,12,-252,-21.0,-0.337055132519
34,12,-251,-20.9166666667,-0.253678489495
35,13,-273,-21.0,-0.297687231908
36,12,-249,-20.75,-0.279375174763
37,13,-272,-20.9230769231,-0.254364729961
38,13,-273,-21.0,-0.290377818476
39,13,-273,-21.0,-0.298808005648
40,10,-192,-19.2,-0.30867651552
41,12,-248,-20.6666666667,-0.273470807644
42,12,-252,-21.0,-0.300083622457
43,12,-251,-20.9166666667,-0.31092606117
44,12,-252,-21.0,-0.282172401976
45,13,-273,-21.0,-0.248592733601
46,12,-249,-20.75,-0.254059419762
47,13,-273,-21.0,-0.247453983426
48,13,-273,-21.0,-0.278741559647
49,13,-273,-21.0,-0.225747412266
50,11,-224,-20.3636363636,-0.413553646365
51,11,-230,-20.9090909091,-0.239136747215
52,12,-252,-21.0,-0.272994981548
53,12,-252,-21.0,-0.302281958424
54,13,-273,-21.0,-0.276766061364
55,12,-252,-21.0,-0.241350882556
56,12,-252,-21.0,-0.205860089296
57,12,-244,-20.3333333333,-0.236812944971
58,13,-273,-21.0,-0.286567173796
59,12,-251,-20.9166666667,-0.259170220522
60,13,-273,-21.0,-0.258620536262
61,12,-249,-20.75,-0.270436168285
62,12,-252,-21.0,-0.272174934782
63,13,-273,-21.0,-0.251468270663
64,12,-249,-20.75,-0.295879414743
65,13,-273,-21.0,-0.264726939658
66,13,-273,-21.0,-0.256595780673
67,13,-273,-21.0,-0.263025584482
68,13,-273,-21.0,-0.263862398714
69,12,-252,-21.0,-0.230285407063
70,12,-248,-20.6666666667,-0.225875938404
71,12,-244,-20.3333333333,-0.260467792023
72,10,-208,-20.8,-0.265875688735
73,11,-231,-21.0,-0.254649255201
74,13,-273,-21.0,-0.270760972882
75,13,-273,-21.0,-0.232321014442
76,12,-252,-21.0,-0.231913665086
77,10,-208,-20.8,-0.241157534271
78,13,-273,-21.0,-0.268007325083
79,11,-231,-21.0,-0.269167909827
80,13,-273,-21.0,-0.245712006446
81,10,-206,-20.6,-0.230128362887
82,12,-249,-20.75,-0.248527517729
83,12,-246,-20.5,-0.241092415415
84,12,-251,-20.9166666667,-0.237780416161
85,12,-249,-20.75,-0.240590996183
86,12,-252,-21.0,-0.271073559057
87,12,-252,-21.0,-0.228772524223
88,13,-273,-21.0,-0.268593499977
89,12,-252,-21.0,-0.258582277652
90,10,-204,-20.4,-0.257468942534
91,11,-222,-20.1818181818,-0.217408159301
92,13,-273,-21.0,-0.215131223407
93,12,-247,-20.5833333333,-0.235900780838
94,12,-250,-20.8333333333,-0.273282389566
95,13,-273,-21.0,-0.264724191912
96,12,-248,-20.6666666667,-0.253177554645
97,13,-273,-21.0,-0.268367549665
98,12,-252,-21.0,-0.248299778402
99,12,-252,-21.0,-0.261334720608
100,12,-248,-20.6666666667,-0.246341054942
