epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,12,-252,-21.0,-0.314307337725
2,11,-227,-20.6363636364,-0.385851520401
3,9,-176,-19.5555555556,-0.245098249628
4,10,-199,-19.9,-0.143078685946
5,11,-221,-20.0909090909,-0.083008057212
6,9,-170,-18.8888888889,-0.0540322922322
7,9,-178,-19.7777777778,-0.073923107658
8,11,-228,-20.7272727273,-0.0554219412513
9,10,-203,-20.3,-0.0344096324011
10,10,-205,-20.5,-0.0402829286875
11,10,-200,-20.0,-0.0464994751173
12,11,-222,-20.1818181818,-0.0521442337707
13,9,-183,-20.3333333333,-0.0258455826226
14,9,-179,-19.8888888889,-0.04174105988
15,10,-206,-20.6,-0.0278622224333
16,8,-158,-19.75,-0.0367289405141
17,9,-183,-20.3333333333,-0.0124387478759
18,7,-131,-18.7142857143,-0.0333738727227
19,6,-111,-18.5,-0.0562032009359
20,9,-181,-20.1111111111,-0.0502698054945
21,6,-113,-18.8333333333,-0.0341705086594
22,7,-133,-19.0,-0.0198766031035
23,8,-154,-19.25,-0.00845765956561
24,7,-128,-18.2857142857,-0.0163692403096
25,8,-154,-19.25,-0.00570836250437
26,8,-160,-20.0,-0.0345650913194
27,8,-153,-19.125,-0.0591890011961
28,7,-135,-19.2857142857,-0.0238637900096
29,9,-184,-20.4444444444,-0.019908104632
30,6,-112,-18.6666666667,-0.00117583890329
31,6,-115,-19.1666666667,-0.0145983028796
32,8,-156,-19.5,-0.00111401125672
33,8,-152,-19.0,0.000545747720171
34,7,-138,-19.7142857143,-0.000258032500278
35,10,-203,-20.3,-0.0103305166715
36,6,-112,-18.6666666667,-0.0017229950428
37,8,-152,-19.0,0.0302556505392
38,11,-219,-19.9090909091,0.015697557074
39,6,-106,-17.6666666667,0.0101646333002
40,7,-134,-19.1428571429,-0.00425301752635
41,8,-150,-18.75,-0.0395694831223
42,8,-154,-19.25,-0.0181797401793
43,8,-152,-19.0,0.0227321691555
44,6,-108,-18.0,-0.0298144540971
45,7,-131,-18.7142857143,0.0130854342715
46,7,-132,-18.8571428571,-0.00406872918829
47,8,-149,-18.625,-0.00695155914524
48,7,-132,-18.8571428571,-0.00290057681384
49,7,-126,-18.0,0.0132802942628
50,7,-132,-18.8571428571,-0.011889598507
51,9,-182,-20.2222222222,-0.0246030814573
52,6,-99,-16.5,-0.0464984378696
53,8,-149,-18.625,-0.0144675497338
54,7,-130,-18.5714285714,-0.0290423302446
55,8,-149,-18.625,-0.0065117856604
56,7,-122,-17.4285714286,-0.00393992352998
57,7,-126,-18.0,-0.0526379636326
58,5,-79,-15.8,-0.0300574531779
59,9,-176,-19.5555555556,-0.00361672358238
60,6,-95,-15.8333333333,-0.0229058463743
61,8,-146,-18.25,-0.00532663947553
62,6,-105,-17.5,0.0337013374106
63,7,-118,-16.8571428571,0.00545555763296
64,7,-138,-19.7142857143,-0.0419056990079
65,7,-135,-19.2857142857,-0.000153767385054
66,7,-121,-17.2857142857,0.0140745813597
67,7,-123,-17.5714285714,-0.00876309595187
68,6,-99,-16.5,-0.00137285374221
69,6,-102,-17.0,-0.0100902704266
70,7,-128,-18.2857142857,0.00765430054395
71,6,-98,-16.3333333333,0.0259075413179
72,7,-123,-17.5714285714,0.0198873509013
73,6,-103,-17.1666666667,-0.0126643012371
74,6,-103,-17.1666666667,-0.00755662071519
75,6,-106,-17.6666666667,-0.00110159761272
76,6,-98,-16.3333333333,0.0186465705407
77,5,-87,-17.4,-0.000967570435023
78,6,-102,-17.0,-0.0165124598495
79,6,-101,-16.8333333333,-0.0415771272569
80,5,-84,-16.8,-0.0474900476169
81,7,-129,-18.4285714286,-0.0121484627132
82,7,-127,-18.1428571429,-0.0232653233223
83,6,-112,-18.6666666667,-0.0394710731797
84,5,-86,-17.2,-0.0207453860412
85,5,-84,-16.8,0.0193619362742
86,8,-147,-18.375,-0.00578392516356
87,8,-152,-19.0,-0.0291818112985
88,7,-133,-19.0,0.00393772105337
89,6,-112,-18.6666666667,-0.0284249945369
90,6,-106,-17.6666666667,-0.0191332905146
91,6,-108,-18.0,-0.0361514798272
92,5,-84,-16.8,-0.0303979820479
93,4,-63,-15.75,-0.0139440063958
94,6,-95,-15.8333333333,-0.0343655123073
95,7,-123,-17.5714285714,-0.0252083380171
96,5,-85,-17.0,-0.0147655843222
97,6,-108,-18.0,-0.0325635630323
98,7,-134,-19.1428571429,-0.0502102395426
99,7,-125,-17.8571428571,-0.0263720766117
100,4,-63,-15.75,-0.0275627806957
