epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,59,-1236,-20.9491525424,0.219411579067
2,58,-1182,-20.3793103448,0.153118569731
3,64,-1329,-20.765625,-0.0349304123245
4,62,-1298,-20.935483871,-0.16468846861
5,59,-1233,-20.8983050847,-0.355708335222
6,61,-1277,-20.9344262295,-0.293220137039
7,62,-1302,-21.0,-0.299060549739
8,60,-1207,-20.1166666667,-0.331291706444
9,42,-838,-19.9523809524,-0.453482896279
10,49,-986,-20.1224489796,-0.551029311918
11,30,-606,-20.2,-0.627131142036
12,45,-919,-20.4222222222,-0.693064099046
13,49,-1014,-20.693877551,-0.628662594915
14,31,-577,-18.6129032258,-0.561962581405
15,27,-510,-18.8888888889,-0.534703494388
16,26,-458,-17.6153846154,-0.496547203291
17,30,-556,-18.5333333333,-0.329538226444
18,27,-499,-18.4814814815,-0.320358177852
19,23,-410,-17.8260869565,-0.231366108204
20,18,-287,-15.9444444444,-0.264215754577
21,23,-401,-17.4347826087,-0.12785412475
22,20,-344,-17.2,-0.111969015727
23,23,-405,-17.6086956522,-0.109655439691
24,22,-349,-15.8636363636,-0.0971110651223
25,28,-533,-19.0357142857,-0.0408341159593
26,18,-272,-15.1111111111,-0.0108960612115
27,20,-280,-14.0,0.0545771546711
28,21,-365,-17.380952381,0.108660547862
29,21,-325,-15.4761904762,0.183719239844
30,19,-286,-15.0526315789,0.187328401757
31,20,-286,-14.3,0.179468408695
32,19,-256,-13.4736842105,0.115915844766
33,19,-303,-15.9473684211,0.140641855718
34,15,-166,-11.0666666667,0.138392562765
35,17,-262,-15.4117647059,0.141333621184
36,16,-181,-11.3125,0.202154267122
37,19,-280,-14.7368421053,0.207634600543
38,16,-247,-15.4375,0.158520894081
39,19,-284,-14.9473684211,0.115735768978
40,17,-226,-13.2941176471,0.150273492701
41,16,-116,-7.25,0.195835224471
42,14,-176,-12.5714285714,0.181177079424
43,15,-189,-12.6,0.240812878963
44,21,-376,-17.9047619048,0.25949552922
45,15,-162,-10.8,0.243340098181
46,14,-115,-8.21428571429,0.265918167803
47,13,-137,-10.5384615385,0.256381253691
48,13,-43,-3.30769230769,0.308710546065
49,13,-122,-9.38461538462,0.234603838208
50,14,-165,-11.7857142857,0.272079767786
51,12,-103,-8.58333333333,0.279598936729
52,15,-152,-10.1333333333,0.304275709341
53,13,-108,-8.30769230769,0.288890021408
54,16,-154,-9.625,0.310870111529
55,17,188,11.0588235294,0.330339186287
56,12,-56,-4.66666666667,0.397277121024
57,16,-193,-12.0625,0.458079216545
58,20,-273,-13.65,0.464068016193
59,12,-35,-2.91666666667,0.401048144097
60,16,160,10.0,0.465161671185
61,13,-57,-4.38461538462,0.500390625612
62,16,43,2.6875,0.492447132376
63,19,273,14.3684210526,0.535212365239
64,12,-22,-1.83333333333,0.590114310156
65,13,-80,-6.15384615385,0.63900527304
66,14,117,8.35714285714,0.638631380528
67,21,336,16.0,0.62167753227
68,17,199,11.7058823529,0.700119526449
69,21,335,15.9523809524,0.752356928352
70,21,335,15.9523809524,0.736785436818
71,19,284,14.9473684211,0.78126363794
72,21,333,15.8571428571,0.756073264657
73,21,330,15.7142857143,0.773262324037
74,20,317,15.85,0.815042857011
75,21,339,16.1428571429,0.875358129121
76,22,378,17.1818181818,0.903529713065
77,22,357,16.2272727273,0.907011421699
78,21,329,15.6666666667,0.863833980789
79,24,443,18.4583333333,0.921052098442
80,22,345,15.6818181818,0.967835538708
81,22,357,16.2272727273,1.04299842921
82,24,429,17.875,1.05562911327
83,24,428,17.8333333333,1.09302399801
84,24,405,16.875,1.17918590725
85,23,388,16.8695652174,1.16922229862
86,25,443,17.72,1.16347785017
87,24,423,17.625,1.22726286625
88,23,397,17.2608695652,1.27205277226
89,25,449,17.96,1.29187979528
90,27,506,18.7407407407,1.27507683896
91,24,399,16.625,1.28540868188
92,23,384,16.6956521739,1.34214215287
93,26,483,18.5769230769,1.2803659052
94,27,521,19.2962962963,1.37136220152
95,27,518,19.1851851852,1.37869187488
96,25,445,17.8,1.37290393909
97,25,460,18.4,1.36075807501
98,26,483,18.5769230769,1.40374494084
99,25,451,18.04,1.44999476322
100,24,411,17.125,1.51315285318
