epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,93,3280,35.2688172043,0.375687878545
2,86,14465,168.197674419,1.53447885452
3,70,13415,191.642857143,2.17692071592
4,134,8765,65.4104477612,2.67641800884
5,75,19455,259.4,2.9127054675
6,90,12385,137.611111111,3.16873175315
7,111,4910,44.2342342342,3.40041548126
8,81,7740,95.5555555556,3.32302477497
9,72,21080,292.777777778,3.52454699228
10,71,14150,199.295774648,3.47655708122
11,65,21465,330.230769231,3.41572422888
12,53,16580,312.830188679,3.67392360188
13,56,20395,364.196428571,3.9460864863
14,77,7075,91.8831168831,4.28425469604
15,57,16205,284.298245614,4.26550098823
16,54,13200,244.444444444,4.48686898041
17,69,18615,269.782608696,4.97642155436
18,54,18455,341.759259259,4.9055848884
19,63,14495,230.079365079,4.791736519
20,50,17880,357.6,4.86988396849
21,46,23205,504.456521739,4.72548129292
22,49,25195,514.183673469,4.5762254641
23,64,17120,267.5,4.55249676239
24,47,21675,461.170212766,4.60115457378
25,55,22730,413.272727273,4.57746381866
26,55,26025,473.181818182,4.65166538283
27,57,18520,324.912280702,4.72101328357
28,50,12710,254.2,4.62293847988
29,52,21105,405.865384615,4.63082122641
30,54,23720,439.259259259,4.72861776909
31,48,13150,273.958333333,4.59327667149
32,55,10385,188.818181818,4.61278855752
33,54,15505,287.12962963,4.72223903225
34,56,25065,447.589285714,4.72880362907
35,62,26345,424.919354839,4.55867367797
36,62,25260,407.419354839,4.62051990225
37,56,25395,453.482142857,4.69257642344
38,55,26635,484.272727273,4.77969219136
39,59,16315,276.525423729,5.19964245148
40,64,23240,363.125,5.1175387413
41,58,23365,402.844827586,4.94878367201
42,53,26575,501.41509434,5.11724671444
43,59,24995,423.644067797,5.35156794993
44,53,24385,460.094339623,5.77775742734
45,59,21660,367.118644068,5.81635334509
46,49,23910,487.959183673,5.57654126654
47,57,28580,501.403508772,5.87439827714
48,55,26185,476.090909091,5.47234712445
49,57,25935,455.0,5.70518196737
50,50,17295,345.9,5.74975322192
51,50,27720,554.4,5.73869045464
52,52,27180,522.692307692,5.45409673684
53,53,20965,395.566037736,5.49629430797
54,57,26870,471.403508772,5.52484651781
55,57,26490,464.736842105,5.50709485299
56,53,25785,486.509433962,5.60207374187
57,56,24395,435.625,5.31723292584
58,59,27595,467.711864407,5.29270856159
59,67,21820,325.671641791,5.20997471767
60,54,26325,487.5,5.08269773478
61,54,26455,489.907407407,5.28548358663
62,58,26690,460.172413793,5.47063442501
63,56,19900,355.357142857,5.53418157997
64,55,29970,544.909090909,5.47130025982
65,50,24810,496.2,5.40185838925
66,59,28370,480.847457627,5.52681621458
67,57,30515,535.350877193,5.45523196342
68,77,17705,229.935064935,5.59381961268
69,56,29980,535.357142857,5.56922755658
70,59,31780,538.644067797,5.69091208118
71,58,21465,370.086206897,5.92789348221
72,54,21270,393.888888889,5.81557838832
73,51,26360,516.862745098,5.82146947722
74,62,17690,285.322580645,5.95685042637
75,68,31220,459.117647059,5.43219797915
76,54,25850,478.703703704,5.484485592
77,49,25740,525.306122449,5.63008188771
78,57,29470,517.01754386,5.5732668128
79,50,24360,487.2,5.36147421533
80,50,27520,550.4,5.6183737186
81,53,29460,555.849056604,5.71959074797
82,53,29145,549.905660377,5.42675771165
83,55,31805,578.272727273,5.42353250468
84,55,30590,556.181818182,5.47816841864
85,52,21315,409.903846154,5.71841473397
86,59,33155,561.949152542,5.98151111241
87,60,29890,498.166666667,5.65880674604
88,51,28395,556.764705882,5.68077667994
89,56,31405,560.803571429,5.5605741202
90,53,30485,575.188679245,5.54638055507
91,53,19210,362.452830189,5.60622149366
92,58,30810,531.206896552,5.51103262293
93,56,29665,529.732142857,5.57874407144
94,58,31270,539.137931034,5.57301089209
95,51,17600,345.098039216,5.37726440045
96,50,25565,511.3,5.42721568496
97,51,30795,603.823529412,5.62056939556
98,51,30115,590.490196078,5.63090189616
99,60,28305,471.75,5.35573932816
100,55,27940,508.0,5.35366560218
