epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,12,-246,-20.5,-0.143740826128
2,12,-252,-21.0,-0.308730608795
3,11,-230,-20.9090909091,-0.191461998579
4,11,-221,-20.0909090909,-0.204131153564
5,9,-181,-20.1111111111,-0.256205208625
6,12,-245,-20.4166666667,-0.221810937877
7,8,-154,-19.25,-0.23734236097
8,7,-131,-18.7142857143,-0.241554599017
9,5,-74,-14.8,-0.206705552183
10,7,-119,-17.0,-0.214305812535
11,6,-105,-17.5,-0.146343900004
12,5,-76,-15.2,-0.180082237948
13,6,-103,-17.1666666667,-0.0845796971389
14,5,-85,-17.0,-0.114856862829
15,7,-133,-19.0,-0.144266679416
16,6,-116,-19.3333333333,-0.0845370661461
17,6,-99,-16.5,-0.122224536131
18,4,-64,-16.0,-0.101634182222
19,6,-113,-18.8333333333,-0.0650757370365
20,5,-82,-16.4,-0.13806106758
21,6,-108,-18.0,-0.130186945576
22,5,-91,-18.2,-0.0695320976677
23,5,-80,-16.0,-0.0835180457763
24,5,-76,-15.2,-0.13322095976
25,5,-84,-16.8,-0.134158495712
26,5,-84,-16.8,-0.0972820160014
27,5,-82,-16.4,-0.157161864843
28,5,-87,-17.4,-0.116329344849
29,4,-76,-19.0,-0.119679371128
30,5,-86,-17.2,-0.112191130787
31,5,-95,-19.0,-0.112742136191
32,5,-84,-16.8,-0.126142298472
33,5,-84,-16.8,-0.116216556747
34,4,-61,-15.25,-0.138798326992
35,4,-57,-14.25,-0.131112477088
36,4,-60,-15.0,-0.125849780838
37,4,-60,-15.0,-0.133556329627
38,4,-71,-17.75,-0.0722942855
39,5,-81,-16.2,-0.0896284953854
40,3,-42,-14.0,-0.0937177707348
41,3,-38,-12.6666666667,-0.10990185041
42,3,-33,-11.0,-0.0936578848516
43,3,-33,-11.0,-0.0987023426197
44,3,-47,-15.6666666667,-0.0547906281776
45,4,-59,-14.75,-0.0637851871504
46,2,-22,-11.0,-0.0577002100227
47,3,-38,-12.6666666667,-0.0477051584132
48,4,-60,-15.0,-0.0491478882125
49,3,-26,-8.66666666667,-0.0328733919305
50,3,-34,-11.3333333333,-0.0703724276973
51,3,-29,-9.66666666667,-0.0632441775093
52,3,-23,-7.66666666667,-0.0458480330661
53,3,-33,-11.0,-0.0347992340755
54,3,-34,-11.3333333333,-0.0446072137635
55,2,-20,-10.0,-0.0424356048356
56,4,-42,-10.5,-0.00253897669143
57,3,-28,-9.33333333333,-0.0381025414867
58,2,-7,-3.5,-0.0300899636454
59,2,-15,-7.5,-0.0297094632511
60,2,-9,-4.5,-0.0368337402609
61,3,-31,-10.3333333333,-0.029048662869
62,2,-10,-5.0,-0.0338910977927
63,2,-18,-9.0,-0.0258625536633
64,3,-21,-7.0,-0.0449539989966
65,2,-6,-3.0,0.00111498048063
66,3,-24,-8.0,-0.0223814275698
67,3,-22,-7.33333333333,-0.0188736026105
68,2,-7,-3.5,-0.0206716858339
69,2,-16,-8.0,-0.0196776125394
70,2,-11,-5.5,-0.0421548307827
71,2,1,0.5,-0.014929981312
72,3,-10,-3.33333333333,-0.0290354704461
73,2,9,4.5,-0.0244439857802
74,2,6,3.0,-0.0105949740042
75,3,-31,-10.3333333333,0.0148184562247
76,3,-18,-6.0,0.0183772716078
77,2,-3,-1.5,0.00470410928829
78,3,13,4.33333333333,-0.00395944845979
79,3,-12,-4.0,0.0170044931897
80,2,-8,-4.0,0.0128827350104
81,3,1,0.333333333333,0.0100397382234
82,2,1,0.5,0.00546502252284
83,3,11,3.66666666667,0.0510537099722
84,3,9,3.0,0.0358195531782
85,3,29,9.66666666667,0.0156472379749
86,2,2,1.0,0.020327216296
87,3,-1,-0.333333333333,0.0286338529654
88,3,28,9.33333333333,0.0234911034809
89,3,27,9.0,0.0242298976611
90,3,20,6.66666666667,0.0154048949492
91,3,27,9.0,0.0252059553692
92,3,21,7.0,0.0196872856392
93,3,30,10.0,0.066513027515
94,3,27,9.0,0.0309164671745
95,3,14,4.66666666667,0.0300228491635
96,3,40,13.3333333333,0.0514691834908
97,3,19,6.33333333333,0.0307882332272
98,3,31,10.3333333333,0.0608423240844
99,3,31,10.3333333333,0.034944083975
100,3,32,10.6666666667,0.0519138232345
