epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,12,-252,-21.0,-0.13354850132
2,12,-251,-20.9166666667,-0.282675874492
3,12,-252,-21.0,-0.221149179564
4,11,-220,-20.0,-0.1954469786
5,11,-226,-20.5454545455,-0.285423660134
6,10,-205,-20.5,-0.233904580784
7,9,-175,-19.4444444444,-0.25472024711
8,9,-176,-19.5555555556,-0.18706238989
9,5,-78,-15.6,-0.166367067661
10,5,-88,-17.6,-0.184570983015
11,5,-94,-18.8,-0.153901159129
12,6,-113,-18.8333333333,-0.164005949559
13,5,-97,-19.4,-0.151937865121
14,5,-93,-18.6,-0.178808655735
15,5,-89,-17.8,-0.149029518084
16,6,-116,-19.3333333333,-0.150509028455
17,5,-91,-18.2,-0.0840130984928
18,5,-94,-18.8,-0.0992433891151
19,7,-133,-19.0,-0.147129032481
20,4,-71,-17.75,-0.122460678768
21,5,-93,-18.6,-0.149621541074
22,5,-86,-17.2,-0.104735650153
23,4,-60,-15.0,-0.127119065592
24,6,-111,-18.5,-0.078230010755
25,5,-85,-17.0,-0.124825310467
26,5,-91,-18.2,-0.170854324454
27,5,-90,-18.0,-0.103706076816
28,5,-90,-18.0,-0.100336269269
29,4,-72,-18.0,-0.115937537131
30,5,-87,-17.4,-0.111794014615
31,4,-61,-15.25,-0.0983113639385
32,4,-77,-19.25,-0.100628487791
33,5,-92,-18.4,-0.115129573582
34,5,-98,-19.6,-0.105369804458
35,5,-97,-19.4,-0.114933591288
36,4,-68,-17.0,-0.0638089636229
37,4,-75,-18.75,-0.123746040504
38,3,-48,-16.0,-0.130337053103
39,3,-43,-14.3333333333,-0.124105287965
40,4,-54,-13.5,-0.123530826073
41,4,-65,-16.25,-0.0922403335917
42,4,-61,-15.25,-0.0567431541985
43,3,-37,-12.3333333333,-0.0813490857708
44,4,-66,-16.5,-0.0789431990002
45,3,-48,-16.0,-0.0972644958849
46,4,-67,-16.75,-0.0945211296862
47,3,-27,-9.0,-0.0659529421294
48,3,-48,-16.0,-0.0698068591014
49,4,-52,-13.0,-0.0483566230292
50,3,-38,-12.6666666667,-0.0724579862896
51,3,-33,-11.0,-0.0696436897847
52,3,-40,-13.3333333333,-0.0287812959677
53,3,-31,-10.3333333333,-0.0404458849628
54,3,-27,-9.0,-0.0556050270638
55,2,-17,-8.5,-0.0689238291476
56,3,-23,-7.66666666667,-0.0701447331061
57,3,-30,-10.0,-0.0697765076862
58,2,-14,-7.0,-0.0559485566745
59,2,-17,-8.5,-0.0497135710236
60,3,-24,-8.0,-0.0315769917874
61,2,-6,-3.0,-0.0315215764746
62,2,-8,-4.0,-0.045505791891
63,2,4,2.0,-0.0421669459851
64,3,-30,-10.0,-0.0473842758168
65,3,-30,-10.0,-0.0578146891843
66,3,-33,-11.0,-0.0539695702977
67,2,-15,-7.5,-0.0656619033649
68,2,-6,-3.0,-0.0447971407279
69,2,-12,-6.0,-0.0182275574157
70,2,-18,-9.0,-0.00892699823145
71,2,-8,-4.0,-0.036373245445
72,2,-18,-9.0,-0.0861521101569
73,2,-9,-4.5,-0.0735811270524
74,2,-5,-2.5,-0.0421579243253
75,2,-20,-10.0,-0.0352269030113
76,2,-4,-2.0,-0.0147874930771
77,2,-4,-2.0,-0.0313814578417
78,2,-1,-0.5,-0.0243329368027
79,2,9,4.5,-0.00286411668948
80,2,-8,-4.0,0.0120534079
81,2,-12,-6.0,-0.0253094649425
82,3,28,9.33333333333,-0.0279793896907
83,2,-3,-1.5,0.0192682385621
84,2,4,2.0,-0.00226225721679
85,3,41,13.6666666667,-0.0236164463927
86,2,-10,-5.0,-0.0216834955185
87,2,11,5.5,-0.0234598469455
88,2,17,8.5,0.00830335082414
89,3,21,7.0,-0.0205661158716
90,2,-2,-1.0,-0.00938520489191
91,2,20,10.0,-0.0265391677666
92,2,4,2.0,-0.00649757974294
93,2,13,6.5,0.00732405544302
94,2,13,6.5,0.0112485092668
95,2,1,0.5,-0.0229744159942
96,2,4,2.0,-0.011731272026
97,2,14,7.0,-0.0146098507951
98,2,6,3.0,0.0149630704304
99,3,29,9.66666666667,0.0199801732091
100,3,17,5.66666666667,-0.00516999804642
