epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,49,8100,165.306122449,0.116174784837
2,48,11130,231.875,1.74326693013
3,55,13030,236.909090909,3.23447999794
4,41,17620,429.756097561,4.14384749894
5,44,14880,338.181818182,4.74182828203
6,55,18940,344.363636364,5.91099281177
7,42,14130,336.428571429,6.17804749683
8,69,19930,288.84057971,6.42554988433
9,43,15810,367.674418605,7.26531267809
10,57,11130,195.263157895,6.85307970178
11,53,13210,249.245283019,6.79918828739
12,44,17450,396.590909091,6.01075684029
13,40,30230,755.75,5.7180893617
14,42,20270,482.619047619,5.98496700337
15,47,15120,321.70212766,6.38008161846
16,51,16610,325.68627451,6.80212500105
17,42,28770,685.0,7.18479867927
18,43,23000,534.88372093,7.0567850913
19,32,31380,980.625,7.33029903689
20,41,30480,743.414634146,7.51237942744
21,40,26380,659.5,7.32181839683
22,35,32520,929.142857143,7.53662011328
23,34,23770,699.117647059,8.36245578846
24,38,22030,579.736842105,9.3617605016
25,38,32900,865.789473684,9.6781352382
26,34,28810,847.352941176,9.44382715977
27,34,29120,856.470588235,9.91115313718
28,34,32420,953.529411765,10.915378031
29,37,24940,674.054054054,11.5722609985
30,38,31660,833.157894737,11.9754837607
31,35,32810,937.428571429,12.6642128919
32,36,21520,597.777777778,12.0218586862
33,32,32360,1011.25,11.8512535916
34,36,28380,788.333333333,12.6681538682
35,31,36330,1171.93548387,13.0873377275
36,31,61830,1994.51612903,13.2006874209
37,33,38110,1154.84848485,13.9464596271
38,36,25010,694.722222222,14.9041269724
39,32,37720,1178.75,13.998799566
40,35,44270,1264.85714286,13.842844457
41,33,46610,1412.42424242,13.8670730023
42,30,47150,1571.66666667,14.7117629928
43,35,39210,1120.28571429,14.8981215294
44,31,34970,1128.06451613,15.7913206177
45,36,38870,1079.72222222,15.0231218258
46,30,39280,1309.33333333,15.0445941059
47,31,42170,1360.32258065,14.2314562257
48,32,39000,1218.75,14.5841996018
49,31,37660,1214.83870968,14.5878754204
50,31,50360,1624.51612903,14.3390991577
51,29,45730,1576.89655172,15.4246035578
52,31,40170,1295.80645161,16.9103794197
53,31,40270,1299.03225806,16.3633178802
54,31,43170,1392.58064516,16.2716409238
55,28,43730,1561.78571429,16.9093922218
56,31,38940,1256.12903226,16.726580414
57,29,59790,2061.72413793,16.7680363358
58,28,54840,1958.57142857,16.1357293651
59,29,39490,1361.72413793,15.3639553065
60,31,46770,1508.70967742,15.649919826
61,29,47940,1653.10344828,15.9789795581
62,30,48540,1618.0,16.6798122143
63,33,53010,1606.36363636,17.5972686929
64,33,39820,1206.66666667,17.6481999903
65,29,41980,1447.5862069,17.7058953916
66,30,46600,1553.33333333,17.3960980917
67,30,32200,1073.33333333,17.1306084474
68,30,42800,1426.66666667,15.9690459976
69,28,49200,1757.14285714,15.9375220166
70,28,43240,1544.28571429,16.6971161394
71,29,52200,1800.0,16.4978338617
72,27,54400,2014.81481481,15.6035713678
73,29,45520,1569.65517241,15.6028070629
74,28,43980,1570.71428571,15.8659729061
75,29,41920,1445.51724138,15.9660194017
76,29,46890,1616.89655172,15.8934832005
77,28,37370,1334.64285714,16.0942281056
78,31,38770,1250.64516129,16.4985529368
79,31,55360,1785.80645161,16.4992663348
80,30,48210,1607.0,16.6794412796
81,30,47780,1592.66666667,16.0933044477
82,29,43760,1508.96551724,16.7378646198
83,27,49070,1817.40740741,16.1855883002
84,28,48810,1743.21428571,17.515794331
85,29,48350,1667.24137931,17.7828972583
86,28,44840,1601.42857143,17.0499420904
87,31,39330,1268.70967742,17.4517353264
88,28,48910,1746.78571429,17.3335408306
89,30,50720,1690.66666667,17.4296367777
90,29,40020,1380.0,17.0884472847
91,28,46820,1672.14285714,17.2868602541
92,29,41580,1433.79310345,18.4997385488
93,27,38100,1411.11111111,19.2420408979
94,28,47900,1710.71428571,20.5357502877
95,30,49370,1645.66666667,19.2604499001
96,30,51170,1705.66666667,19.4638749385
97,29,44770,1543.79310345,19.054812286
98,28,51150,1826.78571429,19.2223802305
99,29,45800,1579.31034483,18.6013932069
100,28,56350,2012.5,18.500612604
