epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,30,-630,-21.0,0.108832566605
2,29,-607,-20.9310344828,-0.161245953289
3,32,-672,-21.0,-0.37791466661
4,32,-671,-20.96875,-0.547180243104
5,33,-693,-21.0,-0.704958416356
6,32,-672,-21.0,-0.744084954957
7,33,-693,-21.0,-0.689963922679
8,31,-641,-20.6774193548,-0.876430880524
9,31,-640,-20.6451612903,-0.913624788642
10,30,-620,-20.6666666667,-0.882908335159
11,27,-561,-20.7777777778,-0.911213715871
12,27,-548,-20.2962962963,-0.933617430204
13,30,-629,-20.9666666667,-0.893213794892
14,23,-456,-19.8260869565,-0.892711377413
15,29,-608,-20.9655172414,-0.93444959117
16,25,-513,-20.52,-0.96605426086
17,20,-401,-20.05,-0.91816811119
18,22,-451,-20.5,-0.873940351368
19,19,-338,-17.7894736842,-0.901739779816
20,18,-355,-19.7222222222,-0.982407215356
21,24,-480,-20.0,-0.942908563311
22,19,-373,-19.6315789474,-0.864232850237
23,15,-287,-19.1333333333,-0.714160918334
24,22,-423,-19.2272727273,-0.686712685708
25,16,-270,-16.875,-0.660761704685
26,14,-252,-18.0,-0.636703589435
27,15,-278,-18.5333333333,-0.72212026337
28,15,-286,-19.0666666667,-0.693984132467
29,13,-222,-17.0769230769,-0.641382849752
30,14,-219,-15.6428571429,-0.612732089437
31,16,-309,-19.3125,-0.628887517165
32,13,-205,-15.7692307692,-0.550592656159
33,13,-206,-15.8461538462,-0.557916325629
34,16,-278,-17.375,-0.528416925807
35,12,-193,-16.0833333333,-0.537328952546
36,14,-242,-17.2857142857,-0.414921505502
37,15,-278,-18.5333333333,-0.367308493804
38,18,-329,-18.2777777778,-0.335195885874
39,16,-266,-16.625,-0.278453703355
40,12,-200,-16.6666666667,-0.22583735766
41,13,-218,-16.7692307692,-0.207777829218
42,12,-209,-17.4166666667,-0.286668840743
43,11,-178,-16.1818181818,-0.276906958973
44,12,-191,-15.9166666667,-0.210935710188
45,13,-205,-15.7692307692,-0.151302309585
46,14,-240,-17.1428571429,-0.152023095529
47,15,-261,-17.4,-0.202085670501
48,15,-275,-18.3333333333,-0.279846825562
49,14,-238,-17.0,-0.214952221369
50,14,-241,-17.2142857143,-0.279492693249
51,14,-252,-18.0,-0.233304140896
52,13,-235,-18.0769230769,-0.333776106364
53,13,-230,-17.6923076923,-0.229456089256
54,12,-204,-17.0,-0.213701426568
55,14,-248,-17.7142857143,-0.258261999277
56,13,-209,-16.0769230769,-0.300955519286
57,12,-203,-16.9166666667,-0.271037530283
58,11,-157,-14.2727272727,-0.192302633097
59,11,-194,-17.6363636364,-0.275255728669
60,12,-195,-16.25,-0.282736177176
61,11,-198,-18.0,-0.335986428396
62,11,-157,-14.2727272727,-0.330750283302
63,11,-178,-16.1818181818,-0.311850925946
64,13,-233,-17.9230769231,-0.314022055547
65,11,-158,-14.3636363636,-0.365383817219
66,10,-134,-13.4,-0.348991254017
67,13,-209,-16.0769230769,-0.437602583526
68,11,-155,-14.0909090909,-0.40660476152
69,11,-170,-15.4545454545,-0.379738554299
70,11,-168,-15.2727272727,-0.33591414159
71,12,-190,-15.8333333333,-0.290822785582
72,10,-149,-14.9,-0.24802538202
73,12,-199,-16.5833333333,-0.172858750155
74,12,-180,-15.0,-0.202372073268
75,14,-227,-16.2142857143,-0.156068690789
76,14,-239,-17.0714285714,-0.186543732384
77,12,-187,-15.5833333333,-0.165875967128
78,13,-205,-15.7692307692,-0.115262201383
79,13,-192,-14.7692307692,-0.13483188921
80,10,-144,-14.4,-0.044000345401
81,11,-168,-15.2727272727,-0.161712854529
82,12,-184,-15.3333333333,-0.0400340577298
83,10,-138,-13.8,-0.104923637986
84,11,-170,-15.4545454545,-0.145363594888
85,11,-164,-14.9090909091,-0.119984829809
86,12,-191,-15.9166666667,-0.126384528397
87,11,-171,-15.5454545455,-0.0218321816497
88,12,-203,-16.9166666667,-0.0101924140957
89,10,-146,-14.6,-0.0203431716624
90,13,-224,-17.2307692308,-0.0524575038923
91,10,-126,-12.6,-0.0438490094762
92,12,-176,-14.6666666667,-0.113690469832
93,11,-161,-14.6363636364,-0.0719638597846
94,12,-210,-17.5,0.0344141445339
95,12,-190,-15.8333333333,-0.0293104145692
96,10,-144,-14.4,-0.0838259672163
97,10,-127,-12.7,-0.10708183272
98,9,-122,-13.5555555556,-0.156744181764
99,10,-122,-12.2,-0.0982494527175
100,10,-150,-15.0,-0.127710331453
