epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,31,4520,145.806451613,0.151101229497
2,17,840,49.4117647059,0.843726237662
3,41,3840,93.6585365854,1.39226243243
4,24,6060,252.5,1.80228830843
5,36,5460,151.666666667,2.17898728917
6,33,5540,167.878787879,2.48989643115
7,33,4120,124.848484848,3.11951447142
8,22,6540,297.272727273,3.37159502949
9,43,2840,66.0465116279,3.62404381261
10,34,1900,55.8823529412,3.52588912353
11,34,2760,81.1764705882,3.59323687631
12,25,6720,268.8,4.13701571846
13,24,3680,153.333333333,4.27440256589
14,13,7660,589.230769231,4.47719254103
15,20,2040,102.0,4.67253204015
16,36,5560,154.444444444,4.97482887607
17,22,3120,141.818181818,5.10810386216
18,12,8340,695.0,5.06848586771
19,28,5220,186.428571429,4.79621717886
20,20,5260,263.0,5.03906633235
21,18,6860,381.111111111,4.98090942041
22,15,6760,450.666666667,5.04077862724
23,21,3940,187.619047619,5.12275917877
24,27,5960,220.740740741,5.13431541755
25,13,7420,570.769230769,5.08432607752
26,14,6480,462.857142857,4.79602733853
27,15,7540,502.666666667,4.84940648042
28,21,6960,331.428571429,4.83237341801
29,20,8040,402.0,4.58244103742
30,12,7880,656.666666667,4.19047035143
31,13,8100,623.076923077,3.94881025452
32,14,7760,554.285714286,3.81976017274
33,13,8340,641.538461538,3.53912250959
34,11,8220,747.272727273,3.43316758622
35,19,6560,345.263157895,3.51857832261
36,17,8720,512.941176471,3.38819224286
37,14,7900,564.285714286,3.23805408232
38,10,8220,822.0,3.12373395093
39,10,7800,780.0,2.90848535971
40,11,7760,705.454545455,2.76349185472
41,10,8560,856.0,2.826497819
42,12,8960,746.666666667,2.79820443166
43,11,8300,754.545454545,2.71023359123
44,11,8400,763.636363636,2.55457367392
45,10,8800,880.0,2.49682824642
46,15,9080,605.333333333,2.37650300065
47,13,8540,656.923076923,2.40059974733
48,15,7580,505.333333333,2.52112821913
49,9,9020,1002.22222222,2.55488248049
50,12,8740,728.333333333,2.525324948
51,13,9020,693.846153846,2.58222125271
52,16,8220,513.75,2.61388666054
53,13,8560,658.461538462,2.55817294096
54,12,9080,756.666666667,2.56699799224
55,13,8620,663.076923077,2.44660362409
56,11,8860,805.454545455,2.45986936256
57,12,9000,750.0,2.47151315062
58,9,9160,1017.77777778,2.50440422596
59,17,8600,505.882352941,2.46950422189
60,24,8460,352.5,2.39000171777
61,16,8020,501.25,2.32564003359
62,22,7480,340.0,2.38320803278
63,22,7400,336.363636364,2.46329438036
64,15,8340,556.0,2.49737338048
65,13,8540,656.923076923,2.51843462741
66,14,8940,638.571428571,2.62436117429
67,10,9840,984.0,2.65685013396
68,12,8320,693.333333333,2.63609142045
69,20,7340,367.0,2.68568997839
70,9,8600,955.555555556,2.72641784295
71,9,9020,1002.22222222,2.79785210455
72,12,8160,680.0,2.61475404305
73,9,9000,1000.0,2.52607948924
74,9,9300,1033.33333333,2.56971490489
75,9,9220,1024.44444444,2.53822127529
76,9,8480,942.222222222,2.57176150322
77,10,8980,898.0,2.47472223284
78,10,8580,858.0,2.41407238876
79,10,9300,930.0,2.47282494387
80,10,9780,978.0,2.43946114478
81,10,9540,954.0,2.54627170461
82,9,9060,1006.66666667,2.62158075052
83,10,9740,974.0,2.58134820636
84,10,9700,970.0,2.60049243773
85,18,8780,487.777777778,2.68474454756
86,14,9440,674.285714286,2.796236545
87,10,9500,950.0,2.71345717589
88,8,9320,1165.0,2.58060308849
89,13,9240,710.769230769,2.51758644242
90,12,9100,758.333333333,2.5151453447
91,11,9880,898.181818182,2.7029413349
92,11,9680,880.0,2.68810125751
93,9,9500,1055.55555556,2.67387760054
94,9,10560,1173.33333333,2.79445268066
95,10,9540,954.0,2.7727070684
96,10,9840,984.0,2.84723147281
97,9,9440,1048.88888889,2.83328396509
98,12,8640,720.0,2.89475759863
99,10,9660,966.0,2.83321828249
100,10,9720,972.0,2.79344437869
