epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,43,1970,45.8139534884,0.146512437974
2,32,8230,257.1875,0.769456641628
3,41,7440,181.463414634,1.29728233202
4,55,1155,21.0,1.57375735855
5,58,1590,27.4137931034,1.66985619523
6,34,9670,284.411764706,1.83416326896
7,54,980,18.1481481481,2.08548584351
8,37,9250,250.0,2.09995740458
9,41,7365,179.634146341,2.20712775536
10,46,1700,36.9565217391,2.43242467521
11,47,1480,31.4893617021,2.46599301703
12,54,1840,34.0740740741,2.62429639738
13,38,8390,220.789473684,2.76022835024
14,38,8350,219.736842105,2.70359805456
15,42,2090,49.7619047619,2.75347745944
16,41,6540,159.512195122,2.7107198123
17,54,1835,33.9814814815,2.48420288783
18,31,8990,290.0,2.50806165665
19,46,2320,50.4347826087,2.43777769884
20,36,7680,213.333333333,2.27014092672
21,38,11160,293.684210526,2.2206111026
22,25,10955,438.2,2.184528969
23,34,8545,251.323529412,2.18466226161
24,31,6325,204.032258065,2.13276190262
25,33,9875,299.242424242,2.01869905147
26,30,9075,302.5,1.90176192359
27,41,8070,196.829268293,1.90597817626
28,47,2875,61.170212766,1.86476338171
29,30,7795,259.833333333,1.81968038454
30,33,9125,276.515151515,1.89411364409
31,32,12135,379.21875,2.04548581122
32,27,10525,389.814814815,2.0978112216
33,30,10690,356.333333333,2.12158997091
34,27,10175,376.851851852,2.14900899417
35,30,9955,331.833333333,2.14973778724
36,26,10230,393.461538462,2.25022407767
37,31,9750,314.516129032,2.41567774793
38,27,11595,429.444444444,2.51051746298
39,33,12155,368.333333333,2.62044235144
40,27,10455,387.222222222,2.61104113897
41,26,9295,357.5,2.72853123412
42,30,9530,317.666666667,2.90260776885
43,27,13595,503.518518519,2.90925091873
44,21,10740,511.428571429,3.05590984089
45,22,9875,448.863636364,2.97331887685
46,28,11665,416.607142857,2.97974079442
47,21,12180,580.0,3.10521169073
48,31,8510,274.516129032,3.15154534766
49,22,11755,534.318181818,3.32128323395
50,30,13985,466.166666667,3.1800351464
51,22,12540,570.0,3.13608923073
52,28,8345,298.035714286,3.25328332629
53,29,10590,365.172413793,3.0671876633
54,26,13980,537.692307692,3.32563149967
55,29,12245,422.24137931,3.58755623289
56,26,11850,455.769230769,3.5921990629
57,35,13560,387.428571429,3.66036726229
58,30,9735,324.5,3.53747376497
59,36,10250,284.722222222,3.69439667385
60,28,11440,408.571428571,3.56425057291
61,27,12530,464.074074074,3.81728703007
62,34,11435,336.323529412,3.78692563272
63,27,12365,457.962962963,3.56154463151
64,27,13355,494.62962963,3.67796508939
65,28,12825,458.035714286,3.63392967072
66,34,11730,345.0,3.97349626335
67,31,12020,387.741935484,3.98406313564
68,28,11450,408.928571429,3.92670111625
69,21,11475,546.428571429,3.88154862514
70,25,12115,484.6,3.88844227035
71,30,13515,450.5,3.93412574756
72,34,14870,437.352941176,3.85583185969
73,33,13590,411.818181818,3.86116923522
74,29,10900,375.862068966,3.87398424083
75,37,13810,373.243243243,3.8751021081
76,37,14320,387.027027027,3.93675444351
77,31,11920,384.516129032,3.86578605972
78,38,13855,364.605263158,4.07828231585
79,31,15335,494.677419355,4.22788765994
80,32,11220,350.625,4.21070441543
81,31,8655,279.193548387,4.12767808378
82,36,12530,348.055555556,4.16371972299
83,31,13230,426.774193548,4.31973782231
84,27,14035,519.814814815,4.41145727265
85,27,11295,418.333333333,4.48852540802
86,25,13455,538.2,4.28701663637
87,30,14360,478.666666667,4.19013863234
88,26,13900,534.615384615,4.18270603028
89,32,13725,428.90625,4.06781253466
90,29,12835,442.586206897,3.91712960823
91,29,16005,551.896551724,3.94405997049
92,34,11510,338.529411765,3.98911879734
93,33,12220,370.303030303,4.18625534141
94,32,14270,445.9375,4.28024600197
95,30,13810,460.333333333,4.4640938547
96,33,17345,525.606060606,4.46201025508
97,35,14310,408.857142857,4.48829442882
98,25,13185,527.4,4.65579749296
99,25,15050,602.0,4.47754869939
100,29,15165,522.931034483,4.57877065517
